1288, 6300 ARBORWOOD DR, MEMPHIS, TN, 
1289, 700 N MANASSAS, MEMPHIS, TN, 
1290, 900 ADAMS, MEMPHIS, TN, 
1291, 1200 SEMMES, MEMPHIS, TN, 
1292, 1800 KELTNER CIR, MEMPHIS, TN, 
1293, 2900 MEADOWLAKE DR E, MEMPHIS, TN, 
1294, 3200 POPLAR, MEMPHIS, TN, 
1295, 3300 E DANVILLE CIR, MEMPHIS, TN, 
1296, 3500 HADLEY, MEMPHIS, TN, 
1297, 3600 RIVERDALE RD, MEMPHIS, TN, 
1298, 3700 JACKSON, MEMPHIS, TN, 
1299, 3700 RIDGEMONT, MEMPHIS, TN, 
1300, 3700 TIMBERLINE, MEMPHIS, TN, 
1301, 4000 ELLISTON, MEMPHIS, TN, 
1302, 4200 WINDING BROOK LN, MEMPHIS, TN, 
1303, 4500 STONEGATE, MEMPHIS, TN, 
1304, 4800 WINCHESTER, MEMPHIS, TN, 
1305, 600 NORTH GERMANTOWN, MEMPHIS, TN, 
1306, 6400 SALMON DR, MEMPHIS, TN, 
1307, 700 WOODSTONE CIRCLE, MEMPHIS, TN, 
1308, 900 BARTLETT RD, MEMPHIS, TN, 
1309, 900 WALKER, MEMPHIS, TN, 
1310, 1200 N MANASSAS, MEMPHIS, TN, 
1311, 1200 RAILTON, MEMPHIS, TN, 
1312, 1200 RIDGEWAY, MEMPHIS, TN, 
1313, 1300 N GRAHAM ST, MEMPHIS, TN, 
1314, 1900 VICTORIA, MEMPHIS, TN, 
1315, 2200 MADISON, MEMPHIS, TN, 
1316, 3600 RIDGEWAY RD, MEMPHIS, TN, 
1317, 3800 TOWNES, MEMPHIS, TN, 
1318, 3900 BALD EAGLE DR, MEMPHIS, TN, 
1319, 3900 ORCHI, MEMPHIS, TN, 
1320, 4000 AUSTIN PEAY HIGHWAY, MEMPHIS, TN, 
1321, 4200 JACKSON, MEMPHIS, TN, 
1322, 500 N HIGHLAND, MEMPHIS, TN, 
1323, 5600 POPLAR AVE, MEMPHIS, TN, 
1324, 5900 KNIGHT ARNOLD, MEMPHIS, TN, 
1325, 900 BROWNLEE, MEMPHIS, TN, 
1326, JACKSON AND MACON, MEMPHIS, TN, 
1327, KNIGHT ARNOLD AND RIDGEWAY, MEMPHIS, TN, 
1328, 100 N MAIN ST, MEMPHIS, TN, 
1329, 1000 WOODLAWN, MEMPHIS, TN, 
1330, 1300 AZALIA, MEMPHIS, TN, 
1331, 1300 HOLLYWOOD, MEMPHIS, TN, 
1332, 1400 WILLIE MITCHELL, MEMPHIS, TN, 
1333, 1500 N HOLLYWOOD ST, MEMPHIS, TN, 
1334, 2200 ALCY, MEMPHIS, TN, 
1335, 2500 BROOKLYN, MEMPHIS, TN, 
1336, 2500 W HILLVIEW DR, MEMPHIS, TN, 
1337, 2600 N WATKINS, MEMPHIS, TN, 
1338, 2700 LOWELL, MEMPHIS, TN, 
