87172, 1500 WINCHESTER PL, MEMPHIS, TN, 
87173, 1500 WINCHESTER PLACE EAST, MEMPHIS, TN, 
87174, 1500 WIND MILL DR, MEMPHIS, TN, 
87175, 1500 WINDFIELD, MEMPHIS, TN, 
87176, 1500 WINFEILD, MEMPHIS, TN, 
87177, 1500 WINNER, MEMPHIS, TN, 
87178, 1500 WNCHESTER, MEMPHIS, TN, 
87179, 1500 WOLF DEN CIR, MEMPHIS, TN, 
87180, 1500 WOLF TRAIL CIRCLE, MEMPHIS, TN, 
87181, 1500 WONDA, MEMPHIS, TN, 
87182, 1500 WOOD FARMS DR, MEMPHIS, TN, 
87183, 1500 WOOD TRAIL CIR, MEMPHIS, TN, 
87184, 1500 WOOD TRL CIRCLE, MEMPHIS, TN, 
87185, 1500 WOODARD ST, MEMPHIS, TN, 
87186, 1500 WOODLAWN, MEMPHIS, TN, 
87187, 1500 WOODLOCK, MEMPHIS, TN, 
87188, 1500 WOODSTON ST, MEMPHIS, TN, 
87189, 1500 WOODTRAIL CIR, MEMPHIS, TN, 
87190, 1500 WOODTRAIL CIRCLE, MEMPHIS, TN, 
87191, 1500 WORFORD, MEMPHIS, TN, 
87192, 1500 WORTHINGTON CLF, MEMPHIS, TN, 
87193, 1500 WORTHINGTON ST, MEMPHIS, TN, 
87194, 1500 YALE, MEMPHIS, TN, 
87195, 1500 YELLOW BIRCH, MEMPHIS, TN, 
87196, 1500 YORSHIRE, MEMPHIS, TN, 
87197, 1500 YOSEMITE CT, MEMPHIS, TN, 
87198, 1500 ZELAND, MEMPHIS, TN, 
87199, 1500 ZELDA, MEMPHIS, TN, 
87200, 1500 ZELIN AVE, MEMPHIS, TN, 
87201, 1500 ZELINE, MEMPHIS, TN, 
87202, 1500 ZELLIN, MEMPHIS, TN, 
87203, 1500-1520 TRUSE PKWY, MEMPHIS, TN, 
87204, 15000 KANSAS, MEMPHIS, TN, 
87205, 15000 WANDA ST, MEMPHIS, TN, 
87206, 1500S S MONTGOMERY ST, MEMPHIS, TN, 
87207, 1501WHITMORE, MEMPHIS, TN, 
87208, 1506THIRD, MEMPHIS, TN, 
87209, 1510SYCAMORE VIEW RD, MEMPHIS, TN, 
87210, 1511GLANCY, MEMPHIS, TN, 
87211, 1511MENEGER, MEMPHIS, TN, 
87212, 1512DAVIS, MEMPHIS, TN, 
87213, 1516PARKWAY VIEW CIRCLE, MEMPHIS, TN, 
87214, 151N EVERGREEN, MEMPHIS, TN, 
87215, 1520CORNING, MEMPHIS, TN, 
87216, 1527NORTHSIDE, MEMPHIS, TN, 
87217, 1527SEMMES, MEMPHIS, TN, 
87218, 1531OAKWOOD, MEMPHIS, TN, 
87219, 1532PARKWAY VIEW CIRCLE, MEMPHIS, TN, 
87220, 1535EAST BROOKS, MEMPHIS, TN, 
87221, 1538CRANE, MEMPHIS, TN, 
87222, 1540GABAY, MEMPHIS, TN, 
87223, 1541 AND 1549 PATTON, MEMPHIS, TN, 
87224, 1541N MERTON, MEMPHIS, TN, 
87225, 1541PEABODY, MEMPHIS, TN, 
87226, 1541WHITMORE, MEMPHIS, TN, 
87227, 1543DEARING, MEMPHIS, TN, 
87228, 1545N MERTON, MEMPHIS, TN, 
87229, 1548CARLTON, MEMPHIS, TN, 
87230, 1548HARVILLE, MEMPHIS, TN, 
87231, 155 AND THIRD ST, MEMPHIS, TN, 
87232, 1550, NORTH PKWY, MEMPHIS, TN, 
87233, 15500 GENESIS CIR, MEMPHIS, TN, 
87234, 15500 GETWELL, MEMPHIS, TN, 
87235, 1551MCALISTER, MEMPHIS, TN, 
87236, 1552WILSON, MEMPHIS, TN, 
87237, 155N AND SHELBY DR, MEMPHIS, TN, 
87238, 1563MONSARRAT, MEMPHIS, TN, 
87239, 1563PATTON, MEMPHIS, TN, 
87240, 1565 AND 1557 MALLORY, MEMPHIS, TN, 
87241, 1566C STRIBLING, MEMPHIS, TN, 
87242, 1566D STRIBLING, MEMPHIS, TN, 
87243, 1566E STRIBBLING, MEMPHIS, TN, 
87244, 1566E STRIBLING #4, MEMPHIS, TN, 
87245, 1566E, MEMPHIS, TN, 
87246, 1566F STRIBLING ST, MEMPHIS, TN, 
87247, 1566STRBLING, MEMPHIS, TN, 
87248, 1571MONSARRAT, MEMPHIS, TN, 
87249, 1571WABASH, MEMPHIS, TN, 
87250, 1573HAVANNA, MEMPHIS, TN, 
87251, 1575E BROOKS, MEMPHIS, TN, 
87252, 1575MAPLEWOOD ST, MEMPHIS, TN, 
87253, 1575POPE, MEMPHIS, TN, 
87254, 1579HUMBER, MEMPHIS, TN, 
87255, 1580NORTH MERTON, MEMPHIS, TN, 
87256, 1581VICTOR, MEMPHIS, TN, 
87257, 1582-D STRIBLING RD, MEMPHIS, TN, 
87258, 1582A STRIBLING ST, MEMPHIS, TN, 
87259, 1582A STRIBLING, MEMPHIS, TN, 
87260, 1582A, MEMPHIS, TN, 
87261, 1582D STRIBBLING, MEMPHIS, TN, 
87262, 1582E STRIBLING, MEMPHIS, TN, 
87263, 1582F STRIBLING DR, MEMPHIS, TN, 
87264, 1582F STRIBLING, MEMPHIS, TN, 
87265, 1582STRIBLING, MEMPHIS, TN, 
87266, 1585SYCAMORE VIEW, MEMPHIS, TN, 
87267, 158EAST SHELBY DR, MEMPHIS, TN, 
87268, 1592DUNMOOR, MEMPHIS, TN, 
87269, 1596-1598 FLEETWOOD AVE, MEMPHIS, TN, 
87270, 159INGLE, MEMPHIS, TN, 
87271, 1600 # E RAINES RD, MEMPHIS, TN, 
87272, 1600 0RLEANS, MEMPHIS, TN, 
87273, 1600 1556 TUTWILER, MEMPHIS, TN, 
87274, 1600 1ST NORTHSIDE, MEMPHIS, TN, 
87275, 1600 2ND NORTHSIDE DR, MEMPHIS, TN, 
87276, 1600 ADDISON, MEMPHIS, TN, 
87277, 1600 AIRWAY, MEMPHIS, TN, 
87278, 1600 ALCY AVE, MEMPHIS, TN, 
87279, 1600 ALICE RD, MEMPHIS, TN, 
87280, 1600 ALTA VISTA DR, MEMPHIS, TN, 
87281, 1600 ALTAMONTE VISTA AVE, MEMPHIS, TN, 
87282, 1600 APPLE BLOSSOM, MEMPHIS, TN, 
87283, 1600 APPLING CARE LN, MEMPHIS, TN, 
87284, 1600 APPLING RD, MEMPHIS, TN, 
87285, 1600 APPLING, MEMPHIS, TN, 
87286, 1600 APT 101, MEMPHIS, TN, 
87287, 1600 APT 109 CAME MEADOW CIR, MEMPHIS, TN, 
87288, 1600 ARBOR CENTURY LN, MEMPHIS, TN, 
87289, 1600 ARBOR CENTURY, MEMPHIS, TN, 
87290, 1600 ARBOR PLACE LN, MEMPHIS, TN, 
87291, 1600 ARBOR VEW CT, MEMPHIS, TN, 
87292, 1600 ARBOR VIEEW CT, MEMPHIS, TN, 
87293, 1600 ARBOR VIEW CT #102, MEMPHIS, TN, 
87294, 1600 ARBOR VIEW CT #103, MEMPHIS, TN, 
87295, 1600 ARBOR VIEW CT 105, MEMPHIS, TN, 
87296, 1600 ARBOR VIEW CT BLD 14, MEMPHIS, TN, 
87297, 1600 ARBOR VIEW CT BUILDING 16, MEMPHIS, TN, 
87298, 1600 ARBORS PL, MEMPHIS, TN, 
87299, 1600 ARBORS VIEW CT, MEMPHIS, TN, 
87300, 1600 ARBORS, MEMPHIS, TN, 
87301, 1600 ARBORVIEW CIRCEL, MEMPHIS, TN, 
87302, 1600 ASH AVE, MEMPHIS, TN, 
87303, 1600 ATKINS, MEMPHIS, TN, 
87304, 1600 ATLA VISTA, MEMPHIS, TN, 
87305, 1600 AURBER VEIW CT, MEMPHIS, TN, 
87306, 1600 BAGGET APT 1, MEMPHIS, TN, 
87307, 1600 BAGGET DR 4, MEMPHIS, TN, 
87308, 1600 BAGGET DR, MEMPHIS, TN, 
