39190, I240 AND SUMMER, MEMPHIS, TN, 
39191, I40 AND AUSTIN PEAY HWY, MEMPHIS, TN, 
39192, I55 AND RAINES, MEMPHIS, TN, 
39193, IMOGENE AND CANTOR, MEMPHIS, TN, 
39194, IMPERIAL AND PEARCE, MEMPHIS, TN, 
39195, INGLE AND BISMARK, MEMPHIS, TN, 
39196, INTERSTATE 240 AND LAMAR, MEMPHIS, TN, 
39197, INTERSTATE 240 AND POPLAR, MEMPHIS, TN, 
39198, INTERSTATE 40 AND APPLING, MEMPHIS, TN, 
39199, INTERSTATE 40 AND WARFORD, MEMPHIS, TN, 
39200, ISLAND DR AND MUD ISLAND, MEMPHIS, TN, 
39201, JACKLYN AND LAUDERDALE, MEMPHIS, TN, 
39202, JACKSON AND EAST, MEMPHIS, TN, 
39203, JACKSON AND GARLAND, MEMPHIS, TN, 
39204, JACKSON AND HEMINGWAY, MEMPHIS, TN, 
39205, JACKSON AND I 40, MEMPHIS, TN, 
39206, JACKSON AND I240, MEMPHIS, TN, 
39207, JACKSON AND MAURY, MEMPHIS, TN, 
39208, JACKSON AND MCNEIL, MEMPHIS, TN, 
39209, JACKSON AND WILLETT, MEMPHIS, TN, 
39210, JACKSON AVE AND WATKINS ST, MEMPHIS, TN, 
39211, JACKSON, MEMPHIS, TN, 
39212, JAMES AND SCENIC HWY, MEMPHIS, TN, 
39213, JAMES RD AND BIRCHFIELD DR, MEMPHIS, TN, 
39214, JEFFERSON AND DANNY THOMAS, MEMPHIS, TN, 
39215, JEFFERSON AND N MAIN, MEMPHIS, TN, 
39216, JEFFERSON AND RIVERSIDE, MEMPHIS, TN, 
39217, JEFFERSON AND WALDRAN, MEMPHIS, TN, 
39218, JEFFERSON AVE AND SECOND ST, MEMPHIS, TN, 
39219, JENNETTE AND ORLEANS, MEMPHIS, TN, 
39220, JESSAMINE AND ORLEANS, MEMPHIS, TN, 
39221, JOHNSON AND HOLMES, MEMPHIS, TN, 
39222, JONES AND AUSTIN PEAY, MEMPHIS, TN, 
39223, JONES AND RALEIGH-MILLINGTON, MEMPHIS, TN, 
39224, JONETTA AND DELTA, MEMPHIS, TN, 
39225, JOSEPH AND BELLEVUE, MEMPHIS, TN, 
39226, KANSAS AND KIRK, MEMPHIS, TN, 
39227, KANSAS AND MCKELLAR, MEMPHIS, TN, 
39228, KATE BOND AND REESE, MEMPHIS, TN, 
39229, KEATING AND PARK, MEMPHIS, TN, 
39230, KEEL AND MANASSAS, MEMPHIS, TN, 
39231, KEEL AND PEARCE, MEMPHIS, TN, 
39232, KELTNER CIR AND CARVER, MEMPHIS, TN, 
39233, KERR AND ENGLEWOOD, MEMPHIS, TN, 
39234, KERR AND LYDIA, MEMPHIS, TN, 
39235, KERR AND RAGAN, MEMPHIS, TN, 
39236, KERWIN AND NEW ALLEN, MEMPHIS, TN, 
39237, KERWIN AND STILLWOOD, MEMPHIS, TN, 
39238, KERWIN AND WALSINGHAM, MEMPHIS, TN, 
39239, KERWIN AND WHITE OWL, MEMPHIS, TN, 
39240, KETCHUM AND HOLLYFORD, MEMPHIS, TN, 
39241, KIMBALL AND PENDELTON, MEMPHIS, TN, 
39242, KIMBALL AVE AND LAMAR AVE, MEMPHIS, TN, 
39243, KIMBROUGH AND EASTMORELAND, MEMPHIS, TN, 
39244, KING AND FORD RD, MEMPHIS, TN, 
39245, KING AND TRAVIS, MEMPHIS, TN, 
39246, KIRBY AND VALLEYDALE, MEMPHIS, TN, 
39247, KIRBY PKWY AND KIRBY CENTER CV, MEMPHIS, TN, 
39248, KIRBY PKWY AND MT MORIAH RD, MEMPHIS, TN, 
39249, KIRBY PKWY AND QUINCE RD, MEMPHIS, TN, 
39250, KIRBY PKWY, MEMPHIS, TN, 
39251, KIRBY RD AND WINCHESTER RD, MEMPHIS, TN, 
39252, KIRK AND BISMARK, MEMPHIS, TN, 
39253, KIRKWOOD AND MILLBRANCH, MEMPHIS, TN, 
39254, KNEY AND VOLLINTINE, MEMPHIS, TN, 
39255, KNIGHT AND BLANDING, MEMPHIS, TN, 
39256, KNIGHT AND DELUTH, MEMPHIS, TN, 
39257, KNIGHT ARNOLD AND MT MORIAH, MEMPHIS, TN, 
39258, KYLE AND LAMAR, MEMPHIS, TN, 
39259, LABELLE AND FILMORE, MEMPHIS, TN, 
39260, LABELLE AND FRISCO, MEMPHIS, TN, 
39261, LABELLE AND KIMBALL, MEMPHIS, TN, 
39262, LACLEDE AND LAUDERDALE, MEMPHIS, TN, 
39263, LACLEDE AND WELLINGTON, MEMPHIS, TN, 
39264, LADUE AND MCGREGOR, MEMPHIS, TN, 
39265, LAMAR AND CLEARPOOL CIRCLE, MEMPHIS, TN, 
39266, LAMAR AND CRUMP, MEMPHIS, TN, 
39267, LAMAR AND FULLER, MEMPHIS, TN, 
39268, LAMAR AND GOODLETT, MEMPHIS, TN, 
39269, LAMAR AND HOMEWOOD, MEMPHIS, TN, 
39270, LAMAR AND I 240, MEMPHIS, TN, 
39271, LAMAR AND ROZELLE, MEMPHIS, TN, 
39272, LAMAR AND S PKWY E, MEMPHIS, TN, 
39273, LAMAR AVE AND BELLEVUE, MEMPHIS, TN, 
39274, LAMAR AVE AND I-240, MEMPHIS, TN, 
39275, LAMAR AVE AND I240, MEMPHIS, TN, 
39276, LAMAR AVE AND PLEASANT HILL RD, MEMPHIS, TN, 
39277, LAMAR AVE AND S TREZEVANT ST, MEMPHIS, TN, 
39278, LAMAR AVE AND SEMMES, MEMPHIS, TN, 
39279, LAMBERT AND GRIGGS, MEMPHIS, TN, 
39280, LAMPHIER AND HIGHLAND, MEMPHIS, TN, 
39281, LANE AND LEATH, MEMPHIS, TN, 
39282, LATHAM AND MALLORY, MEMPHIS, TN, 
39283, LATHAM AND RICHMOND, MEMPHIS, TN, 
39284, LATHAM ST AND SIMPSON AVE, MEMPHIS, TN, 
39285, LAUDERDALE AND ALABAMA, MEMPHIS, TN, 
39286, LAUDERDALE AND DEMPSTER, MEMPHIS, TN, 
39287, LAUDERDALE AND PERSON, MEMPHIS, TN, 
39288, LAUDERDALE ST AND EXCHANGE AVE, MEMPHIS, TN, 
39289, LAUDERDALE, MEMPHIS, TN, 
39290, LELAND AND KERR, MEMPHIS, TN, 
39291, LEONARD AND HOLMES, MEMPHIS, TN, 
39292, LEVI AND MCCAIN, MEMPHIS, TN, 
39293, LEWIS AND KEEL, MEMPHIS, TN, 
39294, LINDEN AND PONTOTOC, MEMPHIS, TN, 
39295, LOCUST AND CHELSEA, MEMPHIS, TN, 
39296, LONGFELLOW AND ELLIOTT, MEMPHIS, TN, 
39297, LOONEY AND MONTGOMERY, MEMPHIS, TN, 
39298, LORAINE AND FAIRLEY, MEMPHIS, TN, 
39299, LORAINE AND LEONARD, MEMPHIS, TN, 
39300, LUCIBILL AND E BROOKS, MEMPHIS, TN, 
39301, LUCY AND DRIVER, MEMPHIS, TN, 
39302, MACON AND CHATWOOD, MEMPHIS, TN, 
39303, MACON AND CULLY, MEMPHIS, TN, 
39304, MACON AND DYER, MEMPHIS, TN, 
39305, MACON AND LEAWOOD, MEMPHIS, TN, 
39306, MACON AND PHILLIPS, MEMPHIS, TN, 
39307, MACON RD AND MARIA ST, MEMPHIS, TN, 
39308, MACON RD AND N HIGHLAND ST, MEMPHIS, TN, 
39309, MADEWELL AND CANFIELD, MEMPHIS, TN, 
39310, MADEWELL AND FRAYSER, MEMPHIS, TN, 
39311, MADEWELL, MEMPHIS, TN, 
39312, MADISON AND I 240, MEMPHIS, TN, 
39313, MADISON AND I240, MEMPHIS, TN, 
39314, MADISON AND PAULINE, MEMPHIS, TN, 
39315, MADISON AND STADIUM CT, MEMPHIS, TN, 
39316, MAIN AND AUCTION, MEMPHIS, TN, 
39317, MAIN AND JACKSON, MEMPHIS, TN, 
39318, MAIN AND OVERTON, MEMPHIS, TN, 
39319, MAIN AND POPLAR, MEMPHIS, TN, 
39320, MAIN AND WINCHESTER, MEMPHIS, TN, 
39321, MAJUBA AND BISMARK, MEMPHIS, TN, 
39322, MALCOMB AND BROAD, MEMPHIS, TN, 
39323, MALCOMB AND PRINCETON, MEMPHIS, TN, 
39324, MALCOMB AND SUMMER, MEMPHIS, TN, 
39325, MALLORY AND CASTEX, MEMPHIS, TN, 
39326, MALLORY AND CORRY, MEMPHIS, TN, 
39327, MALLORY AND I55, MEMPHIS, TN, 
39328, MALLORY AND ORLEANS, MEMPHIS, TN, 
39329, MALLORY AND RIVERSIDE, MEMPHIS, TN, 
39330, MALLORY, MEMPHIS, TN, 
39331, MALONE AND AIRWAYS, MEMPHIS, TN, 
39332, MANASSAS AND BEALE, MEMPHIS, TN, 
39333, MANASSAS AND N PKWY, MEMPHIS, TN, 
39334, MANCHESTER AND ALCY, MEMPHIS, TN, 
39335, MANHATTAN AND BALTIC, MEMPHIS, TN, 
39336, MANHATTAN AND HUDSON, MEMPHIS, TN, 
39337, MANHATTAN AND POPE, MEMPHIS, TN, 
39338, MARBLE AND ELDRIDGE, MEMPHIS, TN, 
39339, MARBLE AND SPRINGDALE, MEMPHIS, TN, 
39340, MARBLE AND THOMAS, MEMPHIS, TN, 
