76229, ROOSEVELT AND N WATKINS, MEMPHIS, TN, 
76230, ROOSEVELT AND WATKINS, MEMPHIS, TN, 
76231, ROOSEVELT AVE AND GLASGOW ST, MEMPHIS, TN, 
76232, ROPER AND CYPRESS, MEMPHIS, TN, 
76233, ROSAMOND AND HOLMES, MEMPHIS, TN, 
76234, ROSAMOND AND NATIONAL, MEMPHIS, TN, 
76235, ROSE HILL AND EAST OF ELVIS PRESLEY, MEMPHIS, TN, 
76236, ROSE HILL AND WARREN, MEMPHIS, TN, 
76237, ROSE TRAIL AND TULIP TRAIL, MEMPHIS, TN, 
76238, ROSECREST AND HILL, MEMPHIS, TN, 
76239, ROSEWIND AND RAINES, MEMPHIS, TN, 
76240, ROSEWOOD AND WYNTON, MEMPHIS, TN, 
76241, ROSITA AND WINCHESTER, MEMPHIS, TN, 
76242, ROSS AND BEAVERLODGE, MEMPHIS, TN, 
76243, ROSS AND WINDING BIRCH, MEMPHIS, TN, 
76244, ROSS RD AND BIRCH RUN, MEMPHIS, TN, 
76245, ROSS RD AND DEVINSHIRE, MEMPHIS, TN, 
76246, ROSS RD AND RAINES, MEMPHIS, TN, 
76247, ROSS RD AND ROCKINGHAM RD, MEMPHIS, TN, 
76248, ROSWELL AND BURLINGAME, MEMPHIS, TN, 
76249, ROXBURY AND CHAMBERLAIN, MEMPHIS, TN, 
76250, ROYAL OAK AND RIDGEMONT, MEMPHIS, TN, 
76251, ROYAL WOOD AND ROYAL RIDGE, MEMPHIS, TN, 
76252, ROZELL AND ROZELL CV, MEMPHIS, TN, 
76253, ROZELLE AND EUCLID, MEMPHIS, TN, 
76254, ROZELLE AND EVELYN, MEMPHIS, TN, 
76255, ROZELLE AND LAMAR, MEMPHIS, TN, 
76256, ROZELLE AND NETHERWOOD, MEMPHIS, TN, 
76257, ROZELLE AND SOUTHERN, MEMPHIS, TN, 
76258, RUBY CREEK AND WEAVER, MEMPHIS, TN, 
76259, RUFUS THOMAS AND 315 BEALE, MEMPHIS, TN, 
76260, RUFUS THOMAS AND BEALE ST, MEMPHIS, TN, 
76261, RUGBY AND MEDFORD, MEMPHIS, TN, 
76262, RUSSWOOD AND BAYLISS, MEMPHIS, TN, 
76263, RUSSWOOD AND GREY, MEMPHIS, TN, 
76264, RUSSWOOD AND JAMERSON, MEMPHIS, TN, 
76265, RYAN ST AND SMITH RIDGE RD, MEMPHIS, TN, 
76266, RYAN ST, MEMPHIS, TN, 
76267, RYDER AND JAMES, MEMPHIS, TN, 
76268, S 2ND ST AND BEALE ST, MEMPHIS, TN, 
76269, S 2ND ST AND UNION AVE, MEMPHIS, TN, 
76270, S 3RD AND MITCHELL, MEMPHIS, TN, 
76271, S 3RD AND RAINES, MEMPHIS, TN, 
76272, S 3RD AND W BELLE HAVEN RD, MEMPHIS, TN, 
76273, S 3RD ST AND E PONTOTOC AVE, MEMPHIS, TN, 
76274, S 3RD ST AND FORD RD, MEMPHIS, TN, 
76275, S 3RD ST AND HORN LAKE RD, MEMPHIS, TN, 
76276, S 3RD ST AND MITCHELL RD, MEMPHIS, TN, 
76277, S 3RD ST AND MITCHELL, MEMPHIS, TN, 
76278, S 4TH / VANCE AVENUE, MEMPHIS, TN, 
76279, S 4TH ST AND BEALE ST, MEMPHIS, TN, 
76280, S AND B 55 AND MCLEMORE, MEMPHIS, TN, 
76281, S AND B I-240 AND MADISON, MEMPHIS, TN, 
76282, S AND B I-240 AND S PKWY, MEMPHIS, TN, 
76283, S AND B I-55 AND MCLEMORE AVE, MEMPHIS, TN, 
76284, S AND B I-55 N OF RAINES, MEMPHIS, TN, 
76285, S AND B PATTON ST AND S AND O MCLEMORE AVE, MEMPHIS, TN, 
76286, S AND B RIVERPORT SOUTH OF MALLORY, MEMPHIS, TN, 
76287, S BARKSDALE ST AND OLIVER AVE, MEMPHIS, TN, 
76288, S BELLEVUE AND CENTRAL, MEMPHIS, TN, 
76289, S BELLEVUE AND EASTMORELAND, MEMPHIS, TN, 
76290, S BELLEVUE AND HARBERT, MEMPHIS, TN, 
76291, S BELLEVUE AND HEISTAN, MEMPHIS, TN, 
76292, S BELLEVUE AND LINDEN ST, MEMPHIS, TN, 
76293, S BELLEVUE AND LINDEN, MEMPHIS, TN, 
76294, S BELLEVUE AND S PKWY, MEMPHIS, TN, 
76295, S BELLEVUE AND SEVERSON, MEMPHIS, TN, 
76296, S BELLEVUE AND TRIGG, MEMPHIS, TN, 
76297, S BELLEVUE BLVD AND E MCLEMORE AVE, MEMPHIS, TN, 
76298, S BELLEVUE BLVD AND PEABODY AVE, MEMPHIS, TN, 
76299, S BELLEVUE BLVD AND SAXON AVE, MEMPHIS, TN, 
76300, S BELVEDERE BLVD AND MONROE AVE, MEMPHIS, TN, 
76301, S CAMILLA AND UNION AVE, MEMPHIS, TN, 
76302, S CENTER LN AND FLOYD ALLEY, MEMPHIS, TN, 
76303, S CLAYBROOK AND EASTMORELAND, MEMPHIS, TN, 
76304, S COOPER AND CENTRAL, MEMPHIS, TN, 
76305, S COOPER AND FARMER, MEMPHIS, TN, 
76306, S COOPER AND LOWELL, MEMPHIS, TN, 
76307, S COOPER AND TRIMBLE, MEMPHIS, TN, 
76308, S COOPER AND WALKER, MEMPHIS, TN, 
76309, S COX AND EVELYN, MEMPHIS, TN, 
76310, S DANNY THOMAS AND SAINT PAUL, MEMPHIS, TN, 
76311, S DUDLEY AND PEABODY, MEMPHIS, TN, 
76312, S EDGEWOOD ST AND MADISON, MEMPHIS, TN, 
76313, S FOURTH AND GASTON, MEMPHIS, TN, 
76314, S FOURTH AND UNION, MEMPHIS, TN, 
76315, S FOURTH AND VANCE, MEMPHIS, TN, 
76316, S FOURTH ST AND GAYOSO AVE, MEMPHIS, TN, 
76317, S FOURTH ST AND UNION AVE, MEMPHIS, TN, 
76318, S FOURTH ST AND VANCE AVE, MEMPHIS, TN, 
76319, S FRONT AND E GE PATTERSON, MEMPHIS, TN, 
76320, S FRONT AND LINDEN, MEMPHIS, TN, 
76321, S FRONT STREET AND G E PATTERSON BLVD, MEMPHIS, TN, 
76322, S GERMANTOWN PKWY AND S WALNUT BEND, MEMPHIS, TN, 
76323, S GERMANTOWN RD AND BARNSTABLE RD, MEMPHIS, TN, 
76324, S GOODLETT AND CHUCK AVE, MEMPHIS, TN, 
76325, S GOODLETT AND KNIGHT ARNOLD, MEMPHIS, TN, 
76326, S GOODLETT AND SOUTHERN, MEMPHIS, TN, 
76327, S GOODLETT AND WINCHESTER, MEMPHIS, TN, 
76328, S GOODLETT AND WINDY HOLLOW, MEMPHIS, TN, 
76329, S GOODLETT N AND O SOUTHERN, MEMPHIS, TN, 
76330, S GOODLETT, MEMPHIS, TN, 
76331, S GREER AND SPOTTSWOOD, MEMPHIS, TN, 
76332, S GREER ST AND KIMBALL AVE, MEMPHIS, TN, 
76333, S HIGHLAND AND CARRINGTON, MEMPHIS, TN, 
76334, S HIGHLAND AND KIRBY, MEMPHIS, TN, 
76335, S HIGHLAND AND PARK AVE, MEMPHIS, TN, 
76336, S HIGHLAND AND RADFORD, MEMPHIS, TN, 
76337, S HIGHLAND AND SHARPE, MEMPHIS, TN, 
76338, S HIGHLAND AND SOUTHERN AVE, MEMPHIS, TN, 
76339, S HIGHLAND ST AND CARNES AVE, MEMPHIS, TN, 
76340, S HIGHLAND ST AND MARION AVE, MEMPHIS, TN, 
76341, S HIGHLAND ST AND SOUTHERN AVE, MEMPHIS, TN, 
76342, S HIGHLAND ST AND WALKER AVE, MEMPHIS, TN, 
76343, S HOLLYWOOD AND CENTRAL, MEMPHIS, TN, 
76344, S LAUDERDALE AND E GEORGIA, MEMPHIS, TN, 
76345, S LAUDERDALE AND LACLEDE, MEMPHIS, TN, 
76346, S LAUDERDALE AND ROSEWOOD AVE, MEMPHIS, TN, 
76347, S LAUDERDALE AND SHAWNEE, MEMPHIS, TN, 
76348, S LAUDERDALE AND ST PAUL, MEMPHIS, TN, 
76349, S LAUDERDALE ST AND E PERSON AVE, MEMPHIS, TN, 
76350, S LAUDERDALE ST AND JACKLYN AVE, MEMPHIS, TN, 
76351, S LAUDERDALE ST AND SPARKWAY AVE, MEMPHIS, TN, 
76352, S MAIN AND BEALE ST, MEMPHIS, TN, 
76353, S MAIN AND BEALE, MEMPHIS, TN, 
76354, S MAIN AND E MALLORY, MEMPHIS, TN, 
76355, S MAIN AND G E PATTERSON, MEMPHIS, TN, 
