19318, 2200 OLDFIELD, MEMPHIS, TN, 
19319, 2200 RIVERSIDE, MEMPHIS, TN, 
19320, 2200 TANT, MEMPHIS, TN, 
19321, 2200 VINTON, MEMPHIS, TN, 
19322, 2200 WEST RIVER TRACE DR, MEMPHIS, TN, 
19323, 2300 BELIN DR, MEMPHIS, TN, 
19324, 2300 BREWERS LANDING, MEMPHIS, TN, 
19325, 2300 DEXTER AVE, MEMPHIS, TN, 
19326, 2300 ELZEY, MEMPHIS, TN, 
19327, 2300 GOLDEN AVE, MEMPHIS, TN, 
19328, 2300 HENRY AVE, MEMPHIS, TN, 
19329, 2300 HENRY, MEMPHIS, TN, 
19330, 2300 JAMES, MEMPHIS, TN, 
19331, 2300 LISA AVE, MEMPHIS, TN, 
19332, 2300 MARBLE AVE, MEMPHIS, TN, 
19333, 2300 MASSEY, MEMPHIS, TN, 
19334, 2300 MONROE AVE, MEMPHIS, TN, 
19335, 2300 NELSON AVE, MEMPHIS, TN, 
19336, 2300 OLIVER, MEMPHIS, TN, 
19337, 2300 PARKHURST, MEMPHIS, TN, 
19338, 2300 PERRY RD, MEMPHIS, TN, 
19339, 2300 SCAPER, MEMPHIS, TN, 
19340, 2300 SHANNON ST, MEMPHIS, TN, 
19341, 2300 SITLER, MEMPHIS, TN, 
19342, 2300 THIRD, MEMPHIS, TN, 
19343, 2300 VINTON AVE, MEMPHIS, TN, 
19344, 2300 VINTON, MEMPHIS, TN, 
19345, 2400 CHISWOOD, MEMPHIS, TN, 
19346, 2400 DWIGHT ST, MEMPHIS, TN, 
19347, 2400 FRISCO, MEMPHIS, TN, 
19348, 2400 PENDLETON RD, MEMPHIS, TN, 
19349, 2400 RIDGEWAY, MEMPHIS, TN, 
19350, 2400 S THIRD, MEMPHIS, TN, 
19351, 2400 SLOCUM AVE, MEMPHIS, TN, 
19352, 2400, MEMPHIS, TN, 
19353, 2500 AYRSHIRE CV, MEMPHIS, TN, 
19354, 2500 DUNN CV, MEMPHIS, TN, 
19355, 2500 GREEN GLEN, MEMPHIS, TN, 
19356, 2500 JAMES, MEMPHIS, TN, 
19357, 2500 LAMAR CIR, MEMPHIS, TN, 
19358, 2500 LAPALOMA, MEMPHIS, TN, 
19359, 2500 MADISON, MEMPHIS, TN, 
19360, 2500 NORMAN AVE, MEMPHIS, TN, 
19361, 2500 SCAPER, MEMPHIS, TN, 
19362, 2500 ST ELMO, MEMPHIS, TN, 
19363, 2500 VINTAGE DR, MEMPHIS, TN, 
19364, 2500 VOLLINTINE CV, MEMPHIS, TN, 
19365, 2500 W BALL RD, MEMPHIS, TN, 
19366, 2600 AVERY AVE, MEMPHIS, TN, 
19367, 2600 CHISWOOD, MEMPHIS, TN, 
19368, 2600 DAKAR AVE, MEMPHIS, TN, 
