65245, 4000 STEPHANIE LN APT 4, MEMPHIS, TN, 
65246, 4000 STEPHANIE, MEMPHIS, TN, 
65247, 4000 STILLWOOD RD, MEMPHIS, TN, 
65248, 4000 SUMMER #9, MEMPHIS, TN, 
65249, 4000 SUMNER, MEMPHIS, TN, 
65250, 4000 SWANBROOK ST, MEMPHIS, TN, 
65251, 4000 TIMBER RIDGE CV, MEMPHIS, TN, 
65252, 4000 TIMBER TRAIL DR, MEMPHIS, TN, 
65253, 4000 TIMBERTRAIL, MEMPHIS, TN, 
65254, 4000 TREEMONT CV, MEMPHIS, TN, 
65255, 4000 TREVATHAN CIR, MEMPHIS, TN, 
65256, 4000 TREZEVANT, MEMPHIS, TN, 
65257, 4000 TRUMAN RD, MEMPHIS, TN, 
65258, 4000 TUTWILLER, MEMPHIS, TN, 
65259, 4000 TWIN LAKE, MEMPHIS, TN, 
65260, 4000 TWINLAKE DR, MEMPHIS, TN, 
65261, 4000 VAGABOND DR, MEMPHIS, TN, 
65262, 4000 VAN TECH, MEMPHIS, TN, 
65263, 4000 VOLTARIE ST, MEMPHIS, TN, 
65264, 4000 WALSINGHAM, MEMPHIS, TN, 
65265, 4000 WELLS, MEMPHIS, TN, 
65266, 4000 WESLEY FOREST CIRCLE SOUTH, MEMPHIS, TN, 
65267, 4000 WESLEY FOREST PL, MEMPHIS, TN, 
65268, 4000 WESLEY FOREST PLACE S, MEMPHIS, TN, 
65269, 4000 WESLEY FOREST PLACE, MEMPHIS, TN, 
65270, 4000 WESLEY FORREST CIR S, MEMPHIS, TN, 
65271, 4000 WESLEY FORREST PL, MEMPHIS, TN, 
65272, 4000 WESLEY FORREST, MEMPHIS, TN, 
65273, 4000 WEST CHRISTINE GARDENS, MEMPHIS, TN, 
65274, 4000 WESTMONT, MEMPHIS, TN, 
65275, 4000 WHITAKER, MEMPHIS, TN, 
65276, 4000 WHITEBROOK RD, MEMPHIS, TN, 
