22242, 3600 COUNTY GATE, MEMPHIS, TN, 
22243, 3600 DALE BRANCH, MEMPHIS, TN, 
22244, 3600 DOUGLASS AVE, MEMPHIS, TN, 
22245, 3600 EARLY, MEMPHIS, TN, 
22246, 3600 GLENSHAW DR, MEMPHIS, TN, 
22247, 3600 GOWAN DR, MEMPHIS, TN, 
22248, 3600 HANNA DR, MEMPHIS, TN, 
22249, 3600 KEARNEY AVE, MEMPHIS, TN, 
22250, 3600 KIRBY, MEMPHIS, TN, 
22251, 3600 LANETTE, MEMPHIS, TN, 
22252, 3600 MENAWA CIR, MEMPHIS, TN, 
22253, 3600 METROPOLITAN CIR, MEMPHIS, TN, 
22254, 3600 MILLINGTON RD, MEMPHIS, TN, 
22255, 3600 OAKLEY, MEMPHIS, TN, 
22256, 3600 PLEASANT HOLLOW CT, MEMPHIS, TN, 
22257, 3600 SOPHIA, MEMPHIS, TN, 
22258, 3600 STANTON, MEMPHIS, TN, 
22259, 3600 TOWNES AVE, MEMPHIS, TN, 
22260, 3600 VANDERWOOD DR, MEMPHIS, TN, 
22261, 3600 W CHANTREY LN, MEMPHIS, TN, 
22262, 3600 WILLARD, MEMPHIS, TN, 
22263, 3600 WYTHE RD, MEMPHIS, TN, 
22264, 3700 ALUMNI, MEMPHIS, TN, 
22265, 3700 BOEINGSHIRE DR, MEMPHIS, TN, 
22266, 3700 CASTLEMAN, MEMPHIS, TN, 
22267, 3700 DAGMAR ST, MEMPHIS, TN, 
22268, 3700 DURAND DR, MEMPHIS, TN, 
22269, 3700 GLENBUREE CV, MEMPHIS, TN, 
22270, 3700 HILLVIEW, MEMPHIS, TN, 
22271, 3700 KING GEORGE CV, MEMPHIS, TN, 
22272, 3700 LAKEVIEW, MEMPHIS, TN, 
22273, 3700 METROPOLITAN LN, MEMPHIS, TN, 
22274, 3700 S LLOYD CIRCLE, MEMPHIS, TN, 
22275, 3700 SOUTH THIRD, MEMPHIS, TN, 
22276, 3700 WYTHE, MEMPHIS, TN, 
22277, 3800 ANNETTE LN, MEMPHIS, TN, 
22278, 3800 BENSON, MEMPHIS, TN, 
22279, 3800 DAGMAR ST, MEMPHIS, TN, 
22280, 3800 DANTE, MEMPHIS, TN, 
