4213, 4900 COTTONWOOD, MEMPHIS, TN, 
4214, 4900 LEONARD, MEMPHIS, TN, 
4215, 4900 WOODDALE, MEMPHIS, TN, 
4216, 500 E GEORGIA, MEMPHIS, TN, 
4217, 500 GARLAND, MEMPHIS, TN, 
4218, 500 SIMPSON, MEMPHIS, TN, 
4219, 5200 LAMAR AVE, MEMPHIS, TN, 
4220, 5200 SOUTH THIRD, MEMPHIS, TN, 
4221, 5800 SCOTTSDALE, MEMPHIS, TN, 
4222, 600 BUNTYN, MEMPHIS, TN, 
4223, 600 HANDY MALL, MEMPHIS, TN, 
4224, 600 MONTEAGLE, MEMPHIS, TN, 
4225, 600 RICHMOND, MEMPHIS, TN, 
4226, 600 SHARON, MEMPHIS, TN, 
4227, 6100 POPLAR, MEMPHIS, TN, 
4228, 6600 BIRCHBROOK, MEMPHIS, TN, 
4229, 800 S PRESCOTT, MEMPHIS, TN, 
4230, 8600 HWY 64, MEMPHIS, TN, 
4231, 900 HAYNES, MEMPHIS, TN, 
4232, 900 N WATKINS, MEMPHIS, TN, 
4233, 900 SEMMES, MEMPHIS, TN, 
4234, 900 SPRINGDALE RUN DR, MEMPHIS, TN, 
4235, GAYOSO AND FOURTH, MEMPHIS, TN, 
4236, PENDLETON AND DEADRICK, MEMPHIS, TN, 
4237, SYCAMORE VIEW AND SHELBY OAKS, MEMPHIS, TN, 
4238, WATKINS AND GOWAN, MEMPHIS, TN, 
4239, WINCHESTER AND PERKINS, MEMPHIS, TN, 
4240, 100 NEELY ST, MEMPHIS, TN, 
4241, 1000 KEEL, MEMPHIS, TN, 
4242, 1000 MEAGHER, MEMPHIS, TN, 
4243, 1000 NEW YORK, MEMPHIS, TN, 
4244, 1000 NEWELL, MEMPHIS, TN, 
4245, 1100 ROSEWOOD, MEMPHIS, TN, 
4246, 1100 TERRY CIRCLE, MEMPHIS, TN, 
4247, 1200 KNOX, MEMPHIS, TN, 
4248, 1200 SHELBY, MEMPHIS, TN, 
4249, 1200 VANCE AVE, MEMPHIS, TN, 
4250, 1300 GREENWOOD, MEMPHIS, TN, 
4251, 1300 WHITNEY, MEMPHIS, TN, 
4252, 1400 AIRWAYS BLVD, MEMPHIS, TN, 
4253, 1400 TRIGG, MEMPHIS, TN, 
4254, 1400 WRENWOOD, MEMPHIS, TN, 
4255, 1500 ALTA VISTA, MEMPHIS, TN, 
4256, 1500 ETHLYN, MEMPHIS, TN, 
4257, 1500 WESTERN PARK, MEMPHIS, TN, 
4258, 1700 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
4259, 1800 EVELYN, MEMPHIS, TN, 
4260, 1800 S PERKINS, MEMPHIS, TN, 
4261, 1900 DUPONT, MEMPHIS, TN, 
4262, 200 N HIGHLAND, MEMPHIS, TN, 
4263, 2000 GAYLE, MEMPHIS, TN, 
4264, 2000 LAMAR AVE, MEMPHIS, TN, 
4265, 2100 EAST SHELBY DR, MEMPHIS, TN, 
4266, 2200 GOLDBRIER, MEMPHIS, TN, 
4267, 2300 CLARKSDALE, MEMPHIS, TN, 
4268, 2300 TRUITT, MEMPHIS, TN, 
4269, 2300 W RIVER TRACE, MEMPHIS, TN, 
4270, 2600 SNOWDEN, MEMPHIS, TN, 
4271, 2600 WATKINS, MEMPHIS, TN, 
4272, 2800 BARRON, MEMPHIS, TN, 
4273, 2800 CARNES, MEMPHIS, TN, 
4274, 2800 E MEADOWLAKE DR, MEMPHIS, TN, 
4275, 2800 SOUTH PERKINS, MEMPHIS, TN, 
4276, 2800 WATKINS, MEMPHIS, TN, 
4277, 2900 GERMANTOWN, MEMPHIS, TN, 
4278, 2900 TERRI CREST, MEMPHIS, TN, 
4279, 300 BALTIC, MEMPHIS, TN, 
4280, 300 N MONTGOMERY, MEMPHIS, TN, 
4281, 300 S CLEVELAND, MEMPHIS, TN, 
4282, 3000 GRUBER, MEMPHIS, TN, 
4283, 3100 ASHWOOD, MEMPHIS, TN, 
4284, 3100 FORD RD, MEMPHIS, TN, 
4285, 3100 PARKER, MEMPHIS, TN, 
4286, 3200 COVINGTON PIKE, MEMPHIS, TN, 
4287, 3200 LAMPHIER, MEMPHIS, TN, 
4288, 3300 DANVILLE, MEMPHIS, TN, 
4289, 3400 BROCKCREST CV, MEMPHIS, TN, 
4290, 3400 KRISTY, MEMPHIS, TN, 
4291, 3400 W WINCHESTER, MEMPHIS, TN, 
4292, 3500 BIRDSONG FERRY, MEMPHIS, TN, 
4293, 3500 E BRIARPARK DR, MEMPHIS, TN, 
4294, 3500 RANGE LINE RD, MEMPHIS, TN, 
4295, 3500 S MENDENHALL, MEMPHIS, TN, 
4296, 3500 VERNON AVE, MEMPHIS, TN, 
4297, 3600 CARNES, MEMPHIS, TN, 
4298, 3600 DEBBY, MEMPHIS, TN, 
4299, 3600 DOUGLASS, MEMPHIS, TN, 
4300, 3600 KIRBY PKWY, MEMPHIS, TN, 
4301, 3600 PINE TREE CT, MEMPHIS, TN, 
4302, 3600 RIDGEMONT AVE, MEMPHIS, TN, 
4303, 3600 S GOODLETT, MEMPHIS, TN, 
4304, 3600 SPORTSWAY CT, MEMPHIS, TN, 
4305, 3600 WINBRANCH DR, MEMPHIS, TN, 
4306, 3700 BROOKMEADE, MEMPHIS, TN, 
4307, 3700 ELM PARK, MEMPHIS, TN, 
