95424, 2200 POLPLAR, MEMPHIS, TN, 
95425, 2200 POPLAR #74, MEMPHIS, TN, 
95426, 2200 POPLAR AVE 38104, MEMPHIS, TN, 
95427, 2200 POPLAR AVE APT 36, MEMPHIS, TN, 
95428, 2200 POPLAR PENTHOUSE #3, MEMPHIS, TN, 
95429, 2200 POPLAR, APT 1, MEMPHIS, TN, 
95430, 2200 POPLAT AVE, MEMPHIS, TN, 
95431, 2200 PRIMACY PKWY, MEMPHIS, TN, 
95432, 2200 PROGRESS, MEMPHIS, TN, 
95433, 2200 PTARMIGAN TRL, MEMPHIS, TN, 
95434, 2200 PTARMIGAN, MEMPHIS, TN, 
95435, 2200 PTARMIGIAN TRAIL, MEMPHIS, TN, 
95436, 2200 PTARMINGAN TRAIL, MEMPHIS, TN, 
95437, 2200 PUBELO, MEMPHIS, TN, 
95438, 2200 PUEBLO AND UNIVERSITY ST, MEMPHIS, TN, 
95439, 2200 PUENLO, MEMPHIS, TN, 
95440, 2200 PURPLE LEAF CV, MEMPHIS, TN, 
95441, 2200 RADFORD, MEMPHIS, TN, 
95442, 2200 RAL LAGRANGE, MEMPHIS, TN, 
95443, 2200 RALEIGH MILLINGTON, MEMPHIS, TN, 
95444, 2200 REDBUD CIR, MEMPHIS, TN, 
95445, 2200 REDBUD ST, MEMPHIS, TN, 
95446, 2200 REMBROOK AND KINGSROW PKWY, MEMPHIS, TN, 
95447, 2200 RIDGECREST RD, MEMPHIS, TN, 
95448, 2200 RIDGECREST ST, MEMPHIS, TN, 
95449, 2200 RIVER TRACE W, MEMPHIS, TN, 
95450, 2200 RIVER TRCE, MEMPHIS, TN, 
95451, 2200 RIVERDALE RD, MEMPHIS, TN, 
95452, 2200 RIVERTACE, MEMPHIS, TN, 
95453, 2200 RIVERTRACE 6, MEMPHIS, TN, 
95454, 2200 RIVERTRACE EAST, MEMPHIS, TN, 
95455, 2200 RIVERTRACE RD, MEMPHIS, TN, 
95456, 2200 ROCKEY STREAM DR, MEMPHIS, TN, 
95457, 2200 ROCKEY STREAM, MEMPHIS, TN, 
95458, 2200 ROTHERWOOD PL, MEMPHIS, TN, 
95459, 2200 S 3RD, MEMPHIS, TN, 
95460, 2200 S CABANA CIR, MEMPHIS, TN, 
95461, 2200 S GERMANTOWN RD, MEMPHIS, TN, 
