155242, I40 AND VOLLINTINE, MEMPHIS, TN, 
155243, I40 AND WALNUT GROVE, EAST BOUND, MEMPHIS, TN, 
155244, I40 AND WARFORD E AND B, MEMPHIS, TN, 
155245, I40 AND WARFORD ST, MEMPHIS, TN, 
155246, I40 AND WATFORD ST, MEMPHIS, TN, 
155247, I40 AND WEST WHITTEN, MEMPHIS, TN, 
155248, I40 ANDGERMANTOWN PKWY, MEMPHIS, TN, 
155249, I40 AT WHITTEN, MEMPHIS, TN, 
155250, I40 E AND 101 CONNECTOR, MEMPHIS, TN, 
155251, I40 E AND B AND COVINGTONPIKE, MEMPHIS, TN, 
155252, I40 E AND B AND HWY 64, MEMPHIS, TN, 
155253, I40 E AND B AND JACKSON, MEMPHIS, TN, 
155254, I40 E AND B EAST OF WHITTEN RD, MEMPHIS, TN, 
155255, I40 E AND B WEST OF SYCAMORE VIEW, MEMPHIS, TN, 
155256, I40 E AND MCLEAN, MEMPHIS, TN, 
155257, I40 E/B AT HOLLYWOOD, MEMPHIS, TN, 
155258, I40 EASTBOUND AND CHELSEA AVE, MEMPHIS, TN, 
155259, I40 EASTBOUND AND HOLLYWOOD BLVD, MEMPHIS, TN, 
155260, I40 EB AND AUSTIN EXIT RAMP, MEMPHIS, TN, 
155261, I40 EB AND MADISON RAMP, MEMPHIS, TN, 
155262, I40 EB AND WATKINS ST, MEMPHIS, TN, 
155263, I40 EB AUSTIN PEAY OFF RAMP, MEMPHIS, TN, 
155264, I40 HWY AND WATKINS, MEMPHIS, TN, 
155265, I40 HWY, MEMPHIS, TN, 
155266, I40 INTERSTATE HWY, MEMPHIS, TN, 
155267, I40 JACKSON AVE, MEMPHIS, TN, 
155268, I40 OFF RAMP TO SYCAMORE VIEW, MEMPHIS, TN, 
155269, I40 ON RAMP TO I240 N AND B ( AND FAX ON), MEMPHIS, TN, 
155270, I40 W AND AUSTIN PEAY, MEMPHIS, TN, 
155271, I40 W AND B AND 101 CONECTOR, MEMPHIS, TN, 
155272, I40 W AND B AND CHELSEA, MEMPHIS, TN, 
155273, I40 W AND B AND COVINGTON PIKE, MEMPHIS, TN, 
155274, I40 W AND B AND DANNY THOMAS, MEMPHIS, TN, 
155275, I40 W AND B AND SYCAMORE VIEW, MEMPHIS, TN, 
155276, I40 W AND B EAST OF SYCAMORE VIEW, MEMPHIS, TN, 
155277, I40 W AND B W OF COVINGTON PIKE, MEMPHIS, TN, 
155278, I40 W AND COVINGTON PIKE, MEMPHIS, TN, 
155279, I40 W AND DANNY THOMAS, MEMPHIS, TN, 
155280, I40 W SYCAMORE VIEW, MEMPHIS, TN, 
155281, I40 WB AND HOLLYWOOD EXIT, MEMPHIS, TN, 
155282, I40 WB AND WATKINS ST, MEMPHIS, TN, 
155283, I40 WEST AND EXIT 18, MEMPHIS, TN, 
155284, I40 WEST AND EXIT14, MEMPHIS, TN, 
155285, I40 WEST AND NASHVILLE EXIT, MEMPHIS, TN, 
155286, I40 WEST AND WARFORD ST, MEMPHIS, TN, 
155287, I40 WEST AND WHITTEN, MEMPHIS, TN, 
155288, I40 WEST BOUND AND AUSTIN PEAY HWY, MEMPHIS, TN, 
155289, I40 WEST BOUND HWY, MEMPHIS, TN, 
155290, I40 WESTBOUND AND JACKSON AVE, MEMPHIS, TN, 
155291, I40 WESTBOUND AND WARFORD, MEMPHIS, TN, 
155292, I40-WARFORD E AND B, MEMPHIS, TN, 
155293, I40-WARFORD, MEMPHIS, TN, 
155294, I40, MEMPHIS, TN, 
155295, I40/TILLMAN, MEMPHIS, TN, 
155296, I40E AND CHELSEA AVE, MEMPHIS, TN, 
155297, I40E AND COVINGTON PIKE, MEMPHIS, TN, 
155298, I40E AND HOLLYWOOD AVE, MEMPHIS, TN, 
155299, I40E AND SYCAMORE VIEW, MEMPHIS, TN, 
155300, I40E AND WARFORD, MEMPHIS, TN, 
155301, I40E INTERSTATE WEST OF COVINGTON PIKE, MEMPHIS, TN, 
155302, I40E JACKSON AVE, MEMPHIS, TN, 
155303, I40E NORTH OF SUMMER AVE, MEMPHIS, TN, 
155304, I40W AND SYCAMORE VIEE, MEMPHIS, TN, 
155305, I40W AND SYCAMORE VIEW RD, MEMPHIS, TN, 
155306, I40W AND WARFORD, MEMPHIS, TN, 
155307, I40W AND WATKINS, MEMPHIS, TN, 
155308, I40W NORTH WATKINS ST, MEMPHIS, TN, 
155309, I40W STATE ROUTE 4, MEMPHIS, TN, 
155310, I40WEST OF SYCAMORE VIEW, MEMPHIS, TN, 
155311, I4600 SHELBY DR, MEMPHIS, TN, 
155312, I55 AND BROOKS W AND B, MEMPHIS, TN, 
155313, I55 AND CRUMP, MEMPHIS, TN, 
155314, I55 AND E BROOKS, MEMPHIS, TN, 
