12350, 3200 DEMOCRAT RD, MEMPHIS, TN, 
12351, 3200 MORIAH TRL, MEMPHIS, TN, 
12352, 3200 RENDEZVOUS LN, MEMPHIS, TN, 
12353, 3200 STEELE ST, MEMPHIS, TN, 
12354, 3300 DRAYTON WOODS, MEMPHIS, TN, 
12355, 3300 FOREST GLEN ST, MEMPHIS, TN, 
12356, 3300 KNIGHT TRAIL CIR, MEMPHIS, TN, 
12357, 3300 KNIGHT TRAILS CIRCLE, MEMPHIS, TN, 
12358, 3300 LADBROOK, MEMPHIS, TN, 
12359, 3300 LYNCHBURG, MEMPHIS, TN, 
12360, 3300 MILLINGTON ST, MEMPHIS, TN, 
12361, 3300 NORTON, MEMPHIS, TN, 
12362, 3300 POWERS RD, MEMPHIS, TN, 
12363, 3300 STEELE ST, MEMPHIS, TN, 
12364, 3300 WOODHOLLOW DR, MEMPHIS, TN, 
12365, 3400 BEREA RD, MEMPHIS, TN, 
12366, 3400 CRAIN CV, MEMPHIS, TN, 
12367, 3400 FOSTORIA, MEMPHIS, TN, 
12368, 3400 GILL, MEMPHIS, TN, 
12369, 3400 GIVEN AVE, MEMPHIS, TN, 
12370, 3400 LADUE, MEMPHIS, TN, 
12371, 3400 LESCHALLAS, MEMPHIS, TN, 
12372, 3400 MELODYWOOD, MEMPHIS, TN, 
12373, 3400 PLAYERS CLUB PKWY, MEMPHIS, TN, 
12374, 3400 PLUM, MEMPHIS, TN, 
12375, 3400 RIDGEWAY RD, MEMPHIS, TN, 
12376, 3400 SCENIC HWY, MEMPHIS, TN, 
12377, 3400 SUMMER PLACE, MEMPHIS, TN, 
12378, 3400 SUMMER TRAILS, MEMPHIS, TN, 
12379, 3500 ADELINE, MEMPHIS, TN, 
12380, 3500 FELDSPAR CV, MEMPHIS, TN, 
12381, 3500 LOCKWOOD, MEMPHIS, TN, 
12382, 3500 MADEWELL ST, MEMPHIS, TN, 
12383, 3500 RADFORD RD, MEMPHIS, TN, 
12384, 3500 S GOODLETT RD, MEMPHIS, TN, 
12385, 3500 W VILLAGE GROVE, MEMPHIS, TN, 
12386, 3600 BUCHANAN, MEMPHIS, TN, 
12387, 3600 CHOWNING, MEMPHIS, TN, 
12388, 3600 FARMVILLE, MEMPHIS, TN, 
12389, 3600 HECKLE, MEMPHIS, TN, 
12390, 3600 MACLIN LN, MEMPHIS, TN, 
12391, 3600 MONESSEN DR, MEMPHIS, TN, 
12392, 3600 PINE RIDGE LN, MEMPHIS, TN, 
12393, 3600 SUZANNE DR, MEMPHIS, TN, 
12394, 3600 WEST HORN LAKE, MEMPHIS, TN, 
12395, 3700 BANKSIDE, MEMPHIS, TN, 
12396, 3700 BLUFF WOOD DR, MEMPHIS, TN, 
12397, 3700 CARRINGTON, MEMPHIS, TN, 
12398, 3700 HYACINTH DR, MEMPHIS, TN, 
12399, 3700 JIREH CV, MEMPHIS, TN, 
12400, 3700 NEW GETWELL RD, MEMPHIS, TN, 
12401, 3700 PEARSON, MEMPHIS, TN, 
12402, 3700 WINBRANCH DR, MEMPHIS, TN, 
12403, 3800 ARGONNE ST, MEMPHIS, TN, 
12404, 3800 DENVER ST, MEMPHIS, TN, 
12405, 3800 DOUGLASS AVE, MEMPHIS, TN, 
12406, 3800 HEALEY, MEMPHIS, TN, 
12407, 3800 MACON RD, MEMPHIS, TN, 
12408, 3800 MERRITT, MEMPHIS, TN, 
12409, 3800 TUTWILER AVE, MEMPHIS, TN, 
12410, 3800 VANDERWOOD, MEMPHIS, TN, 
12411, 3800 WINDEMERE, MEMPHIS, TN, 
12412, 3900 ADVANTAGE WAY, MEMPHIS, TN, 
12413, 3900 BLUE JAY, MEMPHIS, TN, 
12414, 3900 CEDAR PATH DR, MEMPHIS, TN, 
12415, 3900 EMERSON, MEMPHIS, TN, 
12416, 3900 MICKEY, MEMPHIS, TN, 
12417, 3900 RANGELINE, MEMPHIS, TN, 
12418, 3900 TIGER PAW, MEMPHIS, TN, 
12419, 400 CARBON RD, MEMPHIS, TN, 
12420, 400 E H CRUMP, MEMPHIS, TN, 
12421, 400 JENSON, MEMPHIS, TN, 
12422, 400 JOHNSON CIRCLE WEST, MEMPHIS, TN, 
12423, 400 KING, MEMPHIS, TN, 
12424, 400 LOONEY, MEMPHIS, TN, 
12425, 400 MONROE AVE, MEMPHIS, TN, 
