5240, 1400 VINTON, MEMPHIS, TN, 
5241, 1400 WELLS STATION, MEMPHIS, TN, 
5242, 1500 GAITHER, MEMPHIS, TN, 
5243, 1500 HYDE PARK, MEMPHIS, TN, 
5244, 1600 ECHLES, MEMPHIS, TN, 
5245, 1600 N HOLLYWOOD ST, MEMPHIS, TN, 
5246, 1600 NORTH MERTON, MEMPHIS, TN, 
5247, 1600 STACEY, MEMPHIS, TN, 
5248, 1700 GABAY, MEMPHIS, TN, 
5249, 1800 ASH, MEMPHIS, TN, 
5250, 1800 E BROOKS RD, MEMPHIS, TN, 
5251, 1800 KANSAS, MEMPHIS, TN, 
5252, 1800 SUTTON, MEMPHIS, TN, 
5253, 1800 WALTER, MEMPHIS, TN, 
5254, 1800 WARNER, MEMPHIS, TN, 
5255, 1900 BARONESS DR, MEMPHIS, TN, 
5256, 1900 DANVILLE, MEMPHIS, TN, 
5257, 1900 HARTLAND, MEMPHIS, TN, 
5258, 1900 KENDALE, MEMPHIS, TN, 
5259, 200 WEBSTER, MEMPHIS, TN, 
5260, 2000 EAST RAINES, MEMPHIS, TN, 
5261, 2000 NELSON, MEMPHIS, TN, 
5262, 2000 THE OAKS, MEMPHIS, TN, 
5263, 2100 BRIGHTON, MEMPHIS, TN, 
5264, 2100 E PERSON, MEMPHIS, TN, 
5265, 2100 LARAMIE, MEMPHIS, TN, 
5266, 2100 POPLAR AVE, MEMPHIS, TN, 
5267, 2100 SOUTH CABANA CIRCLE, MEMPHIS, TN, 
5268, 2100 YOUNG, MEMPHIS, TN, 
5269, 2300 DEVOY, MEMPHIS, TN, 
5270, 2300 FORREST HILL CT, MEMPHIS, TN, 
5271, 2300 PRATT, MEMPHIS, TN, 
5272, 2300 WEST RIVER TRACE, MEMPHIS, TN, 
5273, 2300 WEST RIVERTRACE, MEMPHIS, TN, 
5274, 2400 CARNES, MEMPHIS, TN, 
5275, 2400 LONGSTREET, MEMPHIS, TN, 
5276, 2500 CORNING, MEMPHIS, TN, 
5277, 2500 DOUGLASS, MEMPHIS, TN, 
5278, 2500 LAMAR AVE, MEMPHIS, TN, 
5279, 2700 DAVEY DR, MEMPHIS, TN, 
5280, 2700 KIRBY WHITTEN, MEMPHIS, TN, 
5281, 2700 SELECT AVE, MEMPHIS, TN, 
5282, 2800 SONORA DR, MEMPHIS, TN, 
5283, 2900 AIRWAYS BLVD, MEMPHIS, TN, 
5284, 2900 BASKIN, MEMPHIS, TN, 
5285, 2900 KNIGHTWAY, MEMPHIS, TN, 
5286, 300 CHANNEL 3, MEMPHIS, TN, 
5287, 300 ELDERS ROW, MEMPHIS, TN, 
5288, 300 NORTH LAUDERDALE, MEMPHIS, TN, 
5289, 300 SCOTT, MEMPHIS, TN, 
5290, 300 VAAL, MEMPHIS, TN, 
5291, 3000 DEARING, MEMPHIS, TN, 
5292, 3000 SPOTTSWOOD, MEMPHIS, TN, 
5293, 3100 KIMBALL AVE, MEMPHIS, TN, 
5294, 3100 SOUTH PERKINS, MEMPHIS, TN, 
5295, 3200 HIGHLAND PARK PLACE, MEMPHIS, TN, 
5296, 3200 LYNDALE, MEMPHIS, TN, 
5297, 3200 WINSLOW, MEMPHIS, TN, 
