23240, 1500 LAPALOMA CR, MEMPHIS, TN, 
23241, 1500 MARIANNA, MEMPHIS, TN, 
23242, 1500 MERLIN AVE, MEMPHIS, TN, 
23243, 1500 MT MORIAH, MEMPHIS, TN, 
23244, 1500 OAKWOOD ST, MEMPHIS, TN, 
23245, 1500 PATTON ST, MEMPHIS, TN, 
23246, 1500 PENDELTON, MEMPHIS, TN, 
23247, 1500 SOUTH PKWY EAST, MEMPHIS, TN, 
23248, 1500 TREE HAVEN CV, MEMPHIS, TN, 
23249, 1500 TUNICA ST, MEMPHIS, TN, 
23250, 1500 WABASH AVE, MEMPHIS, TN, 
23251, 1500 WAGON TRAIL LN, MEMPHIS, TN, 
23252, 1500 WELLSTATION, MEMPHIS, TN, 
23253, 1600 ANTONA, MEMPHIS, TN, 
23254, 1600 BAGGETT, MEMPHIS, TN, 
23255, 1600 CANE MEADOW CR, MEMPHIS, TN, 
23256, 1600 COLONIAL RD, MEMPHIS, TN, 
23257, 1600 E PERSON AVE, MEMPHIS, TN, 
23258, 1600 EAST HOLMES RD, MEMPHIS, TN, 
23259, 1600 EAST MCLEMORE AVE, MEMPHIS, TN, 
23260, 1600 EASTMORELAND AVE, MEMPHIS, TN, 
23261, 1600 FAIRFAX ST, MEMPHIS, TN, 
23262, 1600 GOTTEN, MEMPHIS, TN, 
23263, 1600 GOWAN DR, MEMPHIS, TN, 
23264, 1600 HARBERT, MEMPHIS, TN, 
23265, 1600 HARBOR AVE, MEMPHIS, TN, 
23266, 1600 HAYNE, MEMPHIS, TN, 
23267, 1600 PAULLUS DR, MEMPHIS, TN, 
23268, 1600 PKWY VIEW CR, MEMPHIS, TN, 
23269, 1600 POPLAR OAKS CIRCLE, MEMPHIS, TN, 
23270, 1600 S COOPER ST, MEMPHIS, TN, 
23271, 1600 S MCLEAN, MEMPHIS, TN, 
23272, 1600 SOUTH PRESCOTT, MEMPHIS, TN, 
23273, 1600 SOUTH WELLINGTON, MEMPHIS, TN, 
23274, 1600 SPARKS CV, MEMPHIS, TN, 
23275, 1600 SYCAMORE VW, MEMPHIS, TN, 
23276, 1600 SYDNEY ST, MEMPHIS, TN, 
23277, 1600 TREZVANT, MEMPHIS, TN, 
23278, 1600 WHITEWATER RD, MEMPHIS, TN, 
23279, 1600 WOOD FARMS DR, MEMPHIS, TN, 
23280, 1700 AIRWAYS BLVD, MEMPHIS, TN, 
