96462, 2400 BALL RD, MEMPHIS, TN, 
96463, 2400 BALL, MEMPHIS, TN, 
96464, 2400 BALTIMORE, MEMPHIS, TN, 
96465, 2400 BARRIS, MEMPHIS, TN, 
96466, 2400 BARWYN PL N, MEMPHIS, TN, 
96467, 2400 BARWYN PL S, MEMPHIS, TN, 
96468, 2400 BARWYN PL, MEMPHIS, TN, 
96469, 2400 BARWYN PLACE N, MEMPHIS, TN, 
96470, 2400 BARWYN PLACE NORTH RD, MEMPHIS, TN, 
96471, 2400 BARWYN PLACE, MEMPHIS, TN, 
96472, 2400 BAY POINTE CIRCLE-WEST, MEMPHIS, TN, 
