9220, 1300 FLORIDA, MEMPHIS, TN, 
9221, 1300 MARCIA, MEMPHIS, TN, 
9222, 1300 SAXON, MEMPHIS, TN, 
9223, 1300 WEDGEWOOD, MEMPHIS, TN, 
9224, 1400 BONNIE DR, MEMPHIS, TN, 
9225, 1400 FAIRFAX, MEMPHIS, TN, 
9226, 1400 FLORIDA ST, MEMPHIS, TN, 
9227, 1400 HARBERT AVE, MEMPHIS, TN, 
9228, 1400 HEATHCLIFF, MEMPHIS, TN, 
9229, 1400 MARIA ST, MEMPHIS, TN, 
9230, 1400 MARY JANE AVE, MEMPHIS, TN, 
9231, 1400 OAKRIDGE, MEMPHIS, TN, 
9232, 1400 QUINN AVE, MEMPHIS, TN, 
9233, 1500 ALCY, MEMPHIS, TN, 
9234, 1500 BONNIE DR, MEMPHIS, TN, 
9235, 1500 BOXWOOD ST, MEMPHIS, TN, 
9236, 1500 CHELSEA, MEMPHIS, TN, 
9237, 1500 E SHELBY, MEMPHIS, TN, 
9238, 1500 HARLEM, MEMPHIS, TN, 
9239, 1500 KNEY, MEMPHIS, TN, 
9240, 1500 LATHAM ST, MEMPHIS, TN, 
9241, 1500 MARCIA, MEMPHIS, TN, 
9242, 1500 MERTON, MEMPHIS, TN, 
9243, 1500 S PERKINS, MEMPHIS, TN, 
9244, 1500 STARR, MEMPHIS, TN, 
9245, 1600 BEAVER TRAIL, MEMPHIS, TN, 
9246, 1600 BONNIE LN, MEMPHIS, TN, 
9247, 1600 CENTURY ARBOR, MEMPHIS, TN, 
9248, 1600 GENESIS CIR, MEMPHIS, TN, 
9249, 1600 LAMAR AVE, MEMPHIS, TN, 
9250, 1600 MILLVIEW DR, MEMPHIS, TN, 
9251, 1600 N GERMANTOWN PKWY, MEMPHIS, TN, 
9252, 1600 NORTH PKWY, MEMPHIS, TN, 
9253, 1600 OLD HICKORY, MEMPHIS, TN, 
9254, 1600 SUNSET, MEMPHIS, TN, 
9255, 1600 WHITNEY AVE, MEMPHIS, TN, 
9256, 1700 EAST BROOKS, MEMPHIS, TN, 
9257, 1700 FRAYSER, MEMPHIS, TN, 
9258, 1700 PENNSYLVANIA ST, MEMPHIS, TN, 
9259, 1700 VICKY LN, MEMPHIS, TN, 
9260, 1800 HARRISON, MEMPHIS, TN, 
9261, 1800 RAGAN, MEMPHIS, TN, 
9262, 1800 STEVE ANN, MEMPHIS, TN, 
9263, 1900 CORNING AVE, MEMPHIS, TN, 
9264, 1900 N GERMANTOWN, MEMPHIS, TN, 
9265, 1900 SNOWDEN, MEMPHIS, TN, 
9266, 1900 VOLLINTINE, MEMPHIS, TN, 
9267, 1900 WILCHESTER, MEMPHIS, TN, 
9268, 200 CHARTER, MEMPHIS, TN, 
9269, 200 E BISCAYNE, MEMPHIS, TN, 
9270, 200 EAST NORWOOD, MEMPHIS, TN, 
9271, 200 GLEN PARK DR, MEMPHIS, TN, 
9272, 200 S HOLMES, MEMPHIS, TN, 
9273, 200 S PKWY, MEMPHIS, TN, 
9274, 2000 CARVER ST, MEMPHIS, TN, 
9275, 2000 CORNING AVE, MEMPHIS, TN, 
9276, 2000 CROYDON, MEMPHIS, TN, 
9277, 2000 FOSTER AVE, MEMPHIS, TN, 
9278, 2000 WHITNEY AVE, MEMPHIS, TN, 
9279, 2100 KENTUCKY, MEMPHIS, TN, 
9280, 2100 N CABANA, MEMPHIS, TN, 
9281, 2100 PERRY, MEMPHIS, TN, 
9282, 2100 WASKOM, MEMPHIS, TN, 
9283, 2200 E PERSON AVE, MEMPHIS, TN, 
9284, 2200 EAST RAINES, MEMPHIS, TN, 
9285, 2200 EAST RIVER TRACE, MEMPHIS, TN, 
9286, 2200 GOFF, MEMPHIS, TN, 
9287, 2200 HILLSHIRE CIRCLE, MEMPHIS, TN, 
9288, 2200 SHANNON AVE, MEMPHIS, TN, 
9289, 2200 TURNER, MEMPHIS, TN, 
9290, 2400 BROOKLYN AVE, MEMPHIS, TN, 
