54267, I 40 AND WHITTEN RD, MEMPHIS, TN, 
54268, I 40 W AND B AND SYCAMORE VIEW RD, MEMPHIS, TN, 
54269, I 55 AND E BROOKS RD, MEMPHIS, TN, 
54270, I-240 AND ALCY, MEMPHIS, TN, 
54271, I-240 AND MILBRANCH, MEMPHIS, TN, 
54272, I-240 AND MTMORIAH, MEMPHIS, TN, 
54273, I-240 AND PARKWAY, MEMPHIS, TN, 
54274, I-240 AND S PKWY E, MEMPHIS, TN, 
54275, I-240 AND S PKWY EAST, MEMPHIS, TN, 
54276, I-240 AND SHADY GROVE RD, MEMPHIS, TN, 
54277, I-240 AND SOUTH PERKINS, MEMPHIS, TN, 
54278, I-240 AND SUMMER AVE, MEMPHIS, TN, 
54279, I-240 E AND B AND MILLBRANCH RD, MEMPHIS, TN, 
54280, I-240 S AND B AND UNION AVE, MEMPHIS, TN, 
54281, I-240, POPLAR AVE, MEMPHIS, TN, 
54282, I-240N AND LAMAR, MEMPHIS, TN, 
54283, I-240W AND LAMAR AVE, MEMPHIS, TN, 
54284, I-385 AND KIRBY PKWY, MEMPHIS, TN, 
54285, I-40 AND GERMANTOWN, MEMPHIS, TN, 
54286, I-40 AND HOLLYWOOD ST, MEMPHIS, TN, 
54287, I-40 AND MILLINGTON, MEMPHIS, TN, 
54288, I-40 AND N GERMANTOWN PKWY, MEMPHIS, TN, 
54289, I-40 AND SMITH, MEMPHIS, TN, 
54290, I-40 AND WALNUT GROVE, MEMPHIS, TN, 
54291, I-40 EAST AND APPLING RD, MEMPHIS, TN, 
54292, I-40 W AND DANNY THOMAS, MEMPHIS, TN, 
54293, I-55 AND MALLORY AVE, MEMPHIS, TN, 
54294, I-55 AND RAINES RD, MEMPHIS, TN, 
54295, I-55 AND S PKWY, MEMPHIS, TN, 
54296, I240 AND I385, MEMPHIS, TN, 
54297, I240 AND JACKSON AVE, MEMPHIS, TN, 
54298, I240 AND MCLEMORE, MEMPHIS, TN, 
54299, I240 W AND B AND AIRWAYS, MEMPHIS, TN, 
54300, I240E AND POPLAR AVE, MEMPHIS, TN, 
54301, I240WB AND AIRWAYS, MEMPHIS, TN, 
54302, I385 AND I240, MEMPHIS, TN, 
54303, I385 AND WINCHESTER, MEMPHIS, TN, 
54304, I40 AND EXIT 9, MEMPHIS, TN, 
54305, I40 AND NORRIS RD, MEMPHIS, TN, 
54306, I40 AND SAM COOPER, MEMPHIS, TN, 
54307, I40 AND THOMAS, MEMPHIS, TN, 
54308, I40 E AND B AND GERMANTOWN PKWY, MEMPHIS, TN, 
54309, I40 E AND B AND GERMANTOWN, MEMPHIS, TN, 
54310, I55 AND BROOKS RD, MEMPHIS, TN, 
54311, I55 AND HOLMES RD, MEMPHIS, TN, 
54312, I55 AND SHELBY, MEMPHIS, TN, 
54313, I55 AND STATELINE, MEMPHIS, TN, 
54314, I55 RD AND BROOKS RD, MEMPHIS, TN, 
54315, IDLEWILD AND MADISON, MEMPHIS, TN, 
54316, IDLEWILD AND UNION, MEMPHIS, TN, 
54317, IMAGINATION DR AND CITATION DR, MEMPHIS, TN, 
54318, IMOGENE AND KENNER, MEMPHIS, TN, 
54319, IMOGENE AND KETCHUM, MEMPHIS, TN, 
54320, IN FRONT OF 4315 COTTONWOOD RD, MEMPHIS, TN, 
54321, INEZ AND DOUGLAS, MEMPHIS, TN, 
54322, INGLE AND KANSAS, MEMPHIS, TN, 
54323, INMAN AND PARK, MEMPHIS, TN, 
54324, INTERSTATE 240 AND SAM COOPER, MEMPHIS, TN, 
54325, INTERSTATE 40 WEST AND INTERSTATE 240, MEMPHIS, TN, 
54326, INTERSTATE 55 AND SHELBY DR, MEMPHIS, TN, 
54327, ISHERWOOD AND GERMANTOWN, MEMPHIS, TN, 
54328, ISLAND DR AND HARBOR TOWN BLVD, MEMPHIS, TN, 
54329, ISLAND DR AND HARBOR TOWN CIR, MEMPHIS, TN, 
54330, ISLAND DRIVE AND SAWYER CIRCLE, MEMPHIS, TN, 
54331, IVAN AND NEWTON, MEMPHIS, TN, 
54332, JACKSON AND BRIGHTON, MEMPHIS, TN, 
54333, JACKSON AND DANNY THOMAS, MEMPHIS, TN, 
54334, JACKSON AND DICKINSON, MEMPHIS, TN, 
54335, JACKSON AND HAWTHORNE, MEMPHIS, TN, 
54336, JACKSON AND HEMMINGWAY, MEMPHIS, TN, 
54337, JACKSON AND I 240, MEMPHIS, TN, 
54338, JACKSON AND KENDRICK, MEMPHIS, TN, 
54339, JACKSON AND MACON RD, MEMPHIS, TN, 
54340, JACKSON AND MANSFIELD, MEMPHIS, TN, 
54341, JACKSON AND MAPLE, MEMPHIS, TN, 
54342, JACKSON AND MEAGHER, MEMPHIS, TN, 
54343, JACKSON AND N MAIN, MEMPHIS, TN, 
54344, JACKSON AND SPRING, MEMPHIS, TN, 
54345, JACKSON AND SPRINGDALE RUN, MEMPHIS, TN, 
54346, JACKSON AVE AND AYERS ST, MEMPHIS, TN, 
54347, JACKSON AVE AND BELLEVUE, MEMPHIS, TN, 
54348, JACKSON AVE AND CLAYBROOK, MEMPHIS, TN, 
54349, JACKSON AVE AND EVERGREEN ST, MEMPHIS, TN, 
54350, JACKSON AVE AND FAIROAKS AVE, MEMPHIS, TN, 
54351, JACKSON AVE AND HOLLYWOOD, MEMPHIS, TN, 
54352, JACKSON AVE AND I240, MEMPHIS, TN, 
54353, JACKSON AVE AND I40, MEMPHIS, TN, 
54354, JACKSON AVE AND MAURY, MEMPHIS, TN, 
54355, JACKSON AVE AND N BELLEVUE BLVD, MEMPHIS, TN, 
54356, JACKSON AVE AND NATIONAL ST, MEMPHIS, TN, 
54357, JACKSON AVE AND OLYMPIC ST, MEMPHIS, TN, 
54358, JACKSON AVE AND PEARCE ST, MEMPHIS, TN, 
54359, JACKSON AVE AND SPEED ST, MEMPHIS, TN, 
