81214, 1100 CARNARY LN, MEMPHIS, TN, 
81215, 1100 CARRELTON, MEMPHIS, TN, 
81216, 1100 CARROLTON DR, MEMPHIS, TN, 
81217, 1100 CARROLTON RD, MEMPHIS, TN, 
81218, 1100 CASSABELLA, MEMPHIS, TN, 
81219, 1100 CASSEBELLA CV, MEMPHIS, TN, 
81220, 1100 CASTALIA, MEMPHIS, TN, 
81221, 1100 CATALINA, MEMPHIS, TN, 
81222, 1100 CEDAR AVE, MEMPHIS, TN, 
81223, 1100 CHAMBERS, MEMPHIS, TN, 
81224, 1100 CHAMBLIS, MEMPHIS, TN, 
81225, 1100 CHAMBLISS RM 101A, MEMPHIS, TN, 
81226, 1100 CHAMBLISS ROAD, MEMPHIS, TN, 
81227, 1100 CHAMBLISS ST, MEMPHIS, TN, 
81228, 1100 CHANNEL ST, MEMPHIS, TN, 
81229, 1100 CHARTER OAK DR, MEMPHIS, TN, 
81230, 1100 CHARTER OAK, MEMPHIS, TN, 
81231, 1100 CHELEASE, MEMPHIS, TN, 
81232, 1100 CHELSES, MEMPHIS, TN, 
81233, 1100 CHERRYRD, MEMPHIS, TN, 
81234, 1100 CHICAGO ST, MEMPHIS, TN, 
81235, 1100 CINDY ST, MEMPHIS, TN, 
81236, 1100 CLAYTON, MEMPHIS, TN, 
81237, 1100 CLEMENTINE, MEMPHIS, TN, 
81238, 1100 CLYDE AVE, MEMPHIS, TN, 
81239, 1100 COLGATE ST, MEMPHIS, TN, 
81240, 1100 COLLAGE ST, MEMPHIS, TN, 
81241, 1100 COLLEGE 12, MEMPHIS, TN, 
81242, 1100 COLLEGE 2, MEMPHIS, TN, 
81243, 1100 COLLEGE 4, MEMPHIS, TN, 
81244, 1100 COLLEGE APT 2, MEMPHIS, TN, 
81245, 1100 COLLEGE PARK, MEMPHIS, TN, 
81246, 1100 COLLEGE ST 11, MEMPHIS, TN, 
81247, 1100 COLONIIAL, MEMPHIS, TN, 
81248, 1100 COOPER AVE, MEMPHIS, TN, 
81249, 1100 COOPER ST, MEMPHIS, TN, 
81250, 1100 COPPER ST, MEMPHIS, TN, 
81251, 1100 CORDORVA STATION, MEMPHIS, TN, 
81252, 1100 CORTONA, MEMPHIS, TN, 
81253, 1100 COTTAGE STREET, MEMPHIS, TN, 
81254, 1100 COURT AV, MEMPHIS, TN, 
81255, 1100 COURT AVE AND SOMERVILLE ST, MEMPHIS, TN, 
81256, 1100 COURT ST, MEMPHIS, TN, 
81257, 1100 COUT, MEMPHIS, TN, 
81258, 1100 CRAFT APT 8, MEMPHIS, TN, 
81259, 1100 CRAFT RD 3, MEMPHIS, TN, 
81260, 1100 CRAFT, APT 2, MEMPHIS, TN, 
81261, 1100 CRESTAHAVEN, MEMPHIS, TN, 
81262, 1100 CRESTHAVEN 300, MEMPHIS, TN, 
81263, 1100 CRESTHAVEN, STE 300, MEMPHIS, TN, 
81264, 1100 CRESTON ST, MEMPHIS, TN, 
81265, 1100 CROSSWOOD LN, MEMPHIS, TN, 
81266, 1100 CRUMP ST, MEMPHIS, TN, 
81267, 1100 CSTON, MEMPHIS, TN, 
81268, 1100 CT #307A, MEMPHIS, TN, 
81269, 1100 CT #430, MEMPHIS, TN, 
81270, 1100 CT #624B, MEMPHIS, TN, 
81271, 1100 CT 238C, MEMPHIS, TN, 
81272, 1100 CT 538C, MEMPHIS, TN, 
81273, 1100 CT 619B, MEMPHIS, TN, 
81274, 1100 CT AAVE, MEMPHIS, TN, 
81275, 1100 CT APT 626 B, MEMPHIS, TN, 
81276, 1100 CT APT729C, MEMPHIS, TN, 
81277, 1100 CT ARE, MEMPHIS, TN, 
81278, 1100 CT AVE #134, MEMPHIS, TN, 
81279, 1100 CT AVE APT 333C, MEMPHIS, TN, 
81280, 1100 CT AVE APT 429C, MEMPHIS, TN, 
81281, 1100 CT RM 327C, MEMPHIS, TN, 
81282, 1100 CULLEN WOOD, MEMPHIS, TN, 
81283, 1100 CULLENWOOD DR, MEMPHIS, TN, 
81284, 1100 CULLY, MEMPHIS, TN, 
81285, 1100 CUMMIMGS, MEMPHIS, TN, 
81286, 1100 CUMMINGS AND WALKER AVE, MEMPHIS, TN, 
81287, 1100 CUMMINS ST, MEMPHIS, TN, 
81288, 1100 DACATUR, MEMPHIS, TN, 
81289, 1100 DAN KURKENDALL, MEMPHIS, TN, 
81290, 1100 DAN KURKENDELL CV, MEMPHIS, TN, 
81291, 1100 DAN KURYKENDALL, MEMPHIS, TN, 
81292, 1100 DAN KUYKENDAL, MEMPHIS, TN, 
81293, 1100 DAN KUYKENDOLL, MEMPHIS, TN, 
81294, 1100 DAN NEWARD KUYKENDALL, MEMPHIS, TN, 
81295, 1100 DANITA RD, MEMPHIS, TN, 
81296, 1100 DARING, MEMPHIS, TN, 
81297, 1100 DAWES AVE, MEMPHIS, TN, 
81298, 1100 DAWES ST, MEMPHIS, TN, 
81299, 1100 DECATUR AVE, MEMPHIS, TN, 
81300, 1100 DECATUR DR, MEMPHIS, TN, 
81301, 1100 DECATURE, MEMPHIS, TN, 
81302, 1100 DEL MAR AVE, MEMPHIS, TN, 
81303, 1100 DELANO ST, MEMPHIS, TN, 
81304, 1100 DELMA-, MEMPHIS, TN, 
81305, 1100 DELMAR RD, MEMPHIS, TN, 
81306, 1100 DEURMAIN PLACE, MEMPHIS, TN, 
81307, 1100 DEURMAIN ST, MEMPHIS, TN, 
81308, 1100 DEXTER LN, MEMPHIS, TN, 
81309, 1100 DILLLWORTH, MEMPHIS, TN, 
81310, 1100 DR M L KING DR, MEMPHIS, TN, 
81311, 1100 DR MARTIN LUTHER KING JR, MEMPHIS, TN, 
81312, 1100 DR MARTIN LUTHER KING, MEMPHIS, TN, 
81313, 1100 DR MLK JR DR, MEMPHIS, TN, 
81314, 1100 DUMAINE WAY, MEMPHIS, TN, 
81315, 1100 DUMAINE, MEMPHIS, TN, 
81316, 1100 DUMO CV, MEMPHIS, TN, 
81317, 1100 DUOMO ST, MEMPHIS, TN, 
81318, 1100 DURANGO LN, MEMPHIS, TN, 
81319, 1100 DURHAM, MEMPHIS, TN, 
81320, 1100 DUSTY LN, MEMPHIS, TN, 
81321, 1100 E BROOK ST, MEMPHIS, TN, 
81322, 1100 E BROOKS CIR, MEMPHIS, TN, 
81323, 1100 E BROOKS CIRCLE, MEMPHIS, TN, 
81324, 1100 E BROOKS DR, MEMPHIS, TN, 
81325, 1100 E CABAANA, MEMPHIS, TN, 
81326, 1100 E CABAN CIRCLE, MEMPHIS, TN, 
81327, 1100 E CABANA 10, MEMPHIS, TN, 
81328, 1100 E CABANA 6, MEMPHIS, TN, 
81329, 1100 E CABANA AIR, MEMPHIS, TN, 
81330, 1100 E CABANA AVE, MEMPHIS, TN, 
81331, 1100 E CABANA CIR 5, MEMPHIS, TN, 
81332, 1100 E CABANA CIR APT#6, MEMPHIS, TN, 
81333, 1100 E CABANA CIRC, MEMPHIS, TN, 
81334, 1100 E CABANA CIRCLE 5, MEMPHIS, TN, 
81335, 1100 E CABANA CIRCLE APT 3, MEMPHIS, TN, 
81336, 1100 E CABANA CV, MEMPHIS, TN, 
81337, 1100 E CABBANA #5, MEMPHIS, TN, 
81338, 1100 E CANADA CIR, MEMPHIS, TN, 
81339, 1100 E CRUMP BLVD, MEMPHIS, TN, 
81340, 1100 E DEARING, MEMPHIS, TN, 
81341, 1100 E E H CRUMP BOULEVARD, MEMPHIS, TN, 
81342, 1100 E EH CRUMP AVE, MEMPHIS, TN, 
81343, 1100 E HOMLES RD, MEMPHIS, TN, 
81344, 1100 E ISLAND PL, MEMPHIS, TN, 
81345, 1100 E ISLAND PLACE, MEMPHIS, TN, 
81346, 1100 E MCCLEMORE, MEMPHIS, TN, 
81347, 1100 E MCLEMOR, MEMPHIS, TN, 
81348, 1100 E MCLEMORE 19, MEMPHIS, TN, 
81349, 1100 E MCLEMORE ST, MEMPHIS, TN, 
81350, 1100 E MICHELLE CR ST, MEMPHIS, TN, 
81351, 1100 E MONTEBELLO CIRCLE EAST, MEMPHIS, TN, 
81352, 1100 E MONTEBELLO, MEMPHIS, TN, 
81353, 1100 E PARK LOOP, MEMPHIS, TN, 
81354, 1100 E PARKWYAY S, MEMPHIS, TN, 
81355, 1100 E PKWY CIR, MEMPHIS, TN, 
81356, 1100 E PKWY S 38104, MEMPHIS, TN, 
81357, 1100 E RAINBOW, MEMPHIS, TN, 
81358, 1100 E RAINES RD., MEMPHIS, TN, 
81359, 1100 E ROSLINDALE CIRCLE, MEMPHIS, TN, 
81360, 1100 E TRIGG, AVE, MEMPHIS, TN, 
81361, 1100 E WALDORF, MEMPHIS, TN, 
81362, 1100 E WALPHAL CIRCLE, MEMPHIS, TN, 
81363, 1100 E WALTHUL CIR, MEMPHIS, TN, 
81364, 1100 E WALTON CIR, MEMPHIS, TN, 
81365, 1100 E WILLETT, MEMPHIS, TN, 
81366, 1100 E. RAINES, MEMPHIS, TN, 
81367, 1100 EAST ALCY RD, MEMPHIS, TN, 
81368, 1100 EAST CABANA 7, MEMPHIS, TN, 
81369, 1100 EAST CABANA APT 8, MEMPHIS, TN, 
81370, 1100 EAST CABANA AVE, MEMPHIS, TN, 
81371, 1100 EAST CABANA C, MEMPHIS, TN, 
81372, 1100 EAST CABANA CIR APT 2, MEMPHIS, TN, 
81373, 1100 EAST CABANA CIR EAST, MEMPHIS, TN, 
81374, 1100 EAST CABANA CR ST, MEMPHIS, TN, 
81375, 1100 EAST CABANA ST, MEMPHIS, TN, 
81376, 1100 EAST CABANNA CIR #7, MEMPHIS, TN, 
81377, 1100 EAST CABANNA, MEMPHIS, TN, 
81378, 1100 EAST CABANOR, MEMPHIS, TN, 
81379, 1100 EAST CABBANA CIRCLE, MEMPHIS, TN, 
81380, 1100 EAST CRUMP, MEMPHIS, TN, 
81381, 1100 EAST CSBANA, MEMPHIS, TN, 
81382, 1100 EAST E H CRUMP BLVD, MEMPHIS, TN, 
81383, 1100 EAST EHCRUMP BOULEVARD, MEMPHIS, TN, 
81384, 1100 EAST ISLAND DR, MEMPHIS, TN, 
81385, 1100 EAST MICHELLE, MEMPHIS, TN, 
81386, 1100 EAST PARKWAY S, MEMPHIS, TN, 
81387, 1100 EAST PARKWAY SOUTH BOULEVARD, MEMPHIS, TN, 
81388, 1100 EAST RAINBOW CIRCLE, MEMPHIS, TN, 
81389, 1100 EAST RAINBOW DR, MEMPHIS, TN, 
81390, 1100 EAST ROSILAND, MEMPHIS, TN, 
81391, 1100 EAST ROSINLAND CIRCLE, MEMPHIS, TN, 
81392, 1100 EAST ROSSILAND CIR, MEMPHIS, TN, 
81393, 1100 EAST ROSSILAND, MEMPHIS, TN, 
81394, 1100 EAST SHANKMAN, MEMPHIS, TN, 
81395, 1100 EAST SHANKMEN CR, MEMPHIS, TN, 
81396, 1100 EAST SHELBY, MEMPHIS, TN, 
81397, 1100 EAST TRIGG AVE, MEMPHIS, TN, 
81398, 1100 EAST WALDORF, MEMPHIS, TN, 
81399, 1100 EAST WALTHAL CIR, MEMPHIS, TN, 
81400, 1100 EAST WALTHAL, MEMPHIS, TN, 
81401, 1100 EASTPARKWAY, MEMPHIS, TN, 
81402, 1100 EBROOK, MEMPHIS, TN, 
81403, 1100 EBROOKS RD, MEMPHIS, TN, 
81404, 1100 ECABANA CIRCLE, MEMPHIS, TN, 
81405, 1100 ECABANA, MEMPHIS, TN, 
81406, 1100 ECABANNA CIR, MEMPHIS, TN, 
81407, 1100 ECHELES, MEMPHIS, TN, 
81408, 1100 ECHILES ST, MEMPHIS, TN, 
81409, 1100 ECHILES, MEMPHIS, TN, 
81410, 1100 ECHOLS ST, MEMPHIS, TN, 
81411, 1100 EDITH ST, MEMPHIS, TN, 
81412, 1100 EHTEL ST, MEMPHIS, TN, 
81413, 1100 ELDERIDGE, MEMPHIS, TN, 
81414, 1100 ELDRIDGE AVE, MEMPHIS, TN, 
81415, 1100 ELDRIDGE RD, MEMPHIS, TN, 
81416, 1100 ELIZABETH AN, MEMPHIS, TN, 
81417, 1100 ERAINES RD, MEMPHIS, TN, 
81418, 1100 ERAINES, MEMPHIS, TN, 
81419, 1100 ESPLANADE DR, MEMPHIS, TN, 
81420, 1100 ESPLANEDE, MEMPHIS, TN, 
81421, 1100 ESTATES DR, MEMPHIS, TN, 
81422, 1100 ETHAL ST, MEMPHIS, TN, 
81423, 1100 ETHEL STREET, MEMPHIS, TN, 
81424, 1100 ETHELYN, MEMPHIS, TN, 
81425, 1100 ETHER, MEMPHIS, TN, 
81426, 1100 ETHLYNN, MEMPHIS, TN, 
81427, 1100 ETHYL, MEMPHIS, TN, 
81428, 1100 EVELYN ST, MEMPHIS, TN, 
81429, 1100 EVERGREEN #1, MEMPHIS, TN, 
81430, 1100 EVERGREEN ST, MEMPHIS, TN, 
81431, 1100 EXOCET ST, MEMPHIS, TN, 
81432, 1100 EYERES, MEMPHIS, TN, 
81433, 1100 EYRES, MEMPHIS, TN, 
81434, 1100 FAIR MDWS, MEMPHIS, TN, 
81435, 1100 FAIRMEADOW RD, MEMPHIS, TN, 
81436, 1100 FARROW RD, MEMPHIS, TN, 
81437, 1100 FEILDS RD, MEMPHIS, TN, 
81438, 1100 FIESTONE, MEMPHIS, TN, 
81439, 1100 FIRESTONE DR, MEMPHIS, TN, 
81440, 1100 FIRESTONE RD, MEMPHIS, TN, 
81441, 1100 FIRSTONE AVE, MEMPHIS, TN, 
81442, 1100 FIZER, MEMPHIS, TN, 
81443, 1100 FLAUT ST, MEMPHIS, TN, 
81444, 1100 FLEECE PLACE, MEMPHIS, TN, 
81445, 1100 FLORD AVE, MEMPHIS, TN, 
81446, 1100 FLORIDA BUILDING 41, MEMPHIS, TN, 
81447, 1100 FLORIDA CIRCLE, MEMPHIS, TN, 
81448, 1100 FLOYD ST, MEMPHIS, TN, 
81449, 1100 FOREST AVE, MEMPHIS, TN, 
81450, 1100 FOREST, MEMPHIS, TN, 
81451, 1100 FORREST AVE APT A, MEMPHIS, TN, 
81452, 1100 FOSTER, MEMPHIS, TN, 
81453, 1100 FOX TRACE PKWY, MEMPHIS, TN, 
81454, 1100 FOXTRACE CV, MEMPHIS, TN, 
81455, 1100 FRANKFURT, MEMPHIS, TN, 
81456, 1100 FRAYSER BL, MEMPHIS, TN, 
81457, 1100 GALLOWAY AVE, MEMPHIS, TN, 
81458, 1100 GALLOWAY RD, MEMPHIS, TN, 
81459, 1100 GALLOWAY ST, MEMPHIS, TN, 
81460, 1100 GARDEN ROW, MEMPHIS, TN, 
81461, 1100 GEAR, MEMPHIS, TN, 
81462, 1100 GEEENLAW, MEMPHIS, TN, 
81463, 1100 GERMANTOWN PARKWAY, MEMPHIS, TN, 
81464, 1100 GET WELL RD, MEMPHIS, TN, 
81465, 1100 GLORIA RD, MEMPHIS, TN, 
