16265, 2100 DUNCANSHIRE, MEMPHIS, TN, 
16266, 2100 LAMAR AVE, MEMPHIS, TN, 
16267, 2100 N GERMANTOWN, MEMPHIS, TN, 
16268, 2100 ORCHID, MEMPHIS, TN, 
16269, 2100 S CABANA CR, MEMPHIS, TN, 
16270, 2100 SHARON, MEMPHIS, TN, 
16271, 2100 SLATE, MEMPHIS, TN, 
16272, 2100 ST ELMO AVE, MEMPHIS, TN, 
16273, 2200 BENTON ST, MEMPHIS, TN, 
16274, 2200 BERMUDA RUN, MEMPHIS, TN, 
16275, 2200 CHARJEAN RD, MEMPHIS, TN, 
16276, 2200 DEERCREST, MEMPHIS, TN, 
16277, 2200 FLORIDA ST, MEMPHIS, TN, 
16278, 2200 HILLSIDE AVE, MEMPHIS, TN, 
16279, 2200 KANSAS ST, MEMPHIS, TN, 
16280, 2200 LONGLANE, MEMPHIS, TN, 
16281, 2200 WILLOW WOOD, MEMPHIS, TN, 
16282, 2200 WINDING PATH, MEMPHIS, TN, 
16283, 2200 WOODSEDGE, MEMPHIS, TN, 
16284, 2300 BIRKEN, MEMPHIS, TN, 
16285, 2300 BROMLEY LN, MEMPHIS, TN, 
16286, 2300 BROWN AVE, MEMPHIS, TN, 
16287, 2300 DEADRICK AVE, MEMPHIS, TN, 
16288, 2300 E BROOKS, MEMPHIS, TN, 
16289, 2300 HOWELL ST, MEMPHIS, TN, 
16290, 2300 LAKE HILL CT, MEMPHIS, TN, 
16291, 2300 PODESTA CV, MEMPHIS, TN, 
16292, 2300 VOLLINTINE AVE, MEMPHIS, TN, 
16293, 2300 WARREN, MEMPHIS, TN, 
16294, 2300 WOODSEDGE, MEMPHIS, TN, 
16295, 2400 CENTRAL, MEMPHIS, TN, 
16296, 2400 CORNING, MEMPHIS, TN, 
16297, 2400 DEMOCRAT, MEMPHIS, TN, 
16298, 2400 FALLINGWATER LN, MEMPHIS, TN, 
16299, 2400 HAWKINS MILL, MEMPHIS, TN, 
16300, 2400 ORCHID, MEMPHIS, TN, 
16301, 2400 UNION, MEMPHIS, TN, 
16302, 2500 CLEARPARK DR, MEMPHIS, TN, 
16303, 2500 DURHAM AVE, MEMPHIS, TN, 
16304, 2500 HARGROVE AVE, MEMPHIS, TN, 
16305, 2500 KNOB CV, MEMPHIS, TN, 
16306, 2500 PATE RD, MEMPHIS, TN, 
16307, 2500 SILVER ST, MEMPHIS, TN, 
16308, 2600 BARRON, MEMPHIS, TN, 
16309, 2600 DON KRAG CIRCLE, MEMPHIS, TN, 
16310, 2600 DUNN, MEMPHIS, TN, 
16311, 2600 DWIGHT RD, MEMPHIS, TN, 
16312, 2600 E HOLMES RD, MEMPHIS, TN, 
16313, 2600 HOLLY HEDGE, MEMPHIS, TN, 
16314, 2600 HOLLYWOOD, MEMPHIS, TN, 
16315, 2600 JAMES, MEMPHIS, TN, 
16316, 2600 KETCHUM AVE, MEMPHIS, TN, 
16317, 2600 MADISON, MEMPHIS, TN, 
16318, 2600 NADINE, MEMPHIS, TN, 
16319, 2600 NEW RALEIGH, MEMPHIS, TN, 
16320, 2600 OGDEN AVE, MEMPHIS, TN, 
16321, 2600 SANDPIPER, MEMPHIS, TN, 
16322, 2600 SCOTTSWAY, MEMPHIS, TN, 
16323, 2600 STEELE, MEMPHIS, TN, 
16324, 2600 SUNNY GLADE CV, MEMPHIS, TN, 
16325, 2600 TREEMONT DR, MEMPHIS, TN, 
16326, 2700 BYRD, MEMPHIS, TN, 
16327, 2700 CORAL, MEMPHIS, TN, 
16328, 2700 DAKAR, MEMPHIS, TN, 
16329, 2700 DRURY WAY, MEMPHIS, TN, 
16330, 2700 FRISCO AVE, MEMPHIS, TN, 
16331, 2700 GERMANTOWN RD, MEMPHIS, TN, 
16332, 2700 MOSS VALLEY DR, MEMPHIS, TN, 
16333, 2700 PARKVIEW, MEMPHIS, TN, 
16334, 2700 PLUM CREEK DR, MEMPHIS, TN, 
16335, 2700 SANDPIPER, MEMPHIS, TN, 
16336, 2700 W BARBARA, MEMPHIS, TN, 
16337, 2800 COLONY PARK DR, MEMPHIS, TN, 
16338, 2800 DONNA AVE, MEMPHIS, TN, 
16339, 2800 FLORA, MEMPHIS, TN, 
16340, 2800 JOHN SIKES DR, MEMPHIS, TN, 
16341, 2800 MIDLAND AVE, MEMPHIS, TN, 
16342, 2800 MOUNTAIN TERRACE, MEMPHIS, TN, 
16343, 2800 OLD AUSTIN PEAY, MEMPHIS, TN, 
16344, 2800 SOUTHERN, MEMPHIS, TN, 
16345, 2800 VENETIAN CSWY, MEMPHIS, TN, 
16346, 2800 WAVERLY AVE, MEMPHIS, TN, 
16347, 2900 ALPENA, MEMPHIS, TN, 
16348, 2900 CENTRAL, MEMPHIS, TN, 
16349, 2900 HICKORY HL, MEMPHIS, TN, 
16350, 2900 HICKORY VILLAS DR, MEMPHIS, TN, 
16351, 2900 INVERGARRY, MEMPHIS, TN, 
16352, 2900 LAROSE AVE, MEMPHIS, TN, 
16353, 2900 MANNDALE, MEMPHIS, TN, 
16354, 2900 MCVAY TRAIL, MEMPHIS, TN, 
16355, 2900 MEADOW LAKE EAST, MEMPHIS, TN, 
16356, 2900 MIDLAND, MEMPHIS, TN, 
16357, 2900 SPOTTSWOOD AVE, MEMPHIS, TN, 
16358, 2900 STONE WAY, MEMPHIS, TN, 
16359, 2900 TARBORA, MEMPHIS, TN, 
16360, 2900 TREASURE ISLAND W, MEMPHIS, TN, 
16361, 300 ARBOR COMMONS CIR, MEMPHIS, TN, 
16362, 300 ELDERS ROW DR, MEMPHIS, TN, 
16363, 300 HARRELL ST, MEMPHIS, TN, 
16364, 300 HOWARD, MEMPHIS, TN, 
16365, 300 JEFFERSON AVE, MEMPHIS, TN, 
16366, 300 LILLIAN DR, MEMPHIS, TN, 
16367, 300 N WILLETT ST, MEMPHIS, TN, 
16368, 300 RIDGEFIELD, MEMPHIS, TN, 
16369, 300 S PKWY, MEMPHIS, TN, 
16370, 300 SPOONBILL, MEMPHIS, TN, 
16371, 3000 ARMISTEAD AVE, MEMPHIS, TN, 
16372, 3000 BEECHRIDGE CV, MEMPHIS, TN, 
16373, 3000 GRENADIER CV, MEMPHIS, TN, 
16374, 3000 HARRIS CIRCLE, MEMPHIS, TN, 
16375, 3000 MIMOSA ST, MEMPHIS, TN, 
16376, 3000 PERKINS RD, MEMPHIS, TN, 
16377, 3000 PRINCETON AVE, MEMPHIS, TN, 
16378, 3000 RAINER, MEMPHIS, TN, 
16379, 3000 S MENDENHALL, MEMPHIS, TN, 
16380, 3000 TCHULAHOMA, MEMPHIS, TN, 
16381, 3100 ALLSHORE, MEMPHIS, TN, 
16382, 3100 ANDY, MEMPHIS, TN, 
16383, 3100 ATMORE ST, MEMPHIS, TN, 
16384, 3100 BEAGLE DR, MEMPHIS, TN, 
16385, 3100 BIRCHDALE, MEMPHIS, TN, 
16386, 3100 CLARENDON, MEMPHIS, TN, 
16387, 3100 CLARKE, MEMPHIS, TN, 
16388, 3100 CURTIS ST, MEMPHIS, TN, 
16389, 3100 GILL, MEMPHIS, TN, 
16390, 3100 HUNTERS WAY, MEMPHIS, TN, 
16391, 3100 JAMES, MEMPHIS, TN, 
