8448, 3400 HACKS CROSS RD, MEMPHIS, TN, 
8449, 3400 SEAFORTH, MEMPHIS, TN, 
8450, 3400 SHERRYCREST, MEMPHIS, TN, 
8451, 3400 W WILLOW WYCK DR, MEMPHIS, TN, 
8452, 3400 WEST WINCHESTER, MEMPHIS, TN, 
8453, 3500 ARNOLD RD, MEMPHIS, TN, 
8454, 3500 FAXON AVE, MEMPHIS, TN, 
8455, 3500 MARK TWAIN, MEMPHIS, TN, 
8456, 3500 N TREZVANT, MEMPHIS, TN, 
8457, 3500 STONE ST, MEMPHIS, TN, 
8458, 3600 CARNEY, MEMPHIS, TN, 
8459, 3600 CASTLEMAN, MEMPHIS, TN, 
8460, 3600 HESTER, MEMPHIS, TN, 
8461, 3600 KENDRICK AVE, MEMPHIS, TN, 
8462, 3600 KIRBY VALLEY DR, MEMPHIS, TN, 
8463, 3600 KIRBY VALLEY, MEMPHIS, TN, 
8464, 3600 MADEWELL, MEMPHIS, TN, 
8465, 3600 NAYLOR, MEMPHIS, TN, 
8466, 3600 RUSSELWOOD, MEMPHIS, TN, 
8467, 3600 WINCHEST CV, MEMPHIS, TN, 
8468, 3700 CAZASSA RD, MEMPHIS, TN, 
8469, 3700 GREY, MEMPHIS, TN, 
8470, 3700 HANNA, MEMPHIS, TN, 
8471, 3700 KERWIN DR, MEMPHIS, TN, 
8472, 3700 KNIGHT ARNOLD, MEMPHIS, TN, 
8473, 3700 NEELY RD, MEMPHIS, TN, 
8474, 3700 RALEIGH MILLINGTON, MEMPHIS, TN, 
8475, 3700 SOUTH MENDENHALL, MEMPHIS, TN, 
8476, 3800 ANDREAS DR, MEMPHIS, TN, 
8477, 3800 DORADO CV, MEMPHIS, TN, 
8478, 3800 DURRAND DR, MEMPHIS, TN, 
8479, 3800 KERWIN DR, MEMPHIS, TN, 
8480, 3800 MALCO CROSSING, MEMPHIS, TN, 
8481, 3800 OAK SHADE CV, MEMPHIS, TN, 
8482, 3900 ANDREAS, MEMPHIS, TN, 
8483, 400 AYERS, MEMPHIS, TN, 
8484, 400 S SECOND ST, MEMPHIS, TN, 
8485, 4000 LACEWOOD, MEMPHIS, TN, 
8486, 4000 S GERMANTOWN RD, MEMPHIS, TN, 
8487, 4100 FRIENDSHIP LN, MEMPHIS, TN, 
8488, 4100 RIDGEDALE, MEMPHIS, TN, 
8489, 4200 BARRON, MEMPHIS, TN, 
8490, 4200 LEROY AVE, MEMPHIS, TN, 
8491, 4300 FAIRMONT, MEMPHIS, TN, 
8492, 4300 RHODES, MEMPHIS, TN, 
8493, 4400 FALCON DR, MEMPHIS, TN, 
8494, 4400 FORD, MEMPHIS, TN, 
