15269, 1100 IDLEWILD, MEMPHIS, TN, 
15270, 1100 JOEL, MEMPHIS, TN, 
15271, 1100 LATHAM ST, MEMPHIS, TN, 
15272, 1100 LEACREST, MEMPHIS, TN, 
15273, 1100 LEATH ST, MEMPHIS, TN, 
15274, 1100 LINWOOD, MEMPHIS, TN, 
15275, 1100 MARECHALNEIL ST, MEMPHIS, TN, 
15276, 1100 MARLIN RD, MEMPHIS, TN, 
15277, 1100 MENDENHALL CV, MEMPHIS, TN, 
15278, 1100 MT VERNON ST, MEMPHIS, TN, 
15279, 1100 NORTH HOLLYWOOD, MEMPHIS, TN, 
15280, 1100 PHILADELPHIA ST, MEMPHIS, TN, 
15281, 1100 S FOURTH ST, MEMPHIS, TN, 
15282, 1100 S PERKINS, MEMPHIS, TN, 
15283, 1100 SALEM ST, MEMPHIS, TN, 
15284, 1100 TALLY PL, MEMPHIS, TN, 
15285, 1100 TERRY CIR, MEMPHIS, TN, 
15286, 1100 WHITAKER RD, MEMPHIS, TN, 
15287, 1200 APRIL WOODS CIR, MEMPHIS, TN, 
15288, 1200 BRADY HOLLOW LN, MEMPHIS, TN, 
15289, 1200 CELLA, MEMPHIS, TN, 
15290, 1200 COOPER, MEMPHIS, TN, 
15291, 1200 DAVIS WAY, MEMPHIS, TN, 
15292, 1200 DECATUR ST, MEMPHIS, TN, 
15293, 1200 GREENLAW, MEMPHIS, TN, 
15294, 1200 HUNTERS LAKE DR, MEMPHIS, TN, 
15295, 1200 MARIA ST, MEMPHIS, TN, 
15296, 1200 NESTER CV, MEMPHIS, TN, 
15297, 1200 REMBERT, MEMPHIS, TN, 
15298, 1200 SOUTH ORLEANS, MEMPHIS, TN, 
15299, 1200 SOUTHLAND, MEMPHIS, TN, 
15300, 1200 TULLY, MEMPHIS, TN, 
15301, 1200 WEST LEXINGTON CIRCLE, MEMPHIS, TN, 
15302, 1200 WINFIELD, MEMPHIS, TN, 
15303, 1300 BRIARWOOD DR, MEMPHIS, TN, 
15304, 1300 CASTALIA, MEMPHIS, TN, 
15305, 1300 DEER TRAIL LN, MEMPHIS, TN, 
15306, 1300 E ALCY, MEMPHIS, TN, 
15307, 1300 EVERGREEN, MEMPHIS, TN, 
15308, 1300 GRAHAM, MEMPHIS, TN, 
15309, 1300 GREER, MEMPHIS, TN, 
15310, 1300 HESTER, MEMPHIS, TN, 
15311, 1300 HOMER ST, MEMPHIS, TN, 
15312, 1300 N GRAHAM RD, MEMPHIS, TN, 
15313, 1300 QUINN AVE, MEMPHIS, TN, 
15314, 1300 ROSECLIFF, MEMPHIS, TN, 
15315, 1300 SOUTH ORLEANS, MEMPHIS, TN, 
15316, 1300 VAUGHN, MEMPHIS, TN, 
15317, 1300 WELLS STATION RD, MEMPHIS, TN, 
15318, 1300 WHITMORE, MEMPHIS, TN, 
15319, 1400 ADELAIDE ST, MEMPHIS, TN, 
15320, 1400 AUSTIN ST, MEMPHIS, TN, 
15321, 1400 BARBOUR, MEMPHIS, TN, 
15322, 1400 BROWER, MEMPHIS, TN, 
15323, 1400 CHADWICK CR, MEMPHIS, TN, 
15324, 1400 COURT AVENUE, MEMPHIS, TN, 
15325, 1400 E DEMPSTER, MEMPHIS, TN, 
15326, 1400 FLOWERS, MEMPHIS, TN, 
15327, 1400 FOXCROFT ST, MEMPHIS, TN, 
15328, 1400 GARDEN, MEMPHIS, TN, 
15329, 1400 GHERALD ST, MEMPHIS, TN, 
15330, 1400 GOODBAR AVE, MEMPHIS, TN, 
15331, 1400 GREENLAND, MEMPHIS, TN, 
15332, 1400 JANIS, MEMPHIS, TN, 
15333, 1400 LEDGER, MEMPHIS, TN, 
15334, 1400 LEHR DR, MEMPHIS, TN, 
15335, 1400 MARCIA RD, MEMPHIS, TN, 
