6404, 5600 SWINNEA, MEMPHIS, TN, 
6405, 5700 SCOTTSDALE, MEMPHIS, TN, 
6406, 600 BROWNMALL, MEMPHIS, TN, 
6407, 600 E GAGE, MEMPHIS, TN, 
6408, 600 STEPHENS PL, MEMPHIS, TN, 
6409, 600 TENNESSEE, MEMPHIS, TN, 
6410, 6000 MT MORIAH RD, MEMPHIS, TN, 
6411, 6100 HICKORY CV, MEMPHIS, TN, 
6412, 6100 KNIGHTSBRIDGE, MEMPHIS, TN, 
6413, 6400 KIRBY DOWNS DR, MEMPHIS, TN, 
6414, 6400 VALLEYDALE, MEMPHIS, TN, 
6415, 6800 MACON, MEMPHIS, TN, 
6416, 700 MINOR, MEMPHIS, TN, 
6417, 700 REGENT, MEMPHIS, TN, 
6418, 700 STONEWALL, MEMPHIS, TN, 
6419, 700 WITHERS ST, MEMPHIS, TN, 
6420, 7100 RIVERDALE BEND DR, MEMPHIS, TN, 
6421, 7400 ISHERWOOD, MEMPHIS, TN, 
6422, 800 N BELVEDERE, MEMPHIS, TN, 
6423, 800 STONEWALL, MEMPHIS, TN, 
6424, 900 ANNIE, MEMPHIS, TN, 
6425, 900 LUCILLE, MEMPHIS, TN, 
6426, 900 UNIVERSITY, MEMPHIS, TN, 
6427, CHELSEA AND SPRINGDALE, MEMPHIS, TN, 
6428, DELLWOOD AND MADEWELL, MEMPHIS, TN, 
6429, I240 AND AIRWAYS, MEMPHIS, TN, 
6430, MADEWELL AND DELLWOOD, MEMPHIS, TN, 
6431, POPLAR AND ORLEANS, MEMPHIS, TN, 
6432, SAM COOPER AND TILLMAN, MEMPHIS, TN, 
6433, SARATOGA AND GRAND, MEMPHIS, TN, 
6434, SECOND AND GAYOSO, MEMPHIS, TN, 
6435, SPRINGDALE AND ELDRIDGE, MEMPHIS, TN, 
6436, STEELE AND CORNING, MEMPHIS, TN, 
6437, SYCAMORE VIEW AND RALEIGH LAGRANGE, MEMPHIS, TN, 
6438, 100 N CLEVELAND ST, MEMPHIS, TN, 
6439, 100 S FENWICK, MEMPHIS, TN, 
6440, 100 SHERWOOD, MEMPHIS, TN, 
6441, 100 W DEMPSTER, MEMPHIS, TN, 
6442, 100 W MCKELLAR, MEMPHIS, TN, 
6443, 1000 EAST BROOKS RD, MEMPHIS, TN, 
6444, 1000 PAR AVE, MEMPHIS, TN, 
6445, 1000 WOODLAWN ST, MEMPHIS, TN, 
6446, 1100 CANARY LN, MEMPHIS, TN, 
6447, 1100 FLOYD, MEMPHIS, TN, 
6448, 1100 MADISON AVE, MEMPHIS, TN, 
6449, 1100 N GERMANTOWN, MEMPHIS, TN, 
6450, 1100 PEACHTREE, MEMPHIS, TN, 
6451, 1100 SALEM, MEMPHIS, TN, 
6452, 1100 TANGLEWOOD, MEMPHIS, TN, 
6453, 1100 W RAINES, MEMPHIS, TN, 
6454, 1200 EVERGREEN, MEMPHIS, TN, 
6455, 1200 GETWELL, MEMPHIS, TN, 
6456, 1200 N HOLLYWOOD, MEMPHIS, TN, 
6457, 1200 WESTERN PARK, MEMPHIS, TN, 
6458, 1300 CENTRAL, MEMPHIS, TN, 
6459, 1300 FARROW RD, MEMPHIS, TN, 
6460, 1300 HOLLIDAY, MEMPHIS, TN, 
6461, 1300 LONGCREST, MEMPHIS, TN, 
6462, 1300 OLD HICKORY, MEMPHIS, TN, 
6463, 1300 SLEDGE, MEMPHIS, TN, 
6464, 1400 S MAIN, MEMPHIS, TN, 
6465, 1400 WHITEWATER, MEMPHIS, TN, 
6466, 1500 BROOKS, MEMPHIS, TN, 
6467, 1500 LEFLORE, MEMPHIS, TN, 
6468, 1500 NORRIS, MEMPHIS, TN, 
6469, 1500 RESERVE DR, MEMPHIS, TN, 
6470, 1500 ROZELLE, MEMPHIS, TN, 
6471, 1500 RUSSWOOD, MEMPHIS, TN, 
6472, 1500 SPRINGDALE, MEMPHIS, TN, 
6473, 1500 TREZEVANT, MEMPHIS, TN, 
6474, 1500 ZELIN, MEMPHIS, TN, 
6475, 1600 CT AVE, MEMPHIS, TN, 
6476, 1600 ELLISTON, MEMPHIS, TN, 
6477, 1600 GRIMES, MEMPHIS, TN, 
6478, 1600 MISSISSIPPI, MEMPHIS, TN, 
6479, 1600 PRESCOTT, MEMPHIS, TN, 
6480, 1600 SYDNEY, MEMPHIS, TN, 
6481, 1600 VOLLINTINE AVE, MEMPHIS, TN, 
6482, 1700 DEXTER LAKE, MEMPHIS, TN, 
6483, 1700 EVELYN, MEMPHIS, TN, 
6484, 1700 LAUDERDALE, MEMPHIS, TN, 
6485, 1700 MT MORIAH, MEMPHIS, TN, 
6486, 1800 CLAIRE, MEMPHIS, TN, 
6487, 1800 MYRNA LN, MEMPHIS, TN, 
6488, 1800 S GOODLETT, MEMPHIS, TN, 
6489, 1800 S LAUDERDALE, MEMPHIS, TN, 
6490, 1800 TAHITI, MEMPHIS, TN, 
6491, 1900 FOSTER, MEMPHIS, TN, 
6492, 1900 SWIFT, MEMPHIS, TN, 
6493, 1900 WILCREST DR, MEMPHIS, TN, 
6494, 1900 WILLOW WOOD, MEMPHIS, TN, 
6495, 200 E SHELBY DR, MEMPHIS, TN, 
6496, 200 S HIGHLAND ST, MEMPHIS, TN, 
