20272, 1000 BELLEVUE, MEMPHIS, TN, 
20273, 1000 BLUEBIRD RD, MEMPHIS, TN, 
20274, 1000 BRAMBLEWOOD, MEMPHIS, TN, 
20275, 1000 COLLEGE, MEMPHIS, TN, 
20276, 1000 CT AVE, MEMPHIS, TN, 
20277, 1000 CULLY, MEMPHIS, TN, 
20278, 1000 E HOLMES RD, MEMPHIS, TN, 
20279, 1000 E PARKWAY SOUTH BLVD, MEMPHIS, TN, 
20280, 1000 E SHELBY DR, MEMPHIS, TN, 
20281, 1000 EARLY MAXWELL BLVD, MEMPHIS, TN, 
20282, 1000 ENFIELD RD, MEMPHIS, TN, 
20283, 1000 FRANKFORT, MEMPHIS, TN, 
20284, 1000 GAITHERS PARK LN, MEMPHIS, TN, 
20285, 1000 GARY, MEMPHIS, TN, 
20286, 1000 HALE, MEMPHIS, TN, 
20287, 1000 HAMILTON, MEMPHIS, TN, 
20288, 1000 JEHL PL, MEMPHIS, TN, 
20289, 1000 JOSEPH, MEMPHIS, TN, 
20290, 1000 JUNE RD, MEMPHIS, TN, 
20291, 1000 REDDOCH CV, MEMPHIS, TN, 
20292, 1000 S GREER ST, MEMPHIS, TN, 
20293, 1000 S PARKWAY EAST AVE, MEMPHIS, TN, 
20294, 1000 SANDRA, MEMPHIS, TN, 
20295, 1000 SOUTH WELLINGTON, MEMPHIS, TN, 
20296, 1000 TWINKLE TOWN, MEMPHIS, TN, 
20297, 1000 W RAINES RD, MEMPHIS, TN, 
20298, 1000 WRENS ROOST CIR, MEMPHIS, TN, 
20299, 1000 WRENWOOD ST, MEMPHIS, TN, 
20300, 1100 AVON RD, MEMPHIS, TN, 
20301, 1100 CAMBRAIN, MEMPHIS, TN, 
20302, 1100 DANITA CV, MEMPHIS, TN, 
20303, 1100 E ROSSILAND CIR, MEMPHIS, TN, 
20304, 1100 EH CRUMP BLVD, MEMPHIS, TN, 
20305, 1100 FIRESTONE AVE, MEMPHIS, TN, 
20306, 1100 GRAND ST, MEMPHIS, TN, 
20307, 1100 KERR AVE, MEMPHIS, TN, 
20308, 1100 LARRY LN, MEMPHIS, TN, 
20309, 1100 LEACREST AVE, MEMPHIS, TN, 
20310, 1100 MCEVERS RD, MEMPHIS, TN, 
20311, 1100 MOSBY RD, MEMPHIS, TN, 
20312, 1100 MT VERNON RD, MEMPHIS, TN, 
20313, 1100 N HOLLYWOOD ST, MEMPHIS, TN, 
20314, 1100 N PERKINS, MEMPHIS, TN, 
20315, 1100 NORTH SEVENTH, MEMPHIS, TN, 
20316, 1100 OVERTON PARK, MEMPHIS, TN, 
20317, 1100 SHAW, MEMPHIS, TN, 
20318, 1100 SHAWNEE CIRCLE, MEMPHIS, TN, 
20319, 1100 SOUTH GREER, MEMPHIS, TN, 
20320, 1100 SOUTH WILLETT, MEMPHIS, TN, 
20321, 1100 WHITE STATION, MEMPHIS, TN, 
20322, 1100 WILL SCARLET, MEMPHIS, TN, 
20323, 1200 ALDEN, MEMPHIS, TN, 
20324, 1200 BEECHWOOD AVE, MEMPHIS, TN, 
20325, 1200 BRADBURY, MEMPHIS, TN, 
20326, 1200 CARLTON, MEMPHIS, TN, 
20327, 1200 CASENTINO ST, MEMPHIS, TN, 
20328, 1200 CUMMINGS, MEMPHIS, TN, 
20329, 1200 DEXTER LN, MEMPHIS, TN, 
20330, 1200 E GETWELL LOOP, MEMPHIS, TN, 
20331, 1200 FORREST AVE, MEMPHIS, TN, 
20332, 1200 GERARD PL, MEMPHIS, TN, 
20333, 1200 LEXINGTON CIRCLE, MEMPHIS, TN, 
20334, 1200 MANASSAS ST, MEMPHIS, TN, 
20335, 1200 MEADOWLARK, MEMPHIS, TN, 
20336, 1200 PELICAN LN, MEMPHIS, TN, 
20337, 1200 S BARKSDALE ST, MEMPHIS, TN, 
20338, 1200 S FOURTH ST, MEMPHIS, TN, 
20339, 1200 S MAIN ST, MEMPHIS, TN, 
20340, 1200 S ORLEANS ST, MEMPHIS, TN, 
20341, 1200 SEMMES AVE, MEMPHIS, TN, 
20342, 1200 SEVERSON ST, MEMPHIS, TN, 
20343, 1200 SOUTH BARKSDALE, MEMPHIS, TN, 
20344, 1200 TAHOE, MEMPHIS, TN, 
20345, 1200 THEODORE ST, MEMPHIS, TN, 
20346, 1200 VAUGHN RD, MEMPHIS, TN, 
20347, 1200 WHEATON, MEMPHIS, TN, 
20348, 1200 WHITNEY, MEMPHIS, TN, 
20349, 1200 WHITTAKER, MEMPHIS, TN, 
20350, 1200 WILBEC, MEMPHIS, TN, 
20351, 1200 WILMORE RD, MEMPHIS, TN, 
20352, 1200 WINCHESTER RD, MEMPHIS, TN, 
20353, 1200 WRENWOOD ST, MEMPHIS, TN, 
20354, 1300 BRADBURY, MEMPHIS, TN, 
20355, 1300 DRIVER ST, MEMPHIS, TN, 
20356, 1300 ELMVIEW, MEMPHIS, TN, 
20357, 1300 ESHELBY, MEMPHIS, TN, 
20358, 1300 KANSAS, MEMPHIS, TN, 
20359, 1300 MEDA ST, MEMPHIS, TN, 
20360, 1300 N MCNEIL, MEMPHIS, TN, 
20361, 1300 S BARKSDALE, MEMPHIS, TN, 
20362, 1300 S LAUDERDALE, MEMPHIS, TN, 
20363, 1300 S WELLINGTON ST, MEMPHIS, TN, 
20364, 1300 SAFFARANS, MEMPHIS, TN, 
20365, 1300 SARDIS, MEMPHIS, TN, 
20366, 1300 SEMMES ST, MEMPHIS, TN, 
20367, 1300 THEODORE ST, MEMPHIS, TN, 
20368, 1300 VOLLEYBALL LN, MEMPHIS, TN, 
20369, 1400 ABERNATHY RD, MEMPHIS, TN, 
20370, 1400 ARDWICK CT, MEMPHIS, TN, 
20371, 1400 BARBOUR ST, MEMPHIS, TN, 
20372, 1400 BRIARWOOD DR, MEMPHIS, TN, 
20373, 1400 CHERRY, MEMPHIS, TN, 
20374, 1400 E TRIGG AVE, MEMPHIS, TN, 
20375, 1400 ETHEL ST, MEMPHIS, TN, 
20376, 1400 GLEN OAKS DR, MEMPHIS, TN, 
20377, 1400 GLENN ST, MEMPHIS, TN, 
20378, 1400 HARBOR PARK DR, MEMPHIS, TN, 
20379, 1400 HYDE PARK ST, MEMPHIS, TN, 
20380, 1400 ISLAND TOWN DR, MEMPHIS, TN, 
20381, 1400 LABRADOR, MEMPHIS, TN, 
20382, 1400 LYCEUM, MEMPHIS, TN, 
20383, 1400 LYNNFIELD, MEMPHIS, TN, 
20384, 1400 MALLORY, MEMPHIS, TN, 
20385, 1400 MARECHALNEIL, MEMPHIS, TN, 
20386, 1400 MARY JANE RD, MEMPHIS, TN, 
20387, 1400 MAY, MEMPHIS, TN, 
20388, 1400 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
20389, 1400 OAKRIDGE DR, MEMPHIS, TN, 
20390, 1400 ORLEANS, MEMPHIS, TN, 
20391, 1400 RAINES, MEMPHIS, TN, 
20392, 1400 ROSECLIFF AVE, MEMPHIS, TN, 
20393, 1400 S GREER, MEMPHIS, TN, 
20394, 1400 S PERKINS RD, MEMPHIS, TN, 
20395, 1400 SOUTH PKWY, MEMPHIS, TN, 
20396, 1400 STANDRIGE, MEMPHIS, TN, 
20397, 1400 VICOSCIA DR, MEMPHIS, TN, 
20398, 1400 W MASSEY RD, MEMPHIS, TN, 
20399, 1400 W SHELBY DR, MEMPHIS, TN, 
20400, 1400 WARFORD, MEMPHIS, TN, 
20401, 1400 WEYMOUTH ST, MEMPHIS, TN, 
20402, 1400 WILSON, MEMPHIS, TN, 
20403, 1400 WRENWOOD ST, MEMPHIS, TN, 
20404, 1500 ABERNATHY RD, MEMPHIS, TN, 
20405, 1500 ALAMO ST, MEMPHIS, TN, 
20406, 1500 BALTIMORE, MEMPHIS, TN, 
20407, 1500 BARTLETT, MEMPHIS, TN, 
20408, 1500 BRAIRCREST, MEMPHIS, TN, 
20409, 1500 CHANNEL AVE, MEMPHIS, TN, 
20410, 1500 CLEMENTINE RD, MEMPHIS, TN, 
20411, 1500 COLONIAL RD, MEMPHIS, TN, 
20412, 1500 CORPORATE AVE, MEMPHIS, TN, 
20413, 1500 E HOLMES, MEMPHIS, TN, 
20414, 1500 GOLD AVE, MEMPHIS, TN, 
20415, 1500 HOLLIDAY, MEMPHIS, TN, 
20416, 1500 HOPE, MEMPHIS, TN, 
20417, 1500 LUVERNE ST, MEMPHIS, TN, 
20418, 1500 LYCEUM RD, MEMPHIS, TN, 
20419, 1500 MINK ST, MEMPHIS, TN, 
20420, 1500 N TREZEVANT ST, MEMPHIS, TN, 
20421, 1500 OAKRIDGE DR, MEMPHIS, TN, 
20422, 1500 ORLEANS, MEMPHIS, TN, 
20423, 1500 PAULLUS DR, MEMPHIS, TN, 
20424, 1500 PEACH AVE, MEMPHIS, TN, 
20425, 1500 ROBIN HOOD LN, MEMPHIS, TN, 
20426, 1500 S COOPER, MEMPHIS, TN, 
20427, 1500 S TREZEVANT AVE, MEMPHIS, TN, 
20428, 1500 S WELLINGTON ST, MEMPHIS, TN, 
20429, 1500 VALSE RD, MEMPHIS, TN, 
20430, 1500 VANCE AVE, MEMPHIS, TN, 
20431, 1500 WALKER, MEMPHIS, TN, 
20432, 1500 WHITING, MEMPHIS, TN, 
20433, 1600 ABERNATHY, MEMPHIS, TN, 
20434, 1600 ARBORVIEW CT, MEMPHIS, TN, 
20435, 1600 BARNES CT, MEMPHIS, TN, 
20436, 1600 CARR, MEMPHIS, TN, 
20437, 1600 CHELSEA AVE, MEMPHIS, TN, 
20438, 1600 CRIDER ST, MEMPHIS, TN, 
20439, 1600 DELLWOOD ST, MEMPHIS, TN, 
20440, 1600 DUKE ST, MEMPHIS, TN, 
20441, 1600 DUNMOOR ST, MEMPHIS, TN, 
20442, 1600 EDMONSHIRE, MEMPHIS, TN, 
20443, 1600 HARBERT AVE, MEMPHIS, TN, 
20444, 1600 HARBOR, MEMPHIS, TN, 
20445, 1600 HOPEWELL RD, MEMPHIS, TN, 
20446, 1600 JANIS, MEMPHIS, TN, 
20447, 1600 LINDEN, MEMPHIS, TN, 
20448, 1600 MERRYCREST, MEMPHIS, TN, 
20449, 1600 N TREZEVANT ST, MEMPHIS, TN, 
20450, 1600 OAKEN BUCKET, MEMPHIS, TN, 
20451, 1600 PENDLETON ST, MEMPHIS, TN, 
20452, 1600 S LAUDERDALE ST, MEMPHIS, TN, 
20453, 1600 S WHITE STATION RD, MEMPHIS, TN, 
20454, 1600 SHADY BIRCH RD, MEMPHIS, TN, 
20455, 1600 SHELBY DR, MEMPHIS, TN, 
20456, 1600 SOUTH LAUDERDALE, MEMPHIS, TN, 
20457, 1600 TITUS RD, MEMPHIS, TN, 
20458, 1700 BARTLETT, MEMPHIS, TN, 
20459, 1700 CRANFORD, MEMPHIS, TN, 
20460, 1700 DABBS AVE, MEMPHIS, TN, 
20461, 1700 DELMONT RD, MEMPHIS, TN, 
20462, 1700 ESTATE, MEMPHIS, TN, 
20463, 1700 GLENVIEW AVE, MEMPHIS, TN, 
20464, 1700 GOODLETT, MEMPHIS, TN, 
20465, 1700 HAYNE, MEMPHIS, TN, 
20466, 1700 HAYWOOD AVE, MEMPHIS, TN, 
20467, 1700 KENT RD, MEMPHIS, TN, 
20468, 1700 LEIGH DR, MEMPHIS, TN, 
20469, 1700 MARTHA, MEMPHIS, TN, 
20470, 1700 NATIONAL ST, MEMPHIS, TN, 
20471, 1700 NORTH GRAHAM, MEMPHIS, TN, 
20472, 1700 OLD HICKORY, MEMPHIS, TN, 
20473, 1700 PATTERSON ST, MEMPHIS, TN, 
20474, 1700 PEABODY, MEMPHIS, TN, 
20475, 1700 RANDOLPH, MEMPHIS, TN, 
