83353, 123S PRESCOTT, MEMPHIS, TN, 
83354, 1240 AND LAMAR AVE, MEMPHIS, TN, 
83355, 1240 AND MILLBRANCH, MEMPHIS, TN, 
83356, 1240 AND WARFORD RD, MEMPHIS, TN, 
83357, 1245-1247 E MCLEMORE, MEMPHIS, TN, 
83358, 1246LAMAR AVE, MEMPHIS, TN, 
83359, 1246N HOLLYWOOD, MEMPHIS, TN, 
83360, 1248 AND 1250 MEDA ST, MEMPHIS, TN, 
83361, 1249 AND 1253 AIRWAY, MEMPHIS, TN, 
83362, 124NO TUCKER, MEMPHIS, TN, 
83363, 12500 RAYMOND RD, MEMPHIS, TN, 
83364, 12500 WASHINGTON RD, MEMPHIS, TN, 
83365, 1250FARROW, MEMPHIS, TN, 
83366, 1254-2 E MCLEMORE, MEMPHIS, TN, 
83367, 125N FRONT, MEMPHIS, TN, 
83368, 12600 SEWARD RD, MEMPHIS, TN, 
83369, 1261PEABODY, MEMPHIS, TN, 
83370, 12700 HIGHWAY 64, MEMPHIS, TN, 
83371, 12700 HWY 64, MEMPHIS, TN, 
83372, 12700 SEWARD, MEMPHIS, TN, 
83373, 12700 STAGE RD, MEMPHIS, TN, 
83374, 1271-1275 WINCHESTER, MEMPHIS, TN, 
83375, 1271POPLAR AVE, MEMPHIS, TN, 
83376, 1275GETWELL, MEMPHIS, TN, 
83377, 1277AIRWAYS, MEMPHIS, TN, 
83378, 1285-1287 WILLOW RUN, MEMPHIS, TN, 
83379, 1285RIDGEWAY, MEMPHIS, TN, 
83380, 1291SWALLOW LN, MEMPHIS, TN, 
83381, 1297 AND ROYAL OAKS, MEMPHIS, TN, 
83382, 1299 AND 1301 E RAINES, MEMPHIS, TN, 
83383, 12GAUSCO RD, MEMPHIS, TN, 
83384, 12R51 WESLEY, MEMPHIS, TN, 
83385, 12S PKY W, MEMPHIS, TN, 
83386, 12TH AND DELTA, MEMPHIS, TN, 
83387, 12TH AND HOLMES RD, MEMPHIS, TN, 
83388, 12TH AND HOLMES, MEMPHIS, TN, 
83389, 12TH AND MCFARLAND, MEMPHIS, TN, 
83390, 12TH AND WEST HOLMES, MEMPHIS, TN, 
83391, 12TH RD AND DELTA RD, MEMPHIS, TN, 
83392, 12W FAIRWAY, MEMPHIS, TN, 
83393, 1300 (UNKNOWN) DOUGLAS ST, MEMPHIS, TN, 
83394, 1300 ABERNATHY ST, MEMPHIS, TN, 
83395, 1300 ADELAIDE ST, MEMPHIS, TN, 
83396, 1300 AIRWAYS #1, MEMPHIS, TN, 
83397, 1300 AIRWAYS #3, MEMPHIS, TN, 
83398, 1300 AIRWAYS 8, MEMPHIS, TN, 
83399, 1300 AIRWAYS AVE, MEMPHIS, TN, 
83400, 1300 AIRWAYS BOULEVARD, MEMPHIS, TN, 
83401, 1300 ALAMEDA, MEMPHIS, TN, 
83402, 1300 ALCY AVE, MEMPHIS, TN, 
83403, 1300 ALICY, MEMPHIS, TN, 
83404, 1300 ALLENTOWN CIRCLE, MEMPHIS, TN, 
83405, 1300 ALLENTOWN ST, MEMPHIS, TN, 
83406, 1300 ALMA, MEMPHIS, TN, 
83407, 1300 AMES, MEMPHIS, TN, 
83408, 1300 ANNESDALE AVE, MEMPHIS, TN, 
83409, 1300 APLLEBROOK, MEMPHIS, TN, 
83410, 1300 APPL3EBROOK LN, MEMPHIS, TN, 
83411, 1300 APPLE BROOK LN 2, MEMPHIS, TN, 
83412, 1300 APPLE BROOK, MEMPHIS, TN, 
83413, 1300 APPLEBROOK #4, MEMPHIS, TN, 
83414, 1300 APPLEBROOKS LN, MEMPHIS, TN, 
83415, 1300 APPLEWOOD LN, MEMPHIS, TN, 
83416, 1300 ARBA, MEMPHIS, TN, 
83417, 1300 ARDWICK, MEMPHIS, TN, 
83418, 1300 ARGYLE ST, MEMPHIS, TN, 
83419, 1300 ASHELYHURSE, MEMPHIS, TN, 
83420, 1300 ASHELYHURST LN, MEMPHIS, TN, 
83421, 1300 ASHLYHURST, MEMPHIS, TN, 
83422, 1300 ASTE, MEMPHIS, TN, 
83423, 1300 ATLAS, MEMPHIS, TN, 
83424, 1300 AUBRA # 3, MEMPHIS, TN, 
83425, 1300 AUBRA 1, MEMPHIS, TN, 
83426, 1300 AUBRA 4, MEMPHIS, TN, 
83427, 1300 AUBRA NO 2, MEMPHIS, TN, 
83428, 1300 AUSTIN PEAY, MEMPHIS, TN, 
83429, 1300 AUSTIN ST AND CHELSEA RD, MEMPHIS, TN, 
83430, 1300 AUTUMN, MEMPHIS, TN, 
83431, 1300 AZALEA APT 12, MEMPHIS, TN, 
83432, 1300 AZALEA APT 7, MEMPHIS, TN, 
83433, 1300 AZALIA 2, MEMPHIS, TN, 
83434, 1300 AZALIA 6, MEMPHIS, TN, 
83435, 1300 AZALIA 7, MEMPHIS, TN, 
83436, 1300 AZALIA 9, MEMPHIS, TN, 
83437, 1300 AZALIA APT 2, MEMPHIS, TN, 
83438, 1300 AZALIA AVE, MEMPHIS, TN, 
83439, 1300 AZALIA DR, MEMPHIS, TN, 
83440, 1300 AZALIA RD, MEMPHIS, TN, 
83441, 1300 AZALIZ, MEMPHIS, TN, 
83442, 1300 AZALLIA, MEMPHIS, TN, 
83443, 1300 BAMMEL AVE, MEMPHIS, TN, 
83444, 1300 BARBOURSVILLE ST, MEMPHIS, TN, 
83445, 1300 BARKSDALE ST, MEMPHIS, TN, 
83446, 1300 BARRON AND PENDELTON ST, MEMPHIS, TN, 
83447, 1300 BARRON CIR EAST, MEMPHIS, TN, 
83448, 1300 BARRON CIRCLE EAST, MEMPHIS, TN, 
83449, 1300 BARRON CL, MEMPHIS, TN, 
83450, 1300 BARRON CR, MEMPHIS, TN, 
83451, 1300 BASKIN, MEMPHIS, TN, 
83452, 1300 BAUHMAN, MEMPHIS, TN, 
83453, 1300 BEAUREGARD 3, MEMPHIS, TN, 
83454, 1300 BEAUREGARD ST, MEMPHIS, TN, 
83455, 1300 BEAVER TRAIL LN, MEMPHIS, TN, 
83456, 1300 BECLAIR RD, MEMPHIS, TN, 
83457, 1300 BELEVUE, MEMPHIS, TN, 
83458, 1300 BELLEVUE 119, MEMPHIS, TN, 
83459, 1300 BEUREGARD, MEMPHIS, TN, 
83460, 1300 BLK CLEMENTINE RD, MEMPHIS, TN, 
83461, 1300 BLK CLEVELAND ST, MEMPHIS, TN, 
83462, 1300 BLK ETHLYN, MEMPHIS, TN, 
83463, 1300 BLK HAYWOOD ST, MEMPHIS, TN, 
83464, 1300 BLK KERR AVE, MEMPHIS, TN, 
83465, 1300 BLK NORTH PARKWAY ST, MEMPHIS, TN, 
83466, 1300 BLK OAKWOOD, MEMPHIS, TN, 
83467, 1300 BLK THOMAS, MEMPHIS, TN, 
83468, 1300 BLOCK BRUCE ST, MEMPHIS, TN, 
83469, 1300 BLOCK CELLA, MEMPHIS, TN, 
83470, 1300 BLOCK CLEMENTINE, MEMPHIS, TN, 
83471, 1300 BLOCK CLEMINTINE, MEMPHIS, TN, 
83472, 1300 BLOCK ETHEL, MEMPHIS, TN, 
83473, 1300 BLOCK LEFLORE PLACE, MEMPHIS, TN, 
83474, 1300 BLOCK MADISON AVENUE AND SOUTH CLAYBROOK STREET, MEMPHIS, TN, 
83475, 1300 BLOCK OF AUSTIN, MEMPHIS, TN, 
