11267, 2200 HENRIETTA, MEMPHIS, TN, 
11268, 2200 LONGLANE DR, MEMPHIS, TN, 
11269, 2300 E RIVERTRACE DR, MEMPHIS, TN, 
11270, 2300 HAWKINS MILL, MEMPHIS, TN, 
11271, 2400 BOYLE AVE, MEMPHIS, TN, 
11272, 2400 JACKSON AVE, MEMPHIS, TN, 
11273, 2500 DWIGHT RD, MEMPHIS, TN, 
11274, 2500 HARVARD AVE, MEMPHIS, TN, 
11275, 2500 LISA AVE, MEMPHIS, TN, 
11276, 2500 NUNNELEE, MEMPHIS, TN, 
11277, 2500 YALE, MEMPHIS, TN, 
11278, 2600 BERRYHILL RD, MEMPHIS, TN, 
11279, 2600 CALVERT AVE, MEMPHIS, TN, 
11280, 2600 HOLLY HEDGES DR, MEMPHIS, TN, 
11281, 2600 KIRBY WHITTEN RD, MEMPHIS, TN, 
11282, 2600 PARKVIEW DR, MEMPHIS, TN, 
11283, 2600 PERRY RD, MEMPHIS, TN, 
11284, 2600 VANDALE, MEMPHIS, TN, 
11285, 2600 WHITTEN RD, MEMPHIS, TN, 
11286, 2700 MIRROR, MEMPHIS, TN, 
11287, 2800 BROWNING AVE, MEMPHIS, TN, 
11288, 2800 BYRD AVE, MEMPHIS, TN, 
11289, 2800 CLEARBROOK, MEMPHIS, TN, 
11290, 2800 MEADOW LAKE DR E, MEMPHIS, TN, 
11291, 2800 MEADOW LAKE DR EAST, MEMPHIS, TN, 
11292, 2800 MOJAVE PLACE, MEMPHIS, TN, 
11293, 2800 SUMMIT ARBORS CIR, MEMPHIS, TN, 
11294, 2800 UNION EXT, MEMPHIS, TN, 
11295, 2900 BROAD AVE, MEMPHIS, TN, 
11296, 2900 EMERALD ST, MEMPHIS, TN, 
11297, 2900 KNIGHT, MEMPHIS, TN, 
11298, 2900 S GOODLETT, MEMPHIS, TN, 
11299, 2900 SAGE, MEMPHIS, TN, 
11300, 2900 TREASURE ISLAND EAST, MEMPHIS, TN, 
11301, 2900 TREASURE ISLAND WEST, MEMPHIS, TN, 
11302, 300 E BROOKS, MEMPHIS, TN, 
11303, 300 HARRELL, MEMPHIS, TN, 
11304, 300 PAULINE, MEMPHIS, TN, 
11305, 300 PICKETT, MEMPHIS, TN, 
11306, 300 S COOPER, MEMPHIS, TN, 
11307, 3000 BASKIN, MEMPHIS, TN, 
11308, 3000 BROOK TREE CIRCLE, MEMPHIS, TN, 
11309, 3000 CALVERT, MEMPHIS, TN, 
11310, 3000 CLEARWOOD, MEMPHIS, TN, 
11311, 3000 DANVILLE RD, MEMPHIS, TN, 
11312, 3000 EGAN DR, MEMPHIS, TN, 
11313, 3000 GEORGETOWN DR, MEMPHIS, TN, 
11314, 3000 TILLMAN CV, MEMPHIS, TN, 
11315, 3100 ASHWOOD ST, MEMPHIS, TN, 
11316, 3100 BANNOCKBURN, MEMPHIS, TN, 
11317, 3100 DEWITT CV, MEMPHIS, TN, 
11318, 3100 DUMBARTON, MEMPHIS, TN, 
11319, 3100 LITTLEFIELD CV, MEMPHIS, TN, 
11320, 3200 BOONE ST, MEMPHIS, TN, 
11321, 3200 CARNES AVE, MEMPHIS, TN, 
11322, 3200 CARRIER ST, MEMPHIS, TN, 
11323, 3200 CELT CV, MEMPHIS, TN, 
11324, 3200 COLEMAN RD, MEMPHIS, TN, 
11325, 3200 DANVILLE RD, MEMPHIS, TN, 
11326, 3200 E SHELBY DR, MEMPHIS, TN, 
11327, 3200 HORN LAKE, MEMPHIS, TN, 
11328, 3200 JOSLYN, MEMPHIS, TN, 
11329, 3200 KNIGHTWAY, MEMPHIS, TN, 
11330, 3200 LAKEVIEW, MEMPHIS, TN, 
11331, 3200 LYNCHBURG, MEMPHIS, TN, 
11332, 3300 AMSELLE CIRCLE, MEMPHIS, TN, 
11333, 3300 BEECHMONT, MEMPHIS, TN, 
11334, 3300 CEDAR SPRINGS DR, MEMPHIS, TN, 
11335, 3300 CHELSEA, MEMPHIS, TN, 
11336, 3300 E SHELBY DRIVE, MEMPHIS, TN, 
11337, 3300 EGYPT CENTRAL RD, MEMPHIS, TN, 
11338, 3300 KINGS ARMS, MEMPHIS, TN, 
11339, 3300 OLD BROMPTON, MEMPHIS, TN, 
11340, 3300 SPOTTSWOOD AVE, MEMPHIS, TN, 
11341, 3300 WOODHOLLOW, MEMPHIS, TN, 
11342, 3400 COLEMAN RD, MEMPHIS, TN, 
11343, 3400 JERELYN CV, MEMPHIS, TN, 
11344, 3400 JOSLYN, MEMPHIS, TN, 
11345, 3400 KEATS, MEMPHIS, TN, 
11346, 3400 KENIE, MEMPHIS, TN, 
11347, 3400 N TREZVANT, MEMPHIS, TN, 
11348, 3400 RALEIGH MILLINGTON, MEMPHIS, TN, 
11349, 3400 SOUTH THIRD ST, MEMPHIS, TN, 
11350, 3500 CARRINGTON RD, MEMPHIS, TN, 
11351, 3500 DUNN AVE, MEMPHIS, TN, 
11352, 3500 DUPRE, MEMPHIS, TN, 
11353, 3500 FOX HUNT, MEMPHIS, TN, 
11354, 3500 GOODLETT RD, MEMPHIS, TN, 
11355, 3500 KEOKEE CV, MEMPHIS, TN, 
11356, 3500 MEYERS, MEMPHIS, TN, 
11357, 3500 MT TERRACE, MEMPHIS, TN, 
11358, 3600 CARLOCK CV, MEMPHIS, TN, 
11359, 3600 EMERALD, MEMPHIS, TN, 
11360, 3600 HALLBROOK ST, MEMPHIS, TN, 
11361, 3600 LOWBRANCH DR, MEMPHIS, TN, 
11362, 3600 MERRITT, MEMPHIS, TN, 
11363, 3600 POPLAR AVE, MEMPHIS, TN, 
11364, 3600 RANDOLPH, MEMPHIS, TN, 
11365, 3600 WYTHE, MEMPHIS, TN, 
11366, 3700 ELM PARK RD, MEMPHIS, TN, 
11367, 3700 FAXON AVE, MEMPHIS, TN, 
11368, 3700 FIAT CV, MEMPHIS, TN, 
11369, 3700 HAUGHTON LN, MEMPHIS, TN, 
11370, 3700 HERMITAGE, MEMPHIS, TN, 
11371, 3700 JIREH, MEMPHIS, TN, 
11372, 3700 N TREZEVANT, MEMPHIS, TN, 
11373, 3700 ROYALWOOD, MEMPHIS, TN, 
11374, 3700 RUSSELWOOD, MEMPHIS, TN, 
11375, 3700 VENABLE, MEMPHIS, TN, 
11376, 3700 WATKINS ST, MEMPHIS, TN, 
11377, 3700 WHITE BIRCH, MEMPHIS, TN, 
11378, 3800 BOXTOWN, MEMPHIS, TN, 
11379, 3800 BRIAR ROSE RD, MEMPHIS, TN, 
11380, 3800 CLARKE, MEMPHIS, TN, 
11381, 3800 DUNN AVE, MEMPHIS, TN, 
11382, 3800 FELTS STATION, MEMPHIS, TN, 
11383, 3800 FREEMILE, MEMPHIS, TN, 
11384, 3800 KNIGHT RD, MEMPHIS, TN, 
11385, 3800 N ADVANTAGE WAY DR, MEMPHIS, TN, 
11386, 3800 NEW GETWELL, MEMPHIS, TN, 
