3365, 600 N CLAYBROOK, MEMPHIS, TN, 
3366, 6000 E POINT DR, MEMPHIS, TN, 
3367, 6100 APPLETREE, MEMPHIS, TN, 
3368, 6400 QUAIL HOLLOW, MEMPHIS, TN, 
3369, 6700 EASTBROOK LN, MEMPHIS, TN, 
3370, 700 ADAMS AVE, MEMPHIS, TN, 
3371, 800 BALTIMORE, MEMPHIS, TN, 
3372, 800 JACKSON AVE, MEMPHIS, TN, 
3373, 800 N HIGHLAND, MEMPHIS, TN, 
3374, 800 PEARCE, MEMPHIS, TN, 
3375, 900 BALTIMORE, MEMPHIS, TN, 
3376, 900 OLYMPIC, MEMPHIS, TN, 
3377, GETWELL AND ELLISTON, MEMPHIS, TN, 
3378, HOLMES AND MILLBRANCH, MEMPHIS, TN, 
3379, WINCHESTER AND AIRWAYS, MEMPHIS, TN, 
3380, 100 FLORIDA PARK CIRCLE, MEMPHIS, TN, 
3381, 100 N MCLEAN, MEMPHIS, TN, 
3382, 100 S FOURTH ST, MEMPHIS, TN, 
3383, 1000 E PKWY S, MEMPHIS, TN, 
3384, 1000 GARDEN ROW, MEMPHIS, TN, 
3385, 1000 NATIONAL, MEMPHIS, TN, 
3386, 1100 S GREER, MEMPHIS, TN, 
3387, 1100 S SHADY GROVE RD, MEMPHIS, TN, 
3388, 1200 FLORIDA, MEMPHIS, TN, 
3389, 1200 JAMES ST, MEMPHIS, TN, 
3390, 1500 CANFIELD, MEMPHIS, TN, 
3391, 1600 ALTA VISTA, MEMPHIS, TN, 
3392, 1600 GABAY, MEMPHIS, TN, 
3393, 1600 HAYWOOD, MEMPHIS, TN, 
3394, 1800 LAMAR AVE, MEMPHIS, TN, 
3395, 1800 TUTWILER, MEMPHIS, TN, 
3396, 1800 VICTORIA, MEMPHIS, TN, 
3397, 2000 SIPES, MEMPHIS, TN, 
3398, 2100 BROOKLINE, MEMPHIS, TN, 
3399, 2200 E RIVER TRACE, MEMPHIS, TN, 
3400, 2200 FARMER, MEMPHIS, TN, 
3401, 2200 WASHINGTON, MEMPHIS, TN, 
3402, 2300 E RIVERTRACE, MEMPHIS, TN, 
3403, 2300 WHITTEN, MEMPHIS, TN, 
3404, 2600 DEADRICK, MEMPHIS, TN, 
3405, 2900 COTTON WAY, MEMPHIS, TN, 
3406, 2900 MONTAGUE, MEMPHIS, TN, 
3407, 300 CAMILLA, MEMPHIS, TN, 
3408, 300 CARPENTER, MEMPHIS, TN, 
3409, 300 COCHRAN, MEMPHIS, TN, 
3410, 300 CYPRESSWOOD, MEMPHIS, TN, 
3411, 3100 EMERALD, MEMPHIS, TN, 
3412, 3200 PARK, MEMPHIS, TN, 
3413, 3200 POPLAR AVE, MEMPHIS, TN, 
3414, 3400 EAST WINCHESTER PLACE, MEMPHIS, TN, 
3415, 3400 MADEWELL, MEMPHIS, TN, 
3416, 3600 MEYERS, MEMPHIS, TN, 
