166287, S. HIGHLAND AND NORRISWOOD, MEMPHIS, TN, 
166288, S. HIGHLAND AND SOUTHERN AVENUE, MEMPHIS, TN, 
166289, S. PARKWAY AND BELLEVUE, MEMPHIS, TN, 
166290, S. PARKWAY AND CARNEGIE, MEMPHIS, TN, 
166291, S. PARKWAY AND FLORIDA, MEMPHIS, TN, 
166292, S. PARKWAY AND GABAY, MEMPHIS, TN, 
166293, S. PARKWAY AND GAITHER, MEMPHIS, TN, 
166294, S. PARKWAY AND JOCELYN, MEMPHIS, TN, 
166295, S. PARKWAY AND LAMAR, MEMPHIS, TN, 
166296, S. PARKWAY AND LEFLORE, MEMPHIS, TN, 
166297, S. PARKWAY AND LELAND, MEMPHIS, TN, 
166298, S. PARKWAY AND S. WILLETT, MEMPHIS, TN, 
166299, S. PARKWAY AND THIRD, MEMPHIS, TN, 
166300, S. PARKWAY AND VICTOR, MEMPHIS, TN, 
166301, S. PARKWAY AND WEBB, MEMPHIS, TN, 
166302, S. PARKWAY AND WILLETT, MEMPHIS, TN, 
166303, S. PARKWAY AND WILSON, MEMPHIS, TN, 
166304, S. PARKWAY AT COLLEGE ST, MEMPHIS, TN, 
166305, S. PARKWAY E. AND FLORDIA, MEMPHIS, TN, 
166306, S. PARKWAY E/LAMAR, MEMPHIS, TN, 
166307, S. PARKWAY/FLORIDA, MEMPHIS, TN, 
166308, S. PERKINS/POPLAR AVE, MEMPHIS, TN, 
166309, S. THIRD AND BROOKS, MEMPHIS, TN, 
166310, S. THIRD AND E. PERSON, MEMPHIS, TN, 
166311, S. THIRD AND HORNLAKE, MEMPHIS, TN, 
166312, S. THIRD AND JONETTA, MEMPHIS, TN, 
166313, S. THIRD AND MALLORY, MEMPHIS, TN, 
166314, S. THIRD AND MITCHELL, MEMPHIS, TN, 
166315, S. THIRD AND RAINES, MEMPHIS, TN, 
166316, S. THIRD AND WEAVER, MEMPHIS, TN, 
166317, S. THIRD ST AND HORN LAKE, MEMPHIS, TN, 
166318, S. THIRD ST, MEMPHIS, TN, 
166319, S. THIRD/BELZ, MEMPHIS, TN, 
166320, S. WILLETT AND MADISON, MEMPHIS, TN, 
166321, S.PARKWAY AND MCMILLAN, MEMPHIS, TN, 
166322, S/B I-240/ JACKSON, MEMPHIS, TN, 
166323, S\B ELVISPRESLEY AND FERGUSON, MEMPHIS, TN, 
166324, S3161 BROOKS RD, MEMPHIS, TN, 
166325, SABINE AND LSHIFRI, MEMPHIS, TN, 
166326, SABLE PL AND RIDGEPOINT DR, MEMPHIS, TN, 
166327, SABOTA CIRCLE AND OLD HORN LAKE, MEMPHIS, TN, 
166328, SAFARAN AND DUNLAP, MEMPHIS, TN, 
166329, SAFARI AND MONTERREY SQUARE, MEMPHIS, TN, 
166330, SAFARI DR AND MONTERREY, MEMPHIS, TN, 
166331, SAFARI DR AND SPOTTSWOOD AVE, MEMPHIS, TN, 
166332, SAFFARAINS AND PEARCE, MEMPHIS, TN, 
166333, SAFFARAN AND MANASSA, MEMPHIS, TN, 
166334, SAFFARANS AND 4TH, MEMPHIS, TN, 
166335, SAFFARANS AND FOURTH, MEMPHIS, TN, 
166336, SAFFARANS AND MAIN, MEMPHIS, TN, 
