51237, 500 HOLMES, MEMPHIS, TN, 
51238, 500 HONDURAS ST, MEMPHIS, TN, 
51239, 500 JASON DR, MEMPHIS, TN, 
51240, 500 JENSON ST, MEMPHIS, TN, 
51241, 500 KINGSGATE CV, MEMPHIS, TN, 
51242, 500 KINSMAN RD, MEMPHIS, TN, 
51243, 500 LECLEDE, MEMPHIS, TN, 
51244, 500 LEMAC, MEMPHIS, TN, 
51245, 500 LONGVIEW DR, MEMPHIS, TN, 
51246, 500 LORAINE RD, MEMPHIS, TN, 
51247, 500 LORRAINE RD, MEMPHIS, TN, 
51248, 500 LUNDEE PLACE, MEMPHIS, TN, 
51249, 500 MALBORO RD, MEMPHIS, TN, 
51250, 500 MARLOWE AVE, MEMPHIS, TN, 
51251, 500 MCFARLAND DR, MEMPHIS, TN, 
51252, 500 MEADOWCREST, MEMPHIS, TN, 
51253, 500 MONTEIGNE BLVD, MEMPHIS, TN, 
51254, 500 MYSEN DR, MEMPHIS, TN, 
51255, 500 N 5TH ST, MEMPHIS, TN, 
51256, 500 N 6TH ST, MEMPHIS, TN, 
51257, 500 N BELLVUE, MEMPHIS, TN, 
51258, 500 N BINGHAM ST, MEMPHIS, TN, 
51259, 500 N BUTLERWOODS, MEMPHIS, TN, 
51260, 500 N CLEVELAND SUITE 106, MEMPHIS, TN, 
51261, 500 N ERICSON DR, MEMPHIS, TN, 
51262, 500 N EVERGREEN ST, MEMPHIS, TN, 
51263, 500 N GERNANTOWN PKWY, MEMPHIS, TN, 
51264, 500 N HOLLYWOOD AVE, MEMPHIS, TN, 
51265, 500 N MAIN AVE, MEMPHIS, TN, 
51266, 500 N MC NEIL ST, MEMPHIS, TN, 
51267, 500 NMAIN, MEMPHIS, TN, 
51268, 500 NORTH ERICSON, MEMPHIS, TN, 
51269, 500 NORTH WILLETT, MEMPHIS, TN, 
51270, 500 OAK COURT DR, MEMPHIS, TN, 
51271, 500 ORCHARD AVE, MEMPHIS, TN, 
51272, 500 PEBBLES, MEMPHIS, TN, 
51273, 500 PERKINS EXTD RD, MEMPHIS, TN, 
51274, 500 PERKINS EXTENDED RD, MEMPHIS, TN, 
51275, 500 PERKINS RD EXT, MEMPHIS, TN, 
51276, 500 PIMLICO DR, MEMPHIS, TN, 
51277, 500 RAINES, MEMPHIS, TN, 
51278, 500 RICHMOND AVE, MEMPHIS, TN, 
51279, 500 ROSEWOOD ST, MEMPHIS, TN, 
51280, 500 S 2ND, MEMPHIS, TN, 
51281, 500 S BUTLER WOODS, MEMPHIS, TN, 
51282, 500 S CLEVELAND, MEMPHIS, TN, 
51283, 500 S FENWICK ST, MEMPHIS, TN, 
51284, 500 S GERMANTOWN PARKWAY, MEMPHIS, TN, 
51285, 500 S PERKINS EXT, MEMPHIS, TN, 
51286, 500 S PKWY EAST, MEMPHIS, TN, 
51287, 500 S SHADY GROVE, MEMPHIS, TN, 
51288, 500 SANDFORD RD, MEMPHIS, TN, 
51289, 500 SHELLEY RENEE LN, MEMPHIS, TN, 
51290, 500 SHOFNER DR, MEMPHIS, TN, 
51291, 500 SOUTH GERMANTOWN, MEMPHIS, TN, 
51292, 500 SOUTH GROVE PARK RD, MEMPHIS, TN, 
51293, 500 SOUTH REESE ST, MEMPHIS, TN, 
51294, 500 SOUTHPARKWAY, MEMPHIS, TN, 
51295, 500 SUMMERWOOD, MEMPHIS, TN, 
51296, 500 TILLMAN 2, MEMPHIS, TN, 
51297, 500 TONTO DR, MEMPHIS, TN, 
51298, 500 TUTON, MEMPHIS, TN, 
51299, 500 TWELVE OAKS CIRCLE, MEMPHIS, TN, 
51300, 500 UNIVERSITY AVE, MEMPHIS, TN, 
51301, 500 UNIVERSITY CENTER, MEMPHIS, TN, 
51302, 500 UNIVERSITY DR, MEMPHIS, TN, 
51303, 500 UNIVERSITY DRIVE, MEMPHIS, TN, 
51304, 500 VANDALIA ST, MEMPHIS, TN, 
51305, 500 W CRAFT, MEMPHIS, TN, 
51306, 500 W REGIS, MEMPHIS, TN, 
51307, 500 W SHELBY, MEMPHIS, TN, 
51308, 500 WARING RD, MEMPHIS, TN, 
51309, 500 WASHBURN DR, MEMPHIS, TN, 
51310, 500 WASHBURN RD, MEMPHIS, TN, 
51311, 500 WEAKLEY AVE, MEMPHIS, TN, 
51312, 500 WEAKLEY, MEMPHIS, TN, 
51313, 500 WEBSTER, MEMPHIS, TN, 
51314, 500 WELLINGTON CV, MEMPHIS, TN, 
51315, 500 WEST MITCHELL, MEMPHIS, TN, 
51316, 500 WEST SHELBY, MEMPHIS, TN, 
51317, 500 WESTERN DR, MEMPHIS, TN, 
51318, 500 WHITEVILLE RD, MEMPHIS, TN, 
51319, 500 WISCONSIN, MEMPHIS, TN, 
51320, 500 WYNSLOW CT, MEMPHIS, TN, 
51321, 5000 8TH RD, MEMPHIS, TN, 
51322, 5000 ACORN DR, MEMPHIS, TN, 
51323, 5000 BATTLE FORREST, MEMPHIS, TN, 
51324, 5000 BATTLEFORREST CV, MEMPHIS, TN, 
51325, 5000 BOEINGSHIRE RD, MEMPHIS, TN, 
