72280, DANNY THOMAS BLVD, MEMPHIS, TN, 
72281, DANNYTHOMAS AND MISSISSIPPI, MEMPHIS, TN, 
72282, DANNYTHOMAS AND UNION, MEMPHIS, TN, 
72283, DANTE AND KERWIN, MEMPHIS, TN, 
72284, DATTEL AND MACON, MEMPHIS, TN, 
72285, DAVANT AND MCMILLAN, MEMPHIS, TN, 
72286, DAVANT AND RIVERPORT, MEMPHIS, TN, 
72287, DAVANT AND S THIRD ST, MEMPHIS, TN, 
72288, DAVANT AND YAZOO, MEMPHIS, TN, 
72289, DAVID AND PARK AVE, MEMPHIS, TN, 
72290, DAVID CARNES PARK-WHITEHAVEN LN AND AUBURN RD, MEMPHIS, TN, 
72291, DAVID DR AND HERMITAGE DR, MEMPHIS, TN, 
72292, DAVID ST AND LAMAR AVE, MEMPHIS, TN, 
72293, DAVIS AND AMITY, MEMPHIS, TN, 
72294, DAVIS CIR AND BERKSHIRE, MEMPHIS, TN, 
72295, DAWN AND FRAYSER BLVD, MEMPHIS, TN, 
72296, DAWN AND RIPLEY, MEMPHIS, TN, 
72297, DAWN DR AND FRAYSER BLVD, MEMPHIS, TN, 
72298, DAWNRIDGE AND CHEVRON, MEMPHIS, TN, 
72299, DAYS CREEK AND WILSON, MEMPHIS, TN, 
72300, DAYTON AND BAYLISS, MEMPHIS, TN, 
72301, DAYTON AND VIVIA, MEMPHIS, TN, 
72302, DEADRICK AND MARECHANEIL, MEMPHIS, TN, 
72303, DEADRICK AVE AND DAVID ST, MEMPHIS, TN, 
72304, DEADRICK AVE AND DUNMOOR ST, MEMPHIS, TN, 
72305, DEADRICK AVE AND GRAND ST, MEMPHIS, TN, 
72306, DEADRICK, MEMPHIS, TN, 
72307, DEBBY AND FRAYSER BLVD, MEMPHIS, TN, 
72308, DEBBY AND MILLBROOK, MEMPHIS, TN, 
72309, DEBBY AND SANDPIPER, MEMPHIS, TN, 
72310, DEBBY ST AND FRAYSER BLVD, MEMPHIS, TN, 
72311, DECATUR AND BAMMEL, MEMPHIS, TN, 
72312, DECATUR AND J W WILLIAMS, MEMPHIS, TN, 
72313, DECATUR AND JEHL PL, MEMPHIS, TN, 
72314, DECATUR AND LEON PL, MEMPHIS, TN, 
72315, DECATUR AND MERRIWEATHER, MEMPHIS, TN, 
72316, DECATUR AND MOSBY AVE, MEMPHIS, TN, 
72317, DECATUR AND NABORS, MEMPHIS, TN, 
72318, DECATUR AND WALDRAN, MEMPHIS, TN, 
72319, DECATUR ST AND DELMAR AVE, MEMPHIS, TN, 
