78259, 100 256 SANTA MONICA, MEMPHIS, TN, 
78260, 100 40 AND 1 NORTH WATKINS ST, MEMPHIS, TN, 
78261, 100 40 BARTON, MEMPHIS, TN, 
78262, 100 4TH ST, MEMPHIS, TN, 
78263, 100 66 PLEASANT HILL, MEMPHIS, TN, 
78264, 100 6TH NOVEMBER ST, MEMPHIS, TN, 
78265, 100 76 HALCOMB LN, MEMPHIS, TN, 
78266, 100 8 1 KNIGHT TRAILS CIR, MEMPHIS, TN, 
78267, 100 80 STAGE RD, MEMPHIS, TN, 
78268, 100 ACRAIDIAN CRL, MEMPHIS, TN, 
78269, 100 AIRWAYS RD AND DEMOCRAT RD, MEMPHIS, TN, 
78270, 100 ALA LN, MEMPHIS, TN, 
78271, 100 ALICIA DR, MEMPHIS, TN, 
78272, 100 ALLORY HEIGHTS, MEMPHIS, TN, 
78273, 100 ALMA ST AND JACKSON AVE, MEMPHIS, TN, 
78274, 100 ALPS, MEMPHIS, TN, 
78275, 100 AND 240, MEMPHIS, TN, 
78276, 100 AND RAINES RD, MEMPHIS, TN, 
78277, 100 AND WATKINS ST, MEMPHIS, TN, 
78278, 100 ANGALUS, MEMPHIS, TN, 
78279, 100 ANGELAS, MEMPHIS, TN, 
78280, 100 ANGELES, MEMPHIS, TN, 
78281, 100 ANGELOUS, MEMPHIS, TN, 
78282, 100 ANGELUS APT 2, MEMPHIS, TN, 
78283, 100 ANGLEUS, MEMPHIS, TN, 
78284, 100 ARBOR CREEK, MEMPHIS, TN, 
78285, 100 ARBORTOWN SQUARE, MEMPHIS, TN, 
78286, 100 ARCADIA CR, MEMPHIS, TN, 
78287, 100 ARCADIAN CIR #101, MEMPHIS, TN, 
78288, 100 ARCADIAN, MEMPHIS, TN, 
78289, 100 ARGELOUS, MEMPHIS, TN, 
78290, 100 ASH LAWN CV, MEMPHIS, TN, 
78291, 100 ASHBY, MEMPHIS, TN, 
78292, 100 ASPENBROOK, MEMPHIS, TN, 
78293, 100 AUBURNDALE ST, MEMPHIS, TN, 
78294, 100 AUCTION ST, MEMPHIS, TN, 
78295, 100 AUTUM BRANCH, MEMPHIS, TN, 
78296, 100 AUTUMN GROVE CV, MEMPHIS, TN, 
78297, 100 AUTUMNBRANCH, MEMPHIS, TN, 
78298, 100 AVALON, MEMPHIS, TN, 
78299, 100 AVON RD, MEMPHIS, TN, 
78300, 100 AVON, MEMPHIS, TN, 
78301, 100 AWWILLS AVE, MEMPHIS, TN, 
78302, 100 B B KING, MEMPHIS, TN, 
78303, 100 BARKSDALE, MEMPHIS, TN, 
78304, 100 BARRON CT, MEMPHIS, TN, 
78305, 100 BASS PORT DR, MEMPHIS, TN, 
78306, 100 BASS PRO BLVD, MEMPHIS, TN, 
78307, 100 BASS PRO RD, MEMPHIS, TN, 
78308, 100 BASS PRO SH ST, MEMPHIS, TN, 
