356, 1200 S BELLEVUE BLVD, MEMPHIS, TN, 
357, 300 UNION, MEMPHIS, TN, 
358, 800 RICHMOND, MEMPHIS, TN, 
359, 1000 UNION, MEMPHIS, TN, 
360, 1900 UNION AVE, MEMPHIS, TN, 
361, 4400 SUMMER AVE, MEMPHIS, TN, 
362, 2500 JACKSON, MEMPHIS, TN, 
363, 2700 JAMES RD, MEMPHIS, TN, 
364, 2000 CARVER, MEMPHIS, TN, 
365, 2800 S MENDENHALL, MEMPHIS, TN, 
366, 4300 EASTWIND DR, MEMPHIS, TN, 
367, 3900 HICKORY HILL, MEMPHIS, TN, 
368, 4600 QUINCE, MEMPHIS, TN, 
369, 1300 N GERMANTOWN PKWY, MEMPHIS, TN, 
370, 1700 E HOLMES RD, MEMPHIS, TN, 
371, 1700 GETWELL RD, MEMPHIS, TN, 
372, 2200 CENTRAL, MEMPHIS, TN, 
373, 4600 MACON, MEMPHIS, TN, 
374, 200 HILLVIEW, MEMPHIS, TN, 
375, 800 E RAINES RD, MEMPHIS, TN, 
376, 1600 STRIBLING, MEMPHIS, TN, 
377, 1700 BRANCHWAY, MEMPHIS, TN, 
378, 2900 STONEWAY LN, MEMPHIS, TN, 
379, 3500 RHODES, MEMPHIS, TN, 
380, 1600 MADISON, MEMPHIS, TN, 
381, 2200 CENTRAL AVE, MEMPHIS, TN, 
382, 3600 PARK, MEMPHIS, TN, 
383, 5100 POPLAR AVE, MEMPHIS, TN, 
384, 1200 DELLWOOD, MEMPHIS, TN, 
385, 400 BEALE, MEMPHIS, TN, 
386, 1400 MADISON AVE, MEMPHIS, TN, 
387, 1800 GETWELL, MEMPHIS, TN, 
388, 3200 S MENDENHALL, MEMPHIS, TN, 
389, 4700 SUMMER AVE, MEMPHIS, TN, 
390, 4400 ELVIS PRESLEY, MEMPHIS, TN, 
391, 5000 FAIRLEY, MEMPHIS, TN, 
392, 900 THOMAS ST, MEMPHIS, TN, 
393, 1200 BREEDLOVE, MEMPHIS, TN, 
394, 2100 E SHELBY DR, MEMPHIS, TN, 
395, 2800 GETWELL, MEMPHIS, TN, 
396, 3600 LAMAR, MEMPHIS, TN, 
