13278, 1300 BRISTOL DR, MEMPHIS, TN, 
13279, 1300 CELLA, MEMPHIS, TN, 
13280, 1300 DYER PLACE, MEMPHIS, TN, 
13281, 1300 GATEWAY DR, MEMPHIS, TN, 
13282, 1300 LAPALOMA, MEMPHIS, TN, 
13283, 1300 MARKSMAN, MEMPHIS, TN, 
13284, 1300 MOSSBROOK LN, MEMPHIS, TN, 
13285, 1300 NORTH GERMANTOWN, MEMPHIS, TN, 
13286, 1300 POPPEN, MEMPHIS, TN, 
13287, 1300 TANGLEWOOD, MEMPHIS, TN, 
13288, 1300 WEAKLEY, MEMPHIS, TN, 
13289, 1300 WILSON ST, MEMPHIS, TN, 
13290, 1400 AGNES PL, MEMPHIS, TN, 
13291, 1400 BUSBY, MEMPHIS, TN, 
13292, 1400 CHERRY RD, MEMPHIS, TN, 
13293, 1400 DAVID, MEMPHIS, TN, 
13294, 1400 DORIS AVE, MEMPHIS, TN, 
13295, 1400 FAXON AVE, MEMPHIS, TN, 
13296, 1400 GAITHER ST, MEMPHIS, TN, 
13297, 1400 GREENLAND RD, MEMPHIS, TN, 
13298, 1400 GREENWOOD ST, MEMPHIS, TN, 
13299, 1400 HARBOR, MEMPHIS, TN, 
13300, 1400 LINDEN AVE, MEMPHIS, TN, 
13301, 1400 LOUISIANA, MEMPHIS, TN, 
13302, 1400 OAK MANOR, MEMPHIS, TN, 
13303, 1400 POOLSIDE DR, MEMPHIS, TN, 
13304, 1400 SO LAUDERDALE, MEMPHIS, TN, 
13305, 1400 TERRACE, MEMPHIS, TN, 
13306, 1400 TIMOTHY DR, MEMPHIS, TN, 
13307, 1500 BIRCH BEND SQ, MEMPHIS, TN, 
13308, 1500 DUKE RD, MEMPHIS, TN, 
13309, 1500 FARROW, MEMPHIS, TN, 
13310, 1500 FELIX, MEMPHIS, TN, 
13311, 1500 GALVESTON, MEMPHIS, TN, 
13312, 1500 GILLHAM CV, MEMPHIS, TN, 
13313, 1500 JEFFERSON, MEMPHIS, TN, 
13314, 1500 MALLORY, MEMPHIS, TN, 
13315, 1500 MILLER, MEMPHIS, TN, 
13316, 1500 OAKLAWN ST, MEMPHIS, TN, 
13317, 1500 PERSON, MEMPHIS, TN, 
13318, 1500 POOLSIDE DR, MEMPHIS, TN, 
13319, 1500 STACEY ST, MEMPHIS, TN, 
13320, 1500 SYCAMORE BEND CT, MEMPHIS, TN, 
13321, 1500 VINTON AVE, MEMPHIS, TN, 
13322, 1500 WILBEC, MEMPHIS, TN, 
13323, 1500 WILLIE MITCHELL, MEMPHIS, TN, 
13324, 1600 BRIAR CV, MEMPHIS, TN, 
13325, 1600 CARNEGIE, MEMPHIS, TN, 
13326, 1600 COURT AVE, MEMPHIS, TN, 
13327, 1600 DENA, MEMPHIS, TN, 
13328, 1600 FLEETWOOD, MEMPHIS, TN, 
13329, 1600 GIRVAN, MEMPHIS, TN, 
13330, 1600 LIVEWELL CIRCLE, MEMPHIS, TN, 
13331, 1600 S HIGHLAND ST, MEMPHIS, TN, 
13332, 1700 BUXTON, MEMPHIS, TN, 
13333, 1700 DAVIS ST, MEMPHIS, TN, 
13334, 1700 GILL, MEMPHIS, TN, 
13335, 1700 MAY, MEMPHIS, TN, 
