28273, 5000 SOUTH THIRD, MEMPHIS, TN, 
28274, 5000 SPOTTSWOOD, MEMPHIS, TN, 
28275, 5000 TRADEWIND, MEMPHIS, TN, 
28276, 5000 VOLTAIRE, MEMPHIS, TN, 
28277, 5000 W COPPER VALLEY DR, MEMPHIS, TN, 
28278, 5000 WEAVER, MEMPHIS, TN, 
28279, 5100 8TH RD, MEMPHIS, TN, 
28280, 5100 BLACK, MEMPHIS, TN, 
28281, 5100 CRAIGMONT, MEMPHIS, TN, 
28282, 5100 FLANDERS AVE, MEMPHIS, TN, 
28283, 5100 GREENBRANCH CV, MEMPHIS, TN, 
28284, 5100 HOLLYRIDGE, MEMPHIS, TN, 
28285, 5100 HWY 78, MEMPHIS, TN, 
28286, 5100 LOCHINVAR DR, MEMPHIS, TN, 
28287, 5100 MCKELLAR WOODS CT, MEMPHIS, TN, 
28288, 5100 MT MORIAH, MEMPHIS, TN, 
28289, 5100 OLD SUMMER AVE, MEMPHIS, TN, 
28290, 5100 QUINCE RD, MEMPHIS, TN, 
28291, 5100 ROSEFIELD, MEMPHIS, TN, 
28292, 5100 SEA ISLE RD, MEMPHIS, TN, 
28293, 5100 URBANA, MEMPHIS, TN, 
28294, 5100 VILLAGE PINES CIR, MEMPHIS, TN, 
28295, 5100 WELCHSHIRE AVE, MEMPHIS, TN, 
28296, 5200 8TH RD, MEMPHIS, TN, 
28297, 5200 DARLINGTON DR, MEMPHIS, TN, 
28298, 5200 DYCUS, MEMPHIS, TN, 
28299, 5200 EIGHT RD, MEMPHIS, TN, 
28300, 5200 HICKORY HILL, MEMPHIS, TN, 
28301, 5200 HORN LAKE RD, MEMPHIS, TN, 
28302, 5200 HUDGINS RD, MEMPHIS, TN, 
28303, 5200 JESSIE LEE, MEMPHIS, TN, 
28304, 5200 KAYE, MEMPHIS, TN, 
28305, 5200 KINGSWOOD CIR, MEMPHIS, TN, 
28306, 5200 KINGSWOOD CV, MEMPHIS, TN, 
28307, 5200 LONG BRANCH DR, MEMPHIS, TN, 
28308, 5200 MCKELLAR WOOD DR, MEMPHIS, TN, 
