150197, ENTER # MADISON AVE AND S CLEVELAND ST, MEMPHIS, TN, 
150198, ENTER # MADISON AVE AND S FLORENCE ST, MEMPHIS, TN, 
150199, ENTER # MARIGOLD LN, MEMPHIS, TN, 
150200, ENTER # MARYLAND AVE, MEMPHIS, TN, 
150201, ENTER # MASONWOOD LN, MEMPHIS, TN, 
150202, ENTER # MCGOWAN DR, MEMPHIS, TN, 
150203, ENTER # MCREE ST, MEMPHIS, TN, 
150204, ENTER # MILLBRANCH RD AND E SHELBY DR, MEMPHIS, TN, 
150205, ENTER # MINERAL RD, MEMPHIS, TN, 
150206, ENTER # MISSISSIPPI BLVD AND NORFOLK ST, MEMPHIS, TN, 
150207, ENTER # MORIAH TRAIL, MEMPHIS, TN, 
150208, ENTER # MORNING GLOW DR, MEMPHIS, TN, 
150209, ENTER # MOUNT MORIAH RD, MEMPHIS, TN, 
150210, ENTER # N HOLLYWOOD ST AND ELDRIDGE AVE, MEMPHIS, TN, 
150211, ENTER # N MENDENHALL RD AND SEQUOIA RD, MEMPHIS, TN, 
150212, ENTER # N MONTGOMERY ST AND COURT AVE, MEMPHIS, TN, 
150213, ENTER # N TREZEVANT ST AND ST ELMO AVE, MEMPHIS, TN, 
150214, ENTER # N WATKINS ST AND ONTARIO AVE, MEMPHIS, TN, 
150215, ENTER # NEDRA AVE AND N MCLEAN BLVD, MEMPHIS, TN, 
150216, ENTER # NEELY RD AND E SHELBY DR, MEMPHIS, TN, 
150217, ENTER # NEELY RD AND HOWARD DR, MEMPHIS, TN, 
150218, ENTER # NEW ALLEN RD AND FRAYSER BLVD, MEMPHIS, TN, 
150219, ENTER # NEW ALLEN RD AND FRAYSER-RALEIGH RD, MEMPHIS, TN, 
150220, ENTER # NEW ALLEN RD AND RIDGEMONT AVE, MEMPHIS, TN, 
150221, ENTER # NORTH BELVEDERE BOULEVARD, MEMPHIS, TN, 
150222, ENTER # NORTH BINGHAM ST, MEMPHIS, TN, 
150223, ENTER # NORTH LAUDERDALE ST, MEMPHIS, TN, 
150224, ENTER # NORTH MANASSAS ST, MEMPHIS, TN, 
150225, ENTER # NORTH MENDENHALL RD, MEMPHIS, TN, 
150226, ENTER # NORTH SECOND ST AND EXCHANGE AVE, MEMPHIS, TN, 
150227, ENTER # NORTH WATKINS ST, MEMPHIS, TN, 
150228, ENTER # NORTH WILLETT ST, MEMPHIS, TN, 
150229, ENTER # OAKWOOD ST AND HEARD AVE, MEMPHIS, TN, 
150230, ENTER # OLD ALLEN RD, MEMPHIS, TN, 
150231, ENTER # OLD GETWELL RD AND KNIGHT ARNOLD RD, MEMPHIS, TN, 
150232, ENTER # ORPHANAGE AVE AND AYERS ST, MEMPHIS, TN, 
150233, ENTER # PARK AVE AND GRAND ST, MEMPHIS, TN, 
150234, ENTER # PEABODY PL AND S MAIN ST, MEMPHIS, TN, 
150235, ENTER # PECAN CIR AND KETCHUM RD, MEMPHIS, TN, 
150236, ENTER # PERES AVE, MEMPHIS, TN, 
150237, ENTER # PERSON AVE, MEMPHIS, TN, 
150238, ENTER # PHILSAR ST, MEMPHIS, TN, 
150239, ENTER # PILLOW ST AND QUINN AVE, MEMPHIS, TN, 
150240, ENTER # POINT CHURCH AVE AND OVERTON CROSSING ST, MEMPHIS, TN, 
150241, ENTER # POPLAR AVE AND I-240 INTERSTATE, MEMPHIS, TN, 
150242, ENTER # POPLAR AVE AND WILLIFORD ST, MEMPHIS, TN, 
150243, ENTER # POPLAR AVE, MEMPHIS, TN, 
150244, ENTER # QUINCE RD AND FIVE COLONIES LN, MEMPHIS, TN, 
150245, ENTER # RALEIGH LAGRANGE RD AND HENRIETTA RD, MEMPHIS, TN, 
150246, ENTER # RALEIGH LAGRANGE RD, MEMPHIS, TN, 
150247, ENTER # RALEIGH MILLINGTON RD AND JACKSON AVE, MEMPHIS, TN, 
150248, ENTER # RIDGEWAY RD AND BILL MORRIS PKWY, MEMPHIS, TN, 
150249, ENTER # ROCKY PARK DR, MEMPHIS, TN, 
150250, ENTER # S CAMILLA ST AND PEABODY AVE, MEMPHIS, TN, 
150251, ENTER # S DANNY THOMAS BLVD AND BEALE ST, MEMPHIS, TN, 
150252, ENTER # S FRONT ST AND BEALE ST, MEMPHIS, TN, 
150253, ENTER # S GOODLETT ST AND WINCHESTER RD, MEMPHIS, TN, 
150254, ENTER # S LAUDERDALE ST AND ROSEWOOD AVE, MEMPHIS, TN, 
150255, ENTER # S MAIN ST AND LINDEN AVE, MEMPHIS, TN, 
150256, ENTER # S MENDENHALL RD AND DARGEN AVE, MEMPHIS, TN, 
150257, ENTER # S MENDENHALL RD AND SHARP PLAZA BLVD, MEMPHIS, TN, 
150258, ENTER # S ORLEANS ST AND E MCLEMORE AVE, MEMPHIS, TN, 
150259, ENTER # S PERKINS RD AND KNIGHT ARNOLD RD, MEMPHIS, TN, 
150260, ENTER # SANDY PARK DR AND VALLEYDALE DR, MEMPHIS, TN, 
150261, ENTER # SELLERS ST, MEMPHIS, TN, 
150262, ENTER # SHAWNEE AVE, MEMPHIS, TN, 
150263, ENTER # SOMERSET AVE, MEMPHIS, TN, 
150264, ENTER # SOUTH BARKSDALE ST, MEMPHIS, TN, 
150265, ENTER # SOUTH GOODLETT ST, MEMPHIS, TN, 
150266, ENTER # SOUTH LAUDERDALE ST, MEMPHIS, TN, 
150267, ENTER # SOUTHERN AVE AND CLUB WALK DR, MEMPHIS, TN, 
150268, ENTER # SOUTHERN AVE AND TERRELL PL, MEMPHIS, TN, 
150269, ENTER # SPRINGWIND RD, MEMPHIS, TN, 
150270, ENTER # STAGE COACH DR, MEMPHIS, TN, 
150271, ENTER # STEELE ST AND FELTS STATION RD, MEMPHIS, TN, 
150272, ENTER # SYCAMORE VIEW RD, MEMPHIS, TN, 
150273, ENTER # TAYLOR ST AND S PKWY E, MEMPHIS, TN, 
150274, ENTER # TCHULAHOMA RD AND WINCHESTER RD, MEMPHIS, TN, 
150275, ENTER # TIMBER CREEK DR, MEMPHIS, TN, 
150276, ENTER # TM HENDERSON AVE AND N 7TH ST, MEMPHIS, TN, 
150277, ENTER # TN-385 AND KIRBY PKWY, MEMPHIS, TN, 
150278, ENTER # TN-385 AND RIDGEWAY, MEMPHIS, TN, 
150279, ENTER # TULANE RD AND E HOLMES RD, MEMPHIS, TN, 
150280, ENTER # TULANE RD AND E SHELBY DR, MEMPHIS, TN, 
150281, ENTER # UNION AVE AND DIANA ST, MEMPHIS, TN, 
150282, ENTER # VALLEY PARK DR, MEMPHIS, TN, 
150283, ENTER # VANCE AVE AND ABEL ST, MEMPHIS, TN, 
150284, ENTER # VANCE PARK PLACE, MEMPHIS, TN, 
150285, ENTER # VARDON LN, MEMPHIS, TN, 
150286, ENTER # VENABLE RD, MEMPHIS, TN, 
150287, ENTER # VERNON AVE AND MARIA ST, MEMPHIS, TN, 
150288, ENTER # VOLLINTINE AVE AND DECATUR ST, MEMPHIS, TN, 
150289, ENTER # W BELMONT CIR, MEMPHIS, TN, 
150290, ENTER # W BROOKS RD AND MILLWOOD RD, MEMPHIS, TN, 
150291, ENTER # W FAY AVE AND KANSAS ST, MEMPHIS, TN, 
150292, ENTER # WAGNER PL AND UNION AVE, MEMPHIS, TN, 
150293, ENTER # WAGNER PL AND VANCE AVE, MEMPHIS, TN, 
150294, ENTER # WALKER AVE AND S ORLEANS ST, MEMPHIS, TN, 
150295, ENTER # WALKER AVE, MEMPHIS, TN, 
150296, ENTER # WASHINGTON AVE AND N ORLEANS ST, MEMPHIS, TN, 
150297, ENTER # WATERSTONE OAK WAY, MEMPHIS, TN, 
150298, ENTER # WAVERLY AVE, MEMPHIS, TN, 
150299, ENTER # WELLS STATION RD AND BAYLISS AVE, MEMPHIS, TN, 
150300, ENTER # WEST BURDOCK AVE, MEMPHIS, TN, 
150301, ENTER # WEST RAINES RD, MEMPHIS, TN, 
150302, ENTER # WHITNEY AVE, MEMPHIS, TN, 
150303, ENTER # WILDROSE ST AND SEMMES ST, MEMPHIS, TN, 
