21194, 5600 TIMMONS, MEMPHIS, TN, 
21195, 5700 KNIGHT ARNOLD RD, MEMPHIS, TN, 
21196, 5700 SHADY GROVE, MEMPHIS, TN, 
21197, 5700 TULIP TREE, MEMPHIS, TN, 
21198, 5800 ASQUITH, MEMPHIS, TN, 
21199, 5800 RAL LAGRANGE RD, MEMPHIS, TN, 
21200, 5800 RALEIGH LA GRANGE, MEMPHIS, TN, 
21201, 5800 SILVER CREEK DR, MEMPHIS, TN, 
21202, 5900 EDGEWATER, MEMPHIS, TN, 
21203, 5900 FOX LAIR AVE, MEMPHIS, TN, 
21204, 5900 WATER STONE OAK WAY, MEMPHIS, TN, 
21205, 600 A W WILLIS, MEMPHIS, TN, 
21206, 600 E DISON AVE, MEMPHIS, TN, 
21207, 600 E PKWY, MEMPHIS, TN, 
21208, 600 EASTERN, MEMPHIS, TN, 
21209, 600 FLEDA, MEMPHIS, TN, 
21210, 600 FRAYSER, MEMPHIS, TN, 
21211, 600 GAINESVILLE, MEMPHIS, TN, 
21212, 600 GLEN ARBOR CIR, MEMPHIS, TN, 
21213, 600 HERZL, MEMPHIS, TN, 
21214, 600 LYTLE, MEMPHIS, TN, 
21215, 600 MANASSAS, MEMPHIS, TN, 
21216, 600 MENDENHALL RD, MEMPHIS, TN, 
21217, 600 N 5TH, MEMPHIS, TN, 
21218, 600 NGERMANTOWN PKWY, MEMPHIS, TN, 
21219, 600 NORTH FOURTH, MEMPHIS, TN, 
21220, 600 PERKINS EXTD, MEMPHIS, TN, 
21221, 600 S SOMERVILLE ST, MEMPHIS, TN, 
21222, 600 SOUTH GREER, MEMPHIS, TN, 
21223, 600 SOUTHERN PLACE, MEMPHIS, TN, 
21224, 600 SUZETTE, MEMPHIS, TN, 
21225, 600 W SHELBY DR, MEMPHIS, TN, 
21226, 600 WARING RD, MEMPHIS, TN, 
21227, 600 WEST CADRACA, MEMPHIS, TN, 
21228, 600 WESTERN PARK DR, MEMPHIS, TN, 
21229, 6000 ARDWICK, MEMPHIS, TN, 
21230, 6000 E POINT, MEMPHIS, TN, 
21231, 6000 FOSTERWOOD SQ, MEMPHIS, TN, 
21232, 6000 MACINNESS, MEMPHIS, TN, 
21233, 6000 MACON, MEMPHIS, TN, 
21234, 6000 RIDGEWAY BLVD, MEMPHIS, TN, 
21235, 6000 SWAYING PINE LN, MEMPHIS, TN, 
21236, 6000 WIND MEADOW, MEMPHIS, TN, 
21237, 6100 E GLENHOME, MEMPHIS, TN, 
21238, 6100 EAST POINT, MEMPHIS, TN, 
21239, 6100 GASCONY DR, MEMPHIS, TN, 
21240, 6100 HICKORY MEADOWS, MEMPHIS, TN, 
21241, 6100 ROSEWIND CIR, MEMPHIS, TN, 
21242, 6100 SELKIRK DR, MEMPHIS, TN, 
21243, 6100 SHELBY OAKS RD, MEMPHIS, TN, 
21244, 6100 WIND MEADOW, MEMPHIS, TN, 
21245, 6200 SAGEBRUSH, MEMPHIS, TN, 
21246, 6200 SHELBY OAKS RD, MEMPHIS, TN, 
21247, 6200 WALNUT GROVE, MEMPHIS, TN, 
21248, 6300 MT MORIAH EXTD RD, MEMPHIS, TN, 
21249, 6300 VILLAGE PARK, MEMPHIS, TN, 
21250, 6400 COTESWOOD, MEMPHIS, TN, 
21251, 6400 E SHELBY DR, MEMPHIS, TN, 
21252, 6400 FLODDEN CV, MEMPHIS, TN, 
21253, 6400 GILLHAM DR, MEMPHIS, TN, 
21254, 6400 LAKE VIEW TRAILS, MEMPHIS, TN, 
21255, 6400 N FAWN HOLLOW CIR, MEMPHIS, TN, 
21256, 6400 N QUAIL HOLLOW RD, MEMPHIS, TN, 
21257, 6500 COTESWOOD, MEMPHIS, TN, 
21258, 6500 CROSS BROOK LN, MEMPHIS, TN, 
21259, 6500 DIMWOOD CV, MEMPHIS, TN, 
21260, 6500 FROSTY LEAF, MEMPHIS, TN, 
21261, 6500 SUMMER CREEK EAST, MEMPHIS, TN, 
21262, 6600 CHANLONE WAY, MEMPHIS, TN, 
21263, 6600 GOLDENEYE, MEMPHIS, TN, 
21264, 6600 KIRBY GATE CV, MEMPHIS, TN, 
21265, 6600 MT MORIAH EXTENDED, MEMPHIS, TN, 
21266, 6600 PINTAIL CV, MEMPHIS, TN, 
21267, 6600 SULGRAVE, MEMPHIS, TN, 
21268, 6700 CENTURY ARBOR PL, MEMPHIS, TN, 
21269, 6700 N QUAIL HOLLOW, MEMPHIS, TN, 
21270, 6700 ROLLING BROOK LN, MEMPHIS, TN, 
21271, 6700 W QUAILBROOK, MEMPHIS, TN, 
21272, 6700 WHISPERING OAK PL, MEMPHIS, TN, 
21273, 6700 WINDFLOWER LN, MEMPHIS, TN, 
21274, 6800 COUNTRY PARK, MEMPHIS, TN, 
21275, 6800 ELMORE RIDGE CV, MEMPHIS, TN, 
21276, 6800 GREEN BARK, MEMPHIS, TN, 
21277, 6800 VALLEY BEND DR, MEMPHIS, TN, 
21278, 6900 BIRCHLAKE DR, MEMPHIS, TN, 
21279, 6900 FOX HEDGE, MEMPHIS, TN, 
21280, 6900 GREEN CREST, MEMPHIS, TN, 
21281, 6900 HICKORY LAKE, MEMPHIS, TN, 
21282, 6900 KIRBY ARMS, MEMPHIS, TN, 
21283, 6900 RIDGELAKE, MEMPHIS, TN, 
21284, 6900 SOUTH LANDING WAY, MEMPHIS, TN, 
21285, 700 BRAKEBILL AVE, MEMPHIS, TN, 
21286, 700 COMO ST, MEMPHIS, TN, 
21287, 700 CRAFT RD, MEMPHIS, TN, 
21288, 700 E CADRACA, MEMPHIS, TN, 
21289, 700 EAST FRANK, MEMPHIS, TN, 
21290, 700 EAST MCKELLAR, MEMPHIS, TN, 
21291, 700 EAST PKWY SOUTH, MEMPHIS, TN, 
21292, 700 EAST, MEMPHIS, TN, 
21293, 700 GAINESVILLE, MEMPHIS, TN, 
21294, 700 HIGH POINT TERRACE, MEMPHIS, TN, 
21295, 700 LEAVERT AVE, MEMPHIS, TN, 
21296, 700 N CLAYBROOK, MEMPHIS, TN, 
21297, 700 N IDLEWILD, MEMPHIS, TN, 
21298, 700 NORTH SEVENTH, MEMPHIS, TN, 
21299, 700 PEYTON, MEMPHIS, TN, 
21300, 700 S SOMERVILLE ST, MEMPHIS, TN, 
21301, 700 ST JUDE, MEMPHIS, TN, 
21302, 700 TILLMAN ST, MEMPHIS, TN, 
21303, 700 TULANE CV SOUTH, MEMPHIS, TN, 
21304, 700 W CADRACA DR, MEMPHIS, TN, 
21305, 700 WALNUT ST, MEMPHIS, TN, 
21306, 7000 OAKLAND CHASE, MEMPHIS, TN, 
21307, 7000 ROCKINGHAM DR, MEMPHIS, TN, 
21308, 7000 ROSE TRAIL DR, MEMPHIS, TN, 
21309, 7000 TULIP TRAIL, MEMPHIS, TN, 
21310, 7100 BUTTERNUT CV, MEMPHIS, TN, 
21311, 7100 DANEMAN, MEMPHIS, TN, 
21312, 7100 DOKKUM, MEMPHIS, TN, 
21313, 7100 RIVERDALE, MEMPHIS, TN, 
21314, 7200 BUTTERNUT DR, MEMPHIS, TN, 
21315, 7200 DOKKUM, MEMPHIS, TN, 
21316, 7300 BARNSTABLE, MEMPHIS, TN, 
21317, 7300 HOLLORN, MEMPHIS, TN, 
21318, 7300 WOODSHIRE RD, MEMPHIS, TN, 
21319, 7400 KINGSLAND DR, MEMPHIS, TN, 
21320, 7500 KINGSLAND DR, MEMPHIS, TN, 
21321, 7500 KRISTYWOOD CV, MEMPHIS, TN, 
21322, 7600 APPLING MILL WAY, MEMPHIS, TN, 
21323, 7600 REESE RD, MEMPHIS, TN, 
21324, 7600 WINCHESTER ROAD, MEMPHIS, TN, 
21325, 7800 US HWY 64, MEMPHIS, TN, 
21326, 7800 WOLF HOLLOW DR, MEMPHIS, TN, 
21327, 7900 BLAND LN, MEMPHIS, TN, 
21328, 800 BALTIC ST, MEMPHIS, TN, 
21329, 800 BOSTON ST, MEMPHIS, TN, 
21330, 800 CROCKETT ST, MEMPHIS, TN, 
21331, 800 CYPRESS, MEMPHIS, TN, 
21332, 800 E ALSTON AVE, MEMPHIS, TN, 
21333, 800 E GEORGIA, MEMPHIS, TN, 
21334, 800 EAST MCLEMORE, MEMPHIS, TN, 
21335, 800 ECHLES ST, MEMPHIS, TN, 
21336, 800 GERMANTOWN PKWY, MEMPHIS, TN, 
21337, 800 GLANKER, MEMPHIS, TN, 
21338, 800 GROVEWOOD DR, MEMPHIS, TN, 
21339, 800 HAZELWOOD RD, MEMPHIS, TN, 
21340, 800 HOUSTON ST, MEMPHIS, TN, 
21341, 800 HOUSTON, MEMPHIS, TN, 
21342, 800 LAUREL ST, MEMPHIS, TN, 
21343, 800 LOS ANGELES ST, MEMPHIS, TN, 
21344, 800 N CLAYBROOK ST, MEMPHIS, TN, 
21345, 800 N WATKINS ST, MEMPHIS, TN, 
21346, 800 N WHITE STA, MEMPHIS, TN, 
21347, 800 NORTH MAIN, MEMPHIS, TN, 
21348, 800 OBERLE, MEMPHIS, TN, 
21349, 800 PERSON, MEMPHIS, TN, 
21350, 800 REGENT ST, MEMPHIS, TN, 
21351, 800 RIDGELAKE, MEMPHIS, TN, 
21352, 800 S GREER ST, MEMPHIS, TN, 
21353, 800 SOAPSTONE, MEMPHIS, TN, 
21354, 8000 CLUB, MEMPHIS, TN, 
21355, 8000 RACQUETBALL LN, MEMPHIS, TN, 
21356, 8000 WALTHAM TRAIL, MEMPHIS, TN, 
21357, 8200 HIGHWAY 64, MEMPHIS, TN, 
21358, 8200 PINE ARBOR, MEMPHIS, TN, 
21359, 8200 REGISTRY LN, MEMPHIS, TN, 
21360, 8200 VARNAVAS RD, MEMPHIS, TN, 
21361, 8300 CLINTON WAY, MEMPHIS, TN, 
21362, 8300 S FLETCHER RUN CIR, MEMPHIS, TN, 
21363, 8400 BRIDGE CREEK DR, MEMPHIS, TN, 
21364, 8400 MANGROVE, MEMPHIS, TN, 
21365, 8400 TIMBER CREEK DR, MEMPHIS, TN, 
21366, 8500 BAZEMORE, MEMPHIS, TN, 
21367, 8500 BRIDGE CREEK, MEMPHIS, TN, 
21368, 8500 KIMBERLY ROSE DR, MEMPHIS, TN, 
21369, 8500 OLD DEXTER, MEMPHIS, TN, 
21370, 8700 MACON RD, MEMPHIS, TN, 
21371, 8700 OVERCUP OAKS, MEMPHIS, TN, 
21372, 8700 RICKY BELL CV, MEMPHIS, TN, 
21373, 900 ANNIE ST, MEMPHIS, TN, 
21374, 900 BELVEDERE, MEMPHIS, TN, 
21375, 900 BROOKS, MEMPHIS, TN, 
21376, 900 CARROLLTON, MEMPHIS, TN, 
21377, 900 CHANNEL 3 DR, MEMPHIS, TN, 
21378, 900 COOPER ST, MEMPHIS, TN, 
21379, 900 CROCKET, MEMPHIS, TN, 
21380, 900 GARLAND ST, MEMPHIS, TN, 
21381, 900 GOODMAN, MEMPHIS, TN, 
21382, 900 GRACEWOOD ST, MEMPHIS, TN, 
21383, 900 HENDERSON, MEMPHIS, TN, 
21384, 900 JEFFERSON ST, MEMPHIS, TN, 
21385, 900 JULIET ST, MEMPHIS, TN, 
21386, 900 KNEY ST, MEMPHIS, TN, 
21387, 900 LEDBETTER AVE, MEMPHIS, TN, 
21388, 900 MALLORY, MEMPHIS, TN, 
21389, 900 N AUBURNDALE, MEMPHIS, TN, 
21390, 900 N FIFTH, MEMPHIS, TN, 
21391, 900 N WATKINS ST, MEMPHIS, TN, 
21392, 900 NORTH DUNLAP, MEMPHIS, TN, 
21393, 900 NOVARESE RD, MEMPHIS, TN, 
21394, 900 PEARCE ST, MEMPHIS, TN, 
21395, 900 RIDGE LAKE, MEMPHIS, TN, 
21396, 900 S BB KING BLVD, MEMPHIS, TN, 
21397, 900 S WHITESTATION, MEMPHIS, TN, 
21398, 900 S WILLETT, MEMPHIS, TN, 
21399, 900 SHAMROCK, MEMPHIS, TN, 
21400, 900 TREZEVANT, MEMPHIS, TN, 
21401, 900 WILLETT, MEMPHIS, TN, 
21402, 9100 BRENT LN, MEMPHIS, TN, 
21403, 9100 HERVAY LN, MEMPHIS, TN, 
21404, 9200 SHADY MORNING, MEMPHIS, TN, 
21405, 9900 HIGHWAY 64, MEMPHIS, TN, 
21406, ADAMS AND DANNY THOMAS, MEMPHIS, TN, 
21407, AIRWAYS AND I240, MEMPHIS, TN, 
21408, AIRWAYS AND LOWELL, MEMPHIS, TN, 
21409, AIRWAYS AND MALONE, MEMPHIS, TN, 
21410, AIRWAYS AND PECAN CIRCLE, MEMPHIS, TN, 
21411, ALCY AND W HILLVIEW, MEMPHIS, TN, 
21412, AMERICAN WAY AND GETWELL RD, MEMPHIS, TN, 
21413, AYERS AND CHELSEA, MEMPHIS, TN, 
21414, AYERS AND KEEL, MEMPHIS, TN, 
21415, BARRON AND HUGENOT, MEMPHIS, TN, 
21416, BELLEVUE AND JEFFERSON, MEMPHIS, TN, 
21417, BETHLEHEM AND RANGELINE, MEMPHIS, TN, 
21418, BROOKS AND THIRD, MEMPHIS, TN, 
21419, BROWN AND SPRINGDALE, MEMPHIS, TN, 
21420, BUNTYN AND PARK, MEMPHIS, TN, 
21421, CAMELOT AND GOODLETT, MEMPHIS, TN, 
21422, CARPENTER AND HALE, MEMPHIS, TN, 
21423, CHELSEA AND AUSTIN, MEMPHIS, TN, 
21424, CHELSEA AND LOCUST, MEMPHIS, TN, 
21425, CLARKE AND KNIGHT ARNOLD, MEMPHIS, TN, 
21426, CLAYTON AND HYDE PARK, MEMPHIS, TN, 
21427, COOPER AND CENTRAL, MEMPHIS, TN, 
21428, COTTONWOOD AND CLEARBROOK, MEMPHIS, TN, 
21429, COTTONWOOD AND KNIGHT, MEMPHIS, TN, 
21430, DANNY THOMAS AND BEALE ST, MEMPHIS, TN, 
21431, DAVID AND BARRON, MEMPHIS, TN, 
21432, DEADRICK AND CELLA, MEMPHIS, TN, 
21433, DEADRICK AND HAYNES, MEMPHIS, TN, 
21434, DEXTER AND GERMANTOWN, MEMPHIS, TN, 
21435, DOUGLASS AND GRAND, MEMPHIS, TN, 
21436, EARLY MAXWELL AND SOUTHERN, MEMPHIS, TN, 
