31288, 800 BARRET PLACE, MEMPHIS, TN, 
31289, 800 CASTLE ST, MEMPHIS, TN, 
31290, 800 CENTER, MEMPHIS, TN, 
31291, 800 DAGAN, MEMPHIS, TN, 
31292, 800 DAVANT, MEMPHIS, TN, 
31293, 800 DELROSE, MEMPHIS, TN, 
31294, 800 E SHELBY, MEMPHIS, TN, 
31295, 800 ESTRIDGE DR, MEMPHIS, TN, 
31296, 800 EUGENE, MEMPHIS, TN, 
31297, 800 FLYNN RD, MEMPHIS, TN, 
31298, 800 HARRELL, MEMPHIS, TN, 
31299, 800 HAWTHORNE ST, MEMPHIS, TN, 
31300, 800 MILSTEAD RD, MEMPHIS, TN, 
31301, 800 MISSISSIPPI BLVD, MEMPHIS, TN, 
31302, 800 N 4TH, MEMPHIS, TN, 
31303, 800 N DECATUR, MEMPHIS, TN, 
31304, 800 N FOURTH ST, MEMPHIS, TN, 
31305, 800 N GRAHAM, MEMPHIS, TN, 
31306, 800 N HOLMES RD, MEMPHIS, TN, 
31307, 800 N SIXTH, MEMPHIS, TN, 
31308, 800 NATIONAL ST, MEMPHIS, TN, 
31309, 800 NORTH FIFTH, MEMPHIS, TN, 
31310, 800 NORTH MCNEIL, MEMPHIS, TN, 
31311, 800 NORTH MONTGOMERY, MEMPHIS, TN, 
31312, 800 NORTH WHITE STATION RD, MEMPHIS, TN, 
31313, 800 PENDLETON ST, MEMPHIS, TN, 
31314, 800 RIVERSIDE DR, MEMPHIS, TN, 
31315, 800 S BUNTYN ST, MEMPHIS, TN, 
31316, 800 S DUDLEY, MEMPHIS, TN, 
31317, 800 S FOURTH, MEMPHIS, TN, 
31318, 800 S MCLEAN BLVD, MEMPHIS, TN, 
31319, 800 TANGLEWOOD ST, MEMPHIS, TN, 
31320, 800 TEALWOOD LN, MEMPHIS, TN, 
31321, 800 VAUGHN RD, MEMPHIS, TN, 
31322, 800 W LEVI RD, MEMPHIS, TN, 
31323, 800 W SHELBY DR, MEMPHIS, TN, 
31324, 800 WOODLAWN ST, MEMPHIS, TN, 
31325, 800 ZILPHIA, MEMPHIS, TN, 
31326, 8000 HORIZON LAKE DR, MEMPHIS, TN, 
31327, 8000 MACON RD, MEMPHIS, TN, 
31328, 8000 MEADOWBANK RD, MEMPHIS, TN, 
31329, 8000 RAQUETBALL LN, MEMPHIS, TN, 
31330, 8000 TRINITY MILLS, MEMPHIS, TN, 
31331, 8100 CARRIAGE CT, MEMPHIS, TN, 
31332, 8100 CLUB CENTER, MEMPHIS, TN, 
31333, 8100 GIACOSA RD, MEMPHIS, TN, 
31334, 8100 MEADOWBANK, MEMPHIS, TN, 
31335, 8100 NORWICH, MEMPHIS, TN, 
31336, 8200 CAIRN DR, MEMPHIS, TN, 
31337, 8200 COUNTRY MILL CV, MEMPHIS, TN, 
31338, 8200 ROCK CREEK PL, MEMPHIS, TN, 
31339, 8300 CLINTON WAY LN, MEMPHIS, TN, 
31340, 8300 COUNTRY SQUIRE LN, MEMPHIS, TN, 
31341, 8300 MACON RD, MEMPHIS, TN, 
31342, 8300 N FLETCHER RUN, MEMPHIS, TN, 
31343, 8300 NOTTINGHAM CIRCLE, MEMPHIS, TN, 
31344, 8300 VALLEY RIDGE TRAIL, MEMPHIS, TN, 
31345, 8400 CREEK FRONT, MEMPHIS, TN, 
31346, 8400 PALM SPRINGS DR, MEMPHIS, TN, 
31347, 8400 REMBROOK, MEMPHIS, TN, 
31348, 8400 SEAGULL, MEMPHIS, TN, 
31349, 8500 BAZEMORE RD, MEMPHIS, TN, 
31350, 8500 CAIRN CREEK CV, MEMPHIS, TN, 
31351, 8600 CHIMNEYROCK BLVD, MEMPHIS, TN, 
31352, 8600 OVERCUP OAKS DR, MEMPHIS, TN, 
31353, 8600 SUN VISTA, MEMPHIS, TN, 
31354, 8600 TIMBER WALK CV, MEMPHIS, TN, 
31355, 8700 BECKENHAM, MEMPHIS, TN, 
31356, 8700 CHIMNEYROCK, MEMPHIS, TN, 
31357, 8700 DEBBIE KAY LN, MEMPHIS, TN, 
31358, 8700 GRANDBURY PLACE, MEMPHIS, TN, 
31359, 8700 HIGH COTTON CV, MEMPHIS, TN, 
31360, 8700 MAY ORCHARD, MEMPHIS, TN, 
