53292, AMERICAN WAY PARK, MEMPHIS, TN, 
53293, AMEY AND WHITEHAVEN LN, MEMPHIS, TN, 
53294, ANNIE AND FERN, MEMPHIS, TN, 
53295, APPLE BLOSSOM AND HYACINTH, MEMPHIS, TN, 
53296, APPLE BLOSSOM AND MAPLE LEAF, MEMPHIS, TN, 
53297, APPLE TREE AND HICKORY HILL, MEMPHIS, TN, 
53298, APPLESTONE AND BURWOOD, MEMPHIS, TN, 
53299, APPLESTONE AND NEELY, MEMPHIS, TN, 
53300, APPLEVILLE AND LORAINE, MEMPHIS, TN, 
53301, APPLEWOOD DR AND APPLEWOOD CV, MEMPHIS, TN, 
53302, APPLING AND GOODLETT FARMS, MEMPHIS, TN, 
53303, APPLING AND HIGHWAY 64, MEMPHIS, TN, 
53304, APPLING AND I40, MEMPHIS, TN, 
53305, APPLING AND REESE, MEMPHIS, TN, 
53306, APPLING FARMS PKWY AND WHITTEN RD, MEMPHIS, TN, 
53307, APPLING FARMS PKWY AND WHITTEN, MEMPHIS, TN, 
53308, APPLING RD AND PATE RD, MEMPHIS, TN, 
53309, ARDMORE AND CASSIE, MEMPHIS, TN, 
53310, ARGONNE AND BALDWIN, MEMPHIS, TN, 
53311, ARGOSY AND APOLLO, MEMPHIS, TN, 
53312, ARLINGTON AND PENDLETON, MEMPHIS, TN, 
53313, ARNOLD AND OLD QUARRY RD, MEMPHIS, TN, 
53314, ARNOLD AND OLD QUARRY, MEMPHIS, TN, 
53315, ARNOLD AND WHITESANDS, MEMPHIS, TN, 
53316, ARRINGTON AND THOMAS, MEMPHIS, TN, 
53317, ARROWHEAD AND WATSON, MEMPHIS, TN, 
53318, ASH AND OMAR ROBINSON, MEMPHIS, TN, 
53319, ASHRIDGE AND HICKORY HILL, MEMPHIS, TN, 
53320, ASHWOOD AND FOREST BROOK, MEMPHIS, TN, 
53321, ASHWOOD AND WATSON, MEMPHIS, TN, 
53322, ASTE AND OLIVE, MEMPHIS, TN, 
53323, ATLANTIC AND HENRY, MEMPHIS, TN, 
53324, AUBRA AND STANDARD, MEMPHIS, TN, 
53325, AUBURN AND BLANCHARD, MEMPHIS, TN, 
53326, AUBURN AND HALE, MEMPHIS, TN, 
53327, AUBURN AND LINWOOD, MEMPHIS, TN, 
53328, AUBURN AND SHELBY DR, MEMPHIS, TN, 
53329, AUCTION AND DANNY THOMAS, MEMPHIS, TN, 
53330, AUCTION AND MAIN, MEMPHIS, TN, 
53331, AUDREY AND LONGCREST, MEMPHIS, TN, 
53332, AUSTIN AND CHELSEA, MEMPHIS, TN, 
53333, AUSTIN PEAY AND RALEIGH COMMONS, MEMPHIS, TN, 
53334, AUSTIN PEAY HWY AND COLEMAN RD, MEMPHIS, TN, 
53335, AUSTIN PEAY HWY AND STAGE RD, MEMPHIS, TN, 
53336, AUSTINWOOD AND WOODALE, MEMPHIS, TN, 
53337, AUSTINWOOD AND WOODDALE, MEMPHIS, TN, 
53338, AUTUMN AND CLEVELAND, MEMPHIS, TN, 
53339, AUTUMN AND MALVERN, MEMPHIS, TN, 
53340, AVALON AND HENRY, MEMPHIS, TN, 
53341, AVON ROAD AND SUMMER AVENUE, MEMPHIS, TN, 
53342, AVRON B FOGELMAN EXPRESSWAY, MEMPHIS, TN, 
53343, AYERS AND GRIFFITH, MEMPHIS, TN, 
53344, AYERS AND N PKWY, MEMPHIS, TN, 
53345, AYERS AND PEACH, MEMPHIS, TN, 
53346, AZALIA AND CUMMINGS, MEMPHIS, TN, 
53347, AZALIA AND MCLEMORE, MEMPHIS, TN, 
53348, BACON ST AND VOLTAIRE AVE, MEMPHIS, TN, 
53349, BALD EAGLE AND TALON, MEMPHIS, TN, 
53350, BALDWIN AND ARGONNE, MEMPHIS, TN, 
53351, BALL AND AIRWAYS, MEMPHIS, TN, 
53352, BALL AND ALCY, MEMPHIS, TN, 
53353, BALL AND MANCHESTER, MEMPHIS, TN, 
53354, BALTIC AND JOHNSON, MEMPHIS, TN, 
53355, BALTIC AND PACIFIC, MEMPHIS, TN, 
53356, BALTIC AND TUTWILER, MEMPHIS, TN, 
53357, BALTIMORE AND BARRON, MEMPHIS, TN, 
53358, BANNOCKBURN RD AND NEW ALLEN RD, MEMPHIS, TN, 
53359, BARBWOOD AND WOODDALE, MEMPHIS, TN, 
53360, BARKSDALE AND LINDEN, MEMPHIS, TN, 
53361, BARKSDALE AND OLIVER, MEMPHIS, TN, 
53362, BARNSTABLE AND GLENROY, MEMPHIS, TN, 
53363, BARR AND DENISON, MEMPHIS, TN, 
53364, BARRON AND BALTIMORE, MEMPHIS, TN, 
53365, BARRON AND BARRON CT, MEMPHIS, TN, 
53366, BARRON AND BROWER, MEMPHIS, TN, 
53367, BARRON AND BUNTYN, MEMPHIS, TN, 
53368, BARRON AND DAVID, MEMPHIS, TN, 
53369, BARRON AND FOXCROFT, MEMPHIS, TN, 
53370, BARRON AND MARIANNA, MEMPHIS, TN, 
53371, BARRON AVENUE AND WOODBERRY AVE, MEMPHIS, TN, 
53372, BARTLETT AND PLEASANT VIEW, MEMPHIS, TN, 
53373, BARTLETT AND RALEIGH LAGRANGE, MEMPHIS, TN, 
53374, BARTON AND HERMITAGE, MEMPHIS, TN, 
53375, BASKIN AND OBERLE, MEMPHIS, TN, 
53376, BASKIN AND VISTA VIEW, MEMPHIS, TN, 
53377, BASKIN ST AND WHITNEY AVE, MEMPHIS, TN, 
53378, BATTLECREEK AND COVINGTON PIKE, MEMPHIS, TN, 
53379, BAYLISS AND WRENWOOD, MEMPHIS, TN, 
53380, BAYLISS AVE AND NATIONAL ST, MEMPHIS, TN, 
53381, BB KING AND JEFFERSON, MEMPHIS, TN, 
53382, BB KING AND VANCE, MEMPHIS, TN, 
53383, BEALE ALLEY AND FOURTH, MEMPHIS, TN, 
53384, BEALE AND FRONT ST, MEMPHIS, TN, 
53385, BEALE AND MANASSAS, MEMPHIS, TN, 
53386, BEALE AND S LAUDERDALE, MEMPHIS, TN, 
53387, BEALE ST AND 4TH ST, MEMPHIS, TN, 
53388, BEALE ST AND BB KING BLVD, MEMPHIS, TN, 
