136145, 700 BLK TATE AVE, MEMPHIS, TN, 
136146, 700 BLOCK E RAINES RD, MEMPHIS, TN, 
136147, 700 BLOCK EAST RAINES, MEMPHIS, TN, 
136148, 700 BLOCK EDITH AVE, MEMPHIS, TN, 
136149, 700 BLOCK JACKSON AVE, MEMPHIS, TN, 
136150, 700 BLOCK MONTGOMERY ST, MEMPHIS, TN, 
136151, 700 BLOCK N DUNLAP, MEMPHIS, TN, 
136152, 700 BLOCK N PKWY, MEMPHIS, TN, 
136153, 700 BLOCK OF CAROLINA AVE, MEMPHIS, TN, 
136154, 700 BLOCK OF CENTRAL, MEMPHIS, TN, 
136155, 700 BLOCK OF COLUMBIA ST, MEMPHIS, TN, 
136156, 700 BLOCK OF DALLAS ST, MEMPHIS, TN, 
136157, 700 BLOCK OF FIRESTONE AVE, MEMPHIS, TN, 
136158, 700 BLOCK OF GAGE ST, MEMPHIS, TN, 
136159, 700 BLOCK OF INEZ ST, MEMPHIS, TN, 
136160, 700 BLOCK OF KING RD, MEMPHIS, TN, 
136161, 700 BLOCK OF LAGRANGE ST, MEMPHIS, TN, 
136162, 700 BLOCK OF LAUDERDALE, MEMPHIS, TN, 
136163, 700 BLOCK OF LOONEY AVE, MEMPHIS, TN, 
136164, 700 BLOCK OF NOVARESE, MEMPHIS, TN, 
136165, 700 BLOCK OF PEEBLES RD AND NONCONNAH RD, MEMPHIS, TN, 
136166, 700 BLOCK OF POPLAR AND MANASSAS ST, MEMPHIS, TN, 
136167, 700 BLOCK OF POPLAR AVE, MEMPHIS, TN, 
136168, 700 BLOCK OF POPLAR, MEMPHIS, TN, 
136169, 700 BLOCK OF TILLMAN, MEMPHIS, TN, 
136170, 700 BLOCK OF WESTERN PARK, MEMPHIS, TN, 
136171, 700 BLOCK PORTER, MEMPHIS, TN, 
136172, 700 BLOCK SOUTH DANNY THOMAS AND CAROLINA AVE, MEMPHIS, TN, 
136173, 700 BLOCK TULANE RD, MEMPHIS, TN, 
136174, 700 BLOCK WHITEHAVEN LN, MEMPHIS, TN, 
136175, 700 BON WOOD AVE, MEMPHIS, TN, 
136176, 700 BONNWOOD, MEMPHIS, TN, 
136177, 700 BONWOOG, MEMPHIS, TN, 
136178, 700 BOSTON, APT A, MEMPHIS, TN, 
136179, 700 BRAKEBILL RD, MEMPHIS, TN, 
136180, 700 BRAKEFIELD, MEMPHIS, TN, 
136181, 700 BREAKBILL AVE, MEMPHIS, TN, 
136182, 700 BREAKFIELD, MEMPHIS, TN, 
136183, 700 BREEDLOVE #111 ST, MEMPHIS, TN, 
136184, 700 BREEDLOVE 1, MEMPHIS, TN, 
136185, 700 BREEDLOVE 104, MEMPHIS, TN, 
136186, 700 BRENTWOOD CIR E, MEMPHIS, TN, 
136187, 700 BRENTWOOD CIRCLE WEST, MEMPHIS, TN, 
136188, 700 BRENTWOOD CIRCLE, MEMPHIS, TN, 
136189, 700 BRINSLEY DR, MEMPHIS, TN, 
136190, 700 BRISTER #1, MEMPHIS, TN, 
136191, 700 BRISTER #13, MEMPHIS, TN, 
136192, 700 BRISTER #6, MEMPHIS, TN, 
136193, 700 BRISTER 11, MEMPHIS, TN, 
136194, 700 BRISTER 16, MEMPHIS, TN, 
136195, 700 BRISTER APT 11, MEMPHIS, TN, 
136196, 700 BRISTER APT 4, MEMPHIS, TN, 
136197, 700 BRISTER APT5, MEMPHIS, TN, 
136198, 700 BRISTER AVE, MEMPHIS, TN, 
136199, 700 BRISTER OAKS, MEMPHIS, TN, 
136200, 700 BRISTER PL, MEMPHIS, TN, 
136201, 700 BRISTER PLACE, MEMPHIS, TN, 
136202, 700 BRISTLE ST, MEMPHIS, TN, 
136203, 700 BROOKEHAVEN CIRCLE, MEMPHIS, TN, 
136204, 700 BROOKHAVEN CIRCLE EAST, MEMPHIS, TN, 
136205, 700 BROOKHEAVEN CIRLCLE W, MEMPHIS, TN, 
136206, 700 BROOKS, MEMPHIS, TN, 
136207, 700 BROWN MALL APT F, MEMPHIS, TN, 
136208, 700 BROWNLEE, MEMPHIS, TN, 
136209, 700 BULK OF CROCKETT, MEMPHIS, TN, 
136210, 700 BULLINGTON CIR, MEMPHIS, TN, 
136211, 700 BURDETT AVE, MEMPHIS, TN, 
136212, 700 BURDETT, MEMPHIS, TN, 
136213, 700 BURDETTE RD, MEMPHIS, TN, 
136214, 700 BURLINGTON CR RD, MEMPHIS, TN, 
136215, 700 BURLINGTON CR, MEMPHIS, TN, 
136216, 700 BURNETTE, MEMPHIS, TN, 
136217, 700 BURRDETTE, MEMPHIS, TN, 
136218, 700 BUTLER, MEMPHIS, TN, 
136219, 700 BYRON, MEMPHIS, TN, 
136220, 700 CABOT CV, MEMPHIS, TN, 
136221, 700 CADRACA 4, MEMPHIS, TN, 
136222, 700 CADRACA RD #4, MEMPHIS, TN, 
136223, 700 CADRACAS, MEMPHIS, TN, 
136224, 700 CADRACE, MEMPHIS, TN, 
136225, 700 CALDWELL AVE, MEMPHIS, TN, 
136226, 700 CALDWELL, MEMPHIS, TN, 
136227, 700 CAMLIA, MEMPHIS, TN, 
136228, 700 CAMLLA ST, MEMPHIS, TN, 
136229, 700 CAMPUS HEIGHTS, MEMPHIS, TN, 
136230, 700 CAMPUS OAKS PLACE, MEMPHIS, TN, 
136231, 700 CANE MEADOW CIR, MEMPHIS, TN, 
136232, 700 CARPENTER AVE, MEMPHIS, TN, 
136233, 700 CARPENTER RD, MEMPHIS, TN, 
136234, 700 CARPENTNER, MEMPHIS, TN, 
136235, 700 CARPETNER, MEMPHIS, TN, 
136236, 700 CEDARBROOK LN, MEMPHIS, TN, 
136237, 700 CEDRACA DR E, MEMPHIS, TN, 
136238, 700 CHANNEL 3 DR, MEMPHIS, TN, 
136239, 700 CHARELSTON CT, MEMPHIS, TN, 
136240, 700 CHARLESTON CT #301, MEMPHIS, TN, 
