10354, 1700 GILSON RD, MEMPHIS, TN, 
10355, 1700 HARRISON ST, MEMPHIS, TN, 
10356, 1700 KENT, MEMPHIS, TN, 
10357, 1700 N GRAHAM ST, MEMPHIS, TN, 
10358, 1700 NATIONAL, MEMPHIS, TN, 
10359, 1700 RIVERSIDE, MEMPHIS, TN, 
10360, 1700 S WELLINGTON, MEMPHIS, TN, 
10361, 1700 SMOKEHOUSE DR, MEMPHIS, TN, 
10362, 1700 WILSON ST, MEMPHIS, TN, 
10363, 1800 BALL RD, MEMPHIS, TN, 
10364, 1800 CHERRY, MEMPHIS, TN, 
10365, 1800 DAVID, MEMPHIS, TN, 
10366, 1800 GRACELAND CV, MEMPHIS, TN, 
10367, 1800 KIRBY, MEMPHIS, TN, 
10368, 1800 PEACH, MEMPHIS, TN, 
10369, 1800 SOUTH THIRD, MEMPHIS, TN, 
10370, 1900 JAMES RD, MEMPHIS, TN, 
10371, 1900 JAMES, MEMPHIS, TN, 
10372, 1900 MANILA, MEMPHIS, TN, 
10373, 1900 RIVERSIDE, MEMPHIS, TN, 
10374, 1900 S WELLINGTON, MEMPHIS, TN, 
10375, 200 E EH CRUMP BLVD, MEMPHIS, TN, 
10376, 200 IVAN, MEMPHIS, TN, 
10377, 200 MAXWELL, MEMPHIS, TN, 
10378, 200 N FRONT ST, MEMPHIS, TN, 
10379, 200 N MONTGOMERY ST, MEMPHIS, TN, 
10380, 200 SOUTH SECOND, MEMPHIS, TN, 
10381, 200 WAGNER PLACE, MEMPHIS, TN, 
10382, 2000 AMBERGATE, MEMPHIS, TN, 
10383, 2000 CLOVIA, MEMPHIS, TN, 
10384, 2000 GLADNEY, MEMPHIS, TN, 
10385, 2000 KELTNER CIR, MEMPHIS, TN, 
10386, 2100 AMITY, MEMPHIS, TN, 
10387, 2100 BLUE CRANE, MEMPHIS, TN, 
10388, 2100 BROOKS, MEMPHIS, TN, 
10389, 2100 CLARKSDALE, MEMPHIS, TN, 
10390, 2100 E MCLEMORE, MEMPHIS, TN, 
10391, 2100 KELTNER CIR, MEMPHIS, TN, 
10392, 2100 LABELLE, MEMPHIS, TN, 
10393, 2100 PUEBLO, MEMPHIS, TN, 
10394, 2200 BENFORD, MEMPHIS, TN, 
10395, 2200 HOWELL ST, MEMPHIS, TN, 
