32215, 1300 S PARKWAY E, MEMPHIS, TN, 
32216, 1300 SINGING TREES DR, MEMPHIS, TN, 
32217, 1300 SOUTH BELLEVUE BLVD, MEMPHIS, TN, 
32218, 1300 SOUTH GREER, MEMPHIS, TN, 
32219, 1300 SOUTH WELLINGTON, MEMPHIS, TN, 
32220, 1300 SOUTHLAND DR, MEMPHIS, TN, 
32221, 1300 SYLVAN ST, MEMPHIS, TN, 
32222, 1300 VOLLINTINE ST, MEMPHIS, TN, 
32223, 1300 W CRESTWOOD, MEMPHIS, TN, 
32224, 1300 WEAKLY, MEMPHIS, TN, 
32225, 1300 WHITTEN RD, MEMPHIS, TN, 
32226, 1300 WILL SCARLETT, MEMPHIS, TN, 
32227, 1300 WILMORE, MEMPHIS, TN, 
32228, 1300 WOODWARD, MEMPHIS, TN, 
32229, 1400 BROWER ST, MEMPHIS, TN, 
32230, 1400 CAMERON, MEMPHIS, TN, 
32231, 1400 CELMENTINE, MEMPHIS, TN, 
32232, 1400 CHADWICK ST, MEMPHIS, TN, 
32233, 1400 CLEMEMTINE, MEMPHIS, TN, 
32234, 1400 CLEMENTIME, MEMPHIS, TN, 
32235, 1400 CLEMENTINE APT 6, MEMPHIS, TN, 
32236, 1400 COOPER, MEMPHIS, TN, 
32237, 1400 DEXTER LAKE DR, MEMPHIS, TN, 
32238, 1400 DOVE FLIGHT, MEMPHIS, TN, 
32239, 1400 DRR ST, MEMPHIS, TN, 
32240, 1400 E MCLEMORE AVE, MEMPHIS, TN, 
32241, 1400 EAST RAINES RD, MEMPHIS, TN, 
32242, 1400 FAVELL DR, MEMPHIS, TN, 
32243, 1400 FLOWER, MEMPHIS, TN, 
32244, 1400 GLEN OAKS, MEMPHIS, TN, 
32245, 1400 GREEN TREE VALLEY CT, MEMPHIS, TN, 
32246, 1400 GREENBROOK BND, MEMPHIS, TN, 
32247, 1400 HAYNE RD, MEMPHIS, TN, 
32248, 1400 HICKORY RIDGE DR, MEMPHIS, TN, 
32249, 1400 MARYGENE CV, MEMPHIS, TN, 
32250, 1400 MC MILLAN ST, MEMPHIS, TN, 
32251, 1400 MENAGER, MEMPHIS, TN, 
32252, 1400 MERRYCREST DR, MEMPHIS, TN, 
32253, 1400 MOSS BROOK, MEMPHIS, TN, 
32254, 1400 N SECOND ST, MEMPHIS, TN, 
32255, 1400 NOBLE AVE, MEMPHIS, TN, 
32256, 1400 NORTH MERTON, MEMPHIS, TN, 
32257, 1400 NORTH WATKINS, MEMPHIS, TN, 
32258, 1400 PAULUS, MEMPHIS, TN, 
32259, 1400 PENNSYLVANIA, MEMPHIS, TN, 
32260, 1400 PERKINS, MEMPHIS, TN, 
32261, 1400 PIDGEON PERCH, MEMPHIS, TN, 
32262, 1400 RAGAN, MEMPHIS, TN, 
32263, 1400 RAILTON ST, MEMPHIS, TN, 
32264, 1400 S HIGHLAND ST, MEMPHIS, TN, 
32265, 1400 S LAUDERDALE ST, MEMPHIS, TN, 
