18147, E BURNETT AVE / REASOR AVE, LOUISVILLE, KY, 40217
18148, E KINGSTON AVE / TERRY PL, LOUISVILLE, KY, 40214
18149, E MAGNOLIA AVE / OUERBACKER CT, LOUISVILLE, KY, 40208
18150, E MARKET ST, LOUISVILLE, KY, 40202
18151, E OAK ST / RAMMERS AVE, LOUISVILLE, KY, 40204
18152, E ORMSBY AVE / S JACKSON ST, LOUISVILLE, KY, 40203
18153, E WITHERSPOON ST / N CLAY ST, LOUISVILLE, KY, 40202
18154, EASTERN PKY / CHEROKEE RD, LOUISVILLE, KY, 40204
18155, EASTERN PKY / KESWICK BLVD, LOUISVILLE, KY, 40217
18156, EASTOVER CT / FRANKFORT AVE, LOUISVILLE, KY, 40206
18157, EDGELAND AVE / WILLOW AVE, LOUISVILLE, KY, 40204
18158, EIGELBACH AVE / POPLAR LEVEL RD, LOUISVILLE, KY, 40217
18159, ELMCROFT CIR / U S HIGHWAY 42, LOUISVILLE, KY, 40241
18160, ELMER LN / SCOTTSDALE BLVD, LOUISVILLE, KY, 40214
18161, EMBRY AVE / POPE ST, LOUISVILLE, KY, 40206
18162, ESTATE DR / GAGEL AVE, LOUISVILLE, KY, 40216
18163, FALLS CREEK RD / U S HIGHWAY 42, LOUISVILLE, KY, 40241
18164, FERN VALLEY RD / ROEDERER DR, LOUISVILLE, KY, 40219
18165, FINCHLEY RD / GATEHOUSE LN, LOUISVILLE, KY, 40243
18166, FRANK LEE AVE / TERRY RD, LOUISVILLE, KY, 40216
18167, FRANKFORT AVE / IOLA RD, LOUISVILLE, KY, 40207
18168, FRANKFORT AVE / MCCREADY AVE, LOUISVILLE, KY, 40206
18169, FRANKFORT AVE / SHELBYVILLE RD, LOUISVILLE, KY, 40207
18170, FRANKFORT AVE / STILZ AVE, LOUISVILLE, KY, 40206
18171, FRANKLIN AVE / WELLSWORTH AVE, LOUISVILLE, KY, 40216
18172, FREEDOM WAY / THOR AVE, LOUISVILLE, KY, 40229
18173, GALLAGHER ST / SALEM AVE, LOUISVILLE, KY, 40210
18174, GARDEN DR / LEXINGTON RD, LOUISVILLE, KY, 40206
18175, GARLAND AVE / SUTCLIFFE AVE, LOUISVILLE, KY, 40211
18176, GARROW AVE / SOUTHACRES DR, LOUISVILLE, KY, 40219
18177, GARVIN PL / ZANE ST, LOUISVILLE, KY, 40203
18178, GATEHOUSE LN / WHITEHEATH LN, LOUISVILLE, KY, 40243
18179, GEORGETOWN PL / VALLEY FORGE WAY, LOUISVILLE, KY, 40215
18180, GHEENS AVE / NIMITZ CT, LOUISVILLE, KY, 40214
18181, GLASER LN / S WATTERSON TRL, LOUISVILLE, KY, 40291
18182, GLEN EAGLE DR / U S HIGHWAY 42, LOUISVILLE, KY, 40222
18183, GLENCREEK LN / HIKES LN, LOUISVILLE, KY, 40218
18184, GOLDSMITH LN / SUMNER RD, LOUISVILLE, KY, 40218
18185, GOSS AVE / KRIEGER ST, LOUISVILLE, KY, 40217
18186, GRAFTON HALL RD / JACQUELINE WAY, LOUISVILLE, KY, 40272
18187, GRANT AVE / NEW LA GRANGE RD, LOUISVILLE, KY, 40222
18188, GREENBELT HWY / INTERMODAL DR, LOUISVILLE, KY, 40258
18189, GREENLAWN RD / HERR LN, LOUISVILLE, KY, 40222
18190, GREENWICH RD / HIKES LN, LOUISVILLE, KY, 40218
18191, GREENWOOD RD / KENTUCKY AVE, LOUISVILLE, KY, 40258
18192, GREENWOOD RD / MANGO DR, LOUISVILLE, KY, 40258
18193, GREENWOOD RD / PINTAIL DR, LOUISVILLE, KY, 40258
18194, GRINSTEAD DR / WILLOW AVE, LOUISVILLE, KY, 40204
18195, HAZELWOOD AVE / MALCOLM AVE, LOUISVILLE, KY, 40214
18196, HEAFER RD / PARK FIELD RD, LOUISVILLE, KY, 40223
18197, HEATHMOORE CT / TAZWELL DR, LOUISVILLE, KY, 40241
18198, HERMAN ST / S SHAWNEE TER, LOUISVILLE, KY, 40212
18199, HERMAN ST / SHAWNEE DR, LOUISVILLE, KY, 40212
18200, HICKORY ST / MULBERRY ST, LOUISVILLE, KY, 40217
18201, HIGH WICKHAM PL / OLD HENRY RD, LOUISVILLE, KY, 40245
18202, HIGHLAND AVE / SCHILLER AVE, LOUISVILLE, KY, 40204
18203, HIKES LN / STANTON BLVD, LOUISVILLE, KY, 40218
18204, HIKES LN, LOUISVILLE, KY, 40218
18205, HIKES LN, LOUISVILLE, KY, 40220
18206, HINCHBROOK BLVD / HORNCASTLE WAY, LOUISVILLE, KY, 40272
18207, HOMEVIEW DR / LINDBERGH DR, LOUISVILLE, KY, 40215
18208, HUDSON CREEK DR / HUDSON LN, LOUISVILLE, KY, 40291
18209, HURSTBOURNE PKY E / I64E, LOUISVILLE, KY, NA
18210, I 264 RAMP / I 65 RAMP, LOUISVILLE, KY, 40213
18211, I 264 RAMP / PRESTON HWY, LOUISVILLE, KY, 40213
18212, I 264 WEST / I 71 RAMP, LOUISVILLE, KY, 40207
18213, I 64 RAMP / I 64 RAMP, LOUISVILLE, KY, 40207
18214, I 64 RAMP / I 64 WEST, LOUISVILLE, KY, 40245
18215, I 64 RAMP / MELLWOOD AVE, LOUISVILLE, KY, 40206
18216, I 65 RAMP / FERN VALLEY RD, LOUISVILLE, KY, 40213
18217, I 65 RAMP / I 65 RAMP, LOUISVILLE, KY, 40203
18218, I 65 RAMP / KY-841 RAMP, LOUISVILLE, KY, 40118
18219, I264E / DIXIE HWY, LOUISVILLE, KY, NA
18220, I264W / I65S, LOUISVILLE, KY, 40209
18221, I264W / WESTPORT RD, LOUISVILLE, KY, 40222
18222, I265N / TAYLORSVILLE RD, LOUISVILLE, KY, 40299
18223, I265S / I64, LOUISVILLE, KY, 40299
18224, I64E / COUNTY LINE, LOUISVILLE, KY, 40023
18225, I64W / 3RD ST, LOUISVILLE, KY, 40202
18226, I64W / BLANKENBAKER PKY EAST SIDE IN JTN, LOUISVILLE, KY, NA
18227, I64W / I265, LOUISVILLE, KY, 40299
18228, I65S / I64E, LOUISVILLE, KY, 40202
18229, I65S / JEFFERSON ST, LOUISVILLE, KY, 40202
18230, I65S / ST CATHERINE ST, LOUISVILLE, KY, 40203
18231, I65S EXIT 132, LOUISVILLE, KY, 40209
18232, I71N / I64, LOUISVILLE, KY, 40206
18233, I71S / I64, LOUISVILLE, KY, 40206
18234, IROQUOIS PKY / RUNDILL RD, LOUISVILLE, KY, 40214
18235, JANNA DR / NOCTURNE DR, LOUISVILLE, KY, 40272
18236, JEFFERSON BLVD, LOUISVILLE, KY, 40219
18237, JOE DON CT / ST ANTHONY CHURCH RD, LOUISVILLE, KY, 40214
18238, KENNEDY PLACE CIR / STONESTREET RD, LOUISVILLE, KY, 40272
18239, KLONDIKE LN / KLONWAY DR, LOUISVILLE, KY, 40218
18240, LA FONTENAY DR, LOUISVILLE, KY, 40223
18241, LA GRANGE RD / ROBSION PARK DR, LOUISVILLE, KY, 40222
18242, LAKE AVE / LYNDON LN, LOUISVILLE, KY, 40222
18243, LAKE DREAMLAND RD / S OVERBROOK DR, LOUISVILLE, KY, 40216
18244, LAKESIDE DR / TREVILIAN WAY, LOUISVILLE, KY, 40205
18245, LEEMONT DR / LOGWOOD AVE, LOUISVILLE, KY, 40272
18246, LEES LN / MELROSE AVE, LOUISVILLE, KY, 40216
18247, LENTZ AVE / SEELBACH AVE, LOUISVILLE, KY, 40215
18248, LESTER AVE / SCHNEITER AVE, LOUISVILLE, KY, 40215
18249, LILLIAN AVE / UTAH AVE, LOUISVILLE, KY, 40208
18250, LILLIAN WAY / SOUTHSIDE DR, LOUISVILLE, KY, 40214
18251, LINCOLN AVE / LINDBERGH DR, LOUISVILLE, KY, 40208
18252, LONE OAK AVE / OLD OUTER LOOP, LOUISVILLE, KY, 40219
18253, LONE OAK TRL / SOUTHERN PKY, LOUISVILLE, KY, 40214
18254, LOWE RD / STERLING RD, LOUISVILLE, KY, 40220
18255, LOWER HUNTERS TRCE / DIXIE HWY, LOUISVILLE, KY, 40216
18256, LOWER HUNTERS TRCE, LOUISVILLE, KY, 40258
18257, LYNDALE AVE / NEW LA GRANGE RD, LOUISVILLE, KY, 40222
18258, LYNDON LN / WHIPPS MILL RD, LOUISVILLE, KY, 40222
18259, MAGAZINE ST / VILLAGE WEST DR, LOUISVILLE, KY, 40203
18260, MAIN ST / N WATTERSON TRL, LOUISVILLE, KY, 40243
18261, MANNING RD / PRESTON HWY, LOUISVILLE, KY, 40213
18262, MANSLICK RD / I264, LOUISVILLE, KY, 40216
18263, MANSLICK RD / RED STONE HILL RD, LOUISVILLE, KY, 40214
18264, MAPLE RD / YELLOW PINE DR, LOUISVILLE, KY, 40229
18265, MAPLE WAY / MOUNT WASHINGTON RD, LOUISVILLE, KY, 40229
18266, MARCH BLVD / MANSLICK RD, LOUISVILLE, KY, 40215
18267, MARYMAN RD / NANCY LN, LOUISVILLE, KY, 40258
18268, MATHA AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
18269, MCHENRY ST / MULBERRY ST, LOUISVILLE, KY, 40217
18270, MCNEELY LAKE DR / PRICE LANE RD, LOUISVILLE, KY, 40229
18271, MEADOWLAWN DR / PENDLETON RD, LOUISVILLE, KY, 40272
18272, MEADOWOOD CT / SOUTHSIDE DR, LOUISVILLE, KY, 40214
18273, MERIDIAN HILLS DR / SHELBYVILLE RD, LOUISVILLE, KY, 40243
