13227, SENNRIDGE DR / TORRINGTON RD, LOUISVILLE, KY, 40272
13228, SHELBYVILLE RD / WILDWOOD LN, LOUISVILLE, KY, 40223
13229, SOUTHERN PKY / SUMMERS AVE, LOUISVILLE, KY, 40214
13230, ST ANDREWS CHURCH RD / WINDEMERE DR, LOUISVILLE, KY, 40214
13231, STONE BLUFF RD / S WATTERSON TRL, LOUISVILLE, KY, 40291
13232, THORNBERRY AVE / UTAH AVE, LOUISVILLE, KY, 40215
13233, VERMONT AVE / I264, LOUISVILLE, KY, 40211
13234, W EVELYN AVE / WARREN AVE, LOUISVILLE, KY, 40215
13235, W FLORENCE AVE / WARREN AVE, LOUISVILLE, KY, 40215
13236, WOOD RD / WOOD CREEK CT, LOUISVILLE, KY, 40222
13237, 1 CANTERBURY DR, LOUISVILLE, KY, 40220
13238, 1 CILLIA RD, LOUISVILLE, KY, 40216
13239, 1 DAYTONA CT, LOUISVILLE, KY, 40214
13240, 1 GRAND AVENUE CT, LOUISVILLE, KY, 40211
13241, 1 MOCKINGBIRD VALLEY TRL, LOUISVILLE, KY, 40207
13242, 1 POSSUM PASS, LOUISVILLE, KY, 40216
13243, 1 PRISCILLA CT, LOUISVILLE, KY, 40216
13244, 100 DONARD PARK AVE, LOUISVILLE, KY, 40218
13245, 100 DORCHESTER RD, LOUISVILLE, KY, 40223
13246, 100 HAPPEL DR, LOUISVILLE, KY, 40118
13247, 100 HERITAGE HILL TRL, LOUISVILLE, KY, 40223
13248, 100 MACKIE CT, LOUISVILLE, KY, 40214
13249, 100 N 33RD ST, LOUISVILLE, KY, 40212
13250, 100 N HUBBARDS LN, LOUISVILLE, KY, 40207
13251, 100 S 23RD ST, LOUISVILLE, KY, 40212
13252, 100 S CAMPBELL ST, LOUISVILLE, KY, 40206
13253, 100 SPRUCE LN, LOUISVILLE, KY, 40207
13254, 100 W KENWOOD WAY, LOUISVILLE, KY, 40214
13255, 1000 CHERI WAY, LOUISVILLE, KY, 40118
13256, 1000 GRAZING MEADOWS LN, LOUISVILLE, KY, 40245
13257, 1000 SWAN ST, LOUISVILLE, KY, 40204
13258, 10000 CHENOWETH VISTA WAY, LOUISVILLE, KY, 40299
13259, 10000 LOWER RIVER RD, LOUISVILLE, KY, 40272
13260, 10000 SEATONVILLE RD, LOUISVILLE, KY, 40291
13261, 10000 VISTA SPRINGS WAY, LOUISVILLE, KY, 40291
13262, 10100 BRENTLINGER LN, LOUISVILLE, KY, 40291
13263, 10200 LARK MEADOW DR, LOUISVILLE, KY, 40291
13264, 10200 MITCHELL HILL RD, LOUISVILLE, KY, 40118
13265, 10300 CHARLESWOOD RD, LOUISVILLE, KY, 40229
13266, 10300 GRAFTON HALL RD, LOUISVILLE, KY, 40272
13267, 10300 PINE GLEN CIR, LOUISVILLE, KY, 40291
13268, 10300 SOUTHERN MEADOWS DR, LOUISVILLE, KY, 40241
13269, 10300 THRIFT DR, LOUISVILLE, KY, 40223
13270, 10300 VENADO DR, LOUISVILLE, KY, 40291
13271, 10300 WAYCROSS AVE, LOUISVILLE, KY, 40229
13272, 10300 WINGFIELD RD, LOUISVILLE, KY, 40291
13273, 10400 BLUE LICK RD, LOUISVILLE, KY, 40229
13274, 10400 GISELA CT, LOUISVILLE, KY, 40118
13275, 10400 LANKFORD LN, LOUISVILLE, KY, 40118
13276, 10400 TROTTERS POINTE DR, LOUISVILLE, KY, 40241
13277, 10500 FOX AVE, LOUISVILLE, KY, 40118
13278, 10500 PEBBLESTONE CIR, LOUISVILLE, KY, 40229
13279, 10500 VISTA HILLS BLVD, LOUISVILLE, KY, 40291
13280, 10600 SYCAMORE TRL, LOUISVILLE, KY, 40223
13281, 10700 ALDERBROOK PL, LOUISVILLE, KY, 40299
13282, 10700 EAGLE RIDGE PL, LOUISVILLE, KY, 40223
13283, 10800 GATEHOUSE LN, LOUISVILLE, KY, 40243
13284, 10800 MARCITIS RD, LOUISVILLE, KY, 40272
13285, 1100 BROADFIELDS DR, LOUISVILLE, KY, 40207
13286, 11000 CRAIGS CREEK PL, LOUISVILLE, KY, 40241
13287, 11000 LEHR RD, LOUISVILLE, KY, 40272
13288, 11200 LANSFORD DR, LOUISVILLE, KY, 40272
13289, 11200 MINFORD CT, LOUISVILLE, KY, 40229
13290, 11400 TAYLORSVILLE RD, LOUISVILLE, KY, 40299
13291, 11500 PEBBLE TRCE, LOUISVILLE, KY, 40229
13292, 11600 REALITY TRL, LOUISVILLE, KY, 40229
13293, 11700 ROBINDALE RD, LOUISVILLE, KY, 40243
13294, 11800 E ORELL RD, LOUISVILLE, KY, 40272
13295, 11900 OLD SHELBYVILLE RD, LOUISVILLE, KY, 40243
13296, 1200 CONSTITUTION DR, LOUISVILLE, KY, 40214
13297, 1200 MCBROOM CT, LOUISVILLE, KY, 40214
13298, 1200 S 23RD ST, LOUISVILLE, KY, 40210
13299, 1200 WILLIAMS RIDGE RD, LOUISVILLE, KY, 40243
13300, 12100 TRIPLE CROWN CT, LOUISVILLE, KY, 40243
13301, 12200 JONEL CT, LOUISVILLE, KY, 40245
13302, 12300 BRIGHTFIELD DR, LOUISVILLE, KY, 40243
13303, 12300 HOLSCLAW HILL RD, LOUISVILLE, KY, 40118
13304, 12400 AQUARIUS RD, LOUISVILLE, KY, 40243
13305, 12400 BETHANY OAKS PKY, LOUISVILLE, KY, 40272
13306, 12400 HOLSCLAW HILL RD, LOUISVILLE, KY, 40118
13307, 12400 KIAWAH CT, LOUISVILLE, KY, 40245
13308, 12400 LEDGES DR, LOUISVILLE, KY, 40243
13309, 12700 RAZOR BRANCH CT, LOUISVILLE, KY, 40299
13310, 12800 LEDGES DR, LOUISVILLE, KY, 40243
13311, 12900 FENWICK CENTER DR, LOUISVILLE, KY, 40223
13312, 1300 RAMMERS AVE, LOUISVILLE, KY, 40204
13313, 1300 S 22ND ST, LOUISVILLE, KY, 40210
13314, 1300 S 2ND ST, LOUISVILLE, KY, 40203
13315, 1300 W HILL ST, LOUISVILLE, KY, 40210
13316, 13000 AIKEN RD, LOUISVILLE, KY, 40223
13317, 13100 DIXIE HWY, LOUISVILLE, KY, 40272
13318, 13300 MAGISTERIAL DR, LOUISVILLE, KY, 40223
13319, 13500 BROKEN BRANCH WAY, LOUISVILLE, KY, 40245
13320, 13500 SQUIRE SPRINGS CT, LOUISVILLE, KY, 40245
13321, 13700 BLAKELY LN, LOUISVILLE, KY, 40272
13322, 13700 STONERIDGE MANOR DR, LOUISVILLE, KY, 40272
13323, 13900 BEESTON BLVD, LOUISVILLE, KY, 40272
13324, 1400 AUDUBON PKY, LOUISVILLE, KY, 40213
13325, 1400 OLD HARRODS CREEK RD, LOUISVILLE, KY, 40223
13326, 1400 STONEWALL WAY, LOUISVILLE, KY, 40242
