1232, 1100 S 28TH ST, LOUISVILLE, KY, 40211
1233, 1400 S 28TH ST, LOUISVILLE, KY, 40211
1234, 1500 BEECH ST, LOUISVILLE, KY, 40211
1235, 1600 LUCIA AVE, LOUISVILLE, KY, 40204
1236, 2000 S PRESTON ST, LOUISVILLE, KY, 40217
1237, 2100 ROWAN ST, LOUISVILLE, KY, 40212
1238, 2200 S PRESTON ST, LOUISVILLE, KY, 40217
1239, 2400 MELLWOOD AVE, LOUISVILLE, KY, 40206
1240, 300 S 42ND ST, LOUISVILLE, KY, 40212
1241, 3500 POWELL AVE, LOUISVILLE, KY, 40215
1242, 3700 TYANNE PL, LOUISVILLE, KY, 40220
1243, 4400 NEWPORT RD, LOUISVILLE, KY, 40218
1244, 700 COMPTON ST, LOUISVILLE, KY, 40208
1245, 800 HAZEL ST, LOUISVILLE, KY, 40211
1246, 900 E ST CATHERINE ST, LOUISVILLE, KY, 40204
1247, MCNEELY LAKE PARK, LOUISVILLE, KY, 40229
1248, 100 HARLAN AVE, LOUISVILLE, KY, 40214
1249, 1000 QUEEN AVE, LOUISVILLE, KY, 40215
1250, 1100 S SHELBY ST, LOUISVILLE, KY, 40203
1251, 1100 SAMUEL ST, LOUISVILLE, KY, 40204
1252, 1200 LILLIAN AVE, LOUISVILLE, KY, 40208
1253, 1600 DUMESNIL ST, LOUISVILLE, KY, 40210
1254, 2200 DATE ST, LOUISVILLE, KY, 40210
1255, 2500 SLEVIN ST, LOUISVILLE, KY, 40212
1256, 3600 RIVER PARK DR, LOUISVILLE, KY, 40211
1257, 4000 CHURCHMAN AVE, LOUISVILLE, KY, 40215
1258, 4100 GLEN HILL MANOR DR, LOUISVILLE, KY, 40272
1259, 7500 DIXIE HWY, LOUISVILLE, KY, 40258
1260, 8600 STANDING OAK DR, LOUISVILLE, KY, 40258
1261, 900 S JACKSON ST, LOUISVILLE, KY, 40203
1262, S 3RD ST / W SOUTHERN HEIGHTS AVE, LOUISVILLE, KY, 40214
1263, TAYLOR BLVD / WALTER AVE, LOUISVILLE, KY, 40215
1264, 100 SPRING CREEK CT, LOUISVILLE, KY, 40218
1265, 100 W MARKET ST, LOUISVILLE, KY, 40202
1266, 1100 FISK CT, LOUISVILLE, KY, 40203
1267, 1800 GRAND AVE, LOUISVILLE, KY, 40210
1268, 2200 ARTHUR ST, LOUISVILLE, KY, 40208
1269, 2200 GRIFFITHS AVE, LOUISVILLE, KY, 40212
1270, 2700 MONTANA AVE, LOUISVILLE, KY, 40208
1271, 300 N 41ST ST, LOUISVILLE, KY, 40212
1272, 3000 GRAND AVE, LOUISVILLE, KY, 40211
1273, 3100 ROCKFORD LN, LOUISVILLE, KY, 40216
1274, 3500 MANSLICK RD, LOUISVILLE, KY, 40215
1275, 3600 S HURSTBOURNE PKY, LOUISVILLE, KY, 40299
1276, 500 DENMARK ST, LOUISVILLE, KY, 40215
1277, 600 BEECHER ST, LOUISVILLE, KY, 40215
1278, CLARA AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
1279, DIXIE HWY / STANDARD AVE, LOUISVILLE, KY, 40210
1280, E BROADWAY, LOUISVILLE, KY, 40202
1281, S 26TH ST / CEDAR ST, LOUISVILLE, KY, 40212
1282, S 26TH ST / GARLAND AVE, LOUISVILLE, KY, 40211
1283, 1000 CALDWELL ST, LOUISVILLE, KY, 40204
1284, 1000 PLACE VERT, LOUISVILLE, KY, 40203
1285, 10000 WHITEOAK PARK RD, LOUISVILLE, KY, 40219
1286, 1200 SALE AVE, LOUISVILLE, KY, 40215
1287, 1900 W JEFFERSON ST, LOUISVILLE, KY, 40203
1288, 200 S 43RD ST, LOUISVILLE, KY, 40212
1289, 2300 W MARKET ST, LOUISVILLE, KY, 40212
1290, 2600 W MAIN ST, LOUISVILLE, KY, 40212
1291, 400 HEYWOOD AVE, LOUISVILLE, KY, 40208
1292, 4200 HAZELWOOD AVE, LOUISVILLE, KY, 40215
1293, 5100 ANTLE DR, LOUISVILLE, KY, 40229
1294, 5200 PRESTON HWY, LOUISVILLE, KY, 40213
1295, 600 S 28TH ST, LOUISVILLE, KY, 40211
1296, 700 GAGEL AVE, LOUISVILLE, KY, 40216
1297, 800 GLEN HOLLOW DR, LOUISVILLE, KY, 40214
1298, N FLOYD ST / E WITHERSPOON ST, LOUISVILLE, KY, 40202
1299, RIVER RD / E WITHERSPOON ST, LOUISVILLE, KY, 40206
1300, S 26TH ST / ELLIOTT AVE, LOUISVILLE, KY, 40211
1301, S FLOYD ST / E OAK ST, LOUISVILLE, KY, 40203
1302, 1100 CARLISLE AVE, LOUISVILLE, KY, 40215
1303, 1200 LOGAN ST, LOUISVILLE, KY, 40204
1304, 1200 S CLAY ST, LOUISVILLE, KY, 40203
1305, 13400 SHELBYVILLE RD, LOUISVILLE, KY, 40223
1306, 1400 FOREST DR, LOUISVILLE, KY, 40219
1307, 1800 DUNCAN ST, LOUISVILLE, KY, 40203
1308, 2300 W MADISON ST, LOUISVILLE, KY, 40211
1309, 2400 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
1310, 2900 RIO RITA AVE, LOUISVILLE, KY, 40220
1311, 3600 GREEN MEADOWS DR, LOUISVILLE, KY, 40218
1312, 3800 RIVER PARK DR, LOUISVILLE, KY, 40211
1313, 4900 CANE RUN RD, LOUISVILLE, KY, 40216
1314, 800 S SHELBY ST, LOUISVILLE, KY, 40203
1315, GAGEL AVE / MANSLICK RD, LOUISVILLE, KY, 40216
1316, S 2ND ST / W MARKET ST, LOUISVILLE, KY, 40202
1317, S 4TH ST / W CHESTNUT ST, LOUISVILLE, KY, 40202
1318, S 9TH ST / W BROADWAY, LOUISVILLE, KY, 40203
1319, SALE AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
1320, 100 S 41ST ST, LOUISVILLE, KY, 40212
1321, 1000 E OAK ST, LOUISVILLE, KY, 40204
1322, 10100 DIXIE HWY, LOUISVILLE, KY, 40272
