4188, 800 BERMUDA LN, LOUISVILLE, KY, 40213
4189, 800 CHERI WAY, LOUISVILLE, KY, 40118
4190, 800 PALATKA RD, LOUISVILLE, KY, 40214
4191, 800 S 39TH ST, LOUISVILLE, KY, 40211
4192, 800 VALLEY COLLEGE DR, LOUISVILLE, KY, 40272
4193, 8300 DIXIE HWY, LOUISVILLE, KY, 40258
4194, 8600 GARY WAY, LOUISVILLE, KY, 40118
4195, 8900 ELKS BLUFF DR, LOUISVILLE, KY, 40220
4196, 9200 CHENAULT RD, LOUISVILLE, KY, 40272
4197, 9300 MEADOW VALLEY LN, LOUISVILLE, KY, 40291
4198, 9400 THOR AVE, LOUISVILLE, KY, 40229
4199, 9500 NATIONAL TPKE, LOUISVILLE, KY, 40118
4200, BARDSTOWN RD / EDGELAND AVE, LOUISVILLE, KY, 40204
4201, BARDSTOWN RD / FERN CREEK RD, LOUISVILLE, KY, 40291
4202, BARDSTOWN RD / WATTERSON TRL, LOUISVILLE, KY, 40291
4203, CANAL ST / PRESTON HWY, LOUISVILLE, KY, 40219
4204, COMMUNITY / LARGE, LOUISVILLE, KY, 40211
4205, DIXIE HWY, LOUISVILLE, KY, 40258
4206, DR W J HODGE ST / W JEFFERSON ST, LOUISVILLE, KY, 40203
4207, E BRECKINRIDGE ST / S FLOYD ST, LOUISVILLE, KY, 40203
4208, GILMORE LN / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
4209, I 264 RAMP / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
4210, N 29TH ST / PORTLAND AVE, LOUISVILLE, KY, 40212
4211, RANGELAND RD / ROBINWOOD RD, LOUISVILLE, KY, 40219
4212, S 26TH ST / HOWARD ST, LOUISVILLE, KY, 40211
4213, S 29TH ST / GREENWOOD AVE, LOUISVILLE, KY, 40211
4214, S 30TH ST / W MADISON ST, LOUISVILLE, KY, 40211
4215, S 3RD ST / W MARKET ST, LOUISVILLE, KY, 40202
4216, S 42ND ST / W MARKET ST, LOUISVILLE, KY, 40212
4217, S JACKSON ST / LAMPTON ST, LOUISVILLE, KY, 40203
4218, WF - SILVER LOT, LOUISVILLE, KY, 40206
4219, 100 CHARIOT CT, LOUISVILLE, KY, 40219
4220, 100 N SHAWNEE TER, LOUISVILLE, KY, 40212
4221, 100 S 3RD ST, LOUISVILLE, KY, 40202
4222, 100 ST FRANCIS CT, LOUISVILLE, KY, 40205
4223, 1000 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211
4224, 1000 S 15TH ST, LOUISVILLE, KY, 40210
4225, 1100 BROOKLINE AVE, LOUISVILLE, KY, 40215
4226, 1100 FAIRDALE RD, LOUISVILLE, KY, 40118
