address_string,n,coords,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"BELMONT BOULEVARD and STREET JOHN AVENUE, KANSAS CITY, MO, 64123",27,,39.108621,-94.509652,1,street_center,,"Belmont Blvd","Kansas City",MO,"Jackson County",64123,US,"TIGER/Line® dataset from the US Census Bureau"
"INDEPENDENCE AVENUE and PROSPECT AVENUE, KANSAS CITY, MO, 64123",27,,39.106294,-94.55081,0.9,intersection,,"Independence Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"JACKSON AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64127",27,,39.094089,-94.533211,1,intersection,,"E Truman Rd","Kansas City",MO,"Jackson County",64127,US,"TIGER/Line® dataset from the US Census Bureau"
"100 N VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123",26,,39.11288,-94.526111,1,rooftop,100,"N Van Brunt Blvd","Kansas City",MO,"Jackson County",64123,US,"City of Kansas City"
"10100 STATE LINE ROAD, KANSAS CITY, MO, 64114",26,,38.946273,-94.608005,0.9,range_interpolation,10100,"State Line Rd","Kansas City",MO,"Jackson County",64114,US,"TIGER/Line® dataset from the US Census Bureau"
"200 NW 96 STREET, KANSAS CITY, MO, 64155",26,,39.267656,-94.565529,0.4,street_center,,"NE 96th St","Kansas City",MO,"Clay County",64155,US,"TIGER/Line® dataset from the US Census Bureau"
"5500 E BANNISTER ROAD, KANSAS CITY, MO, 64134",26,,38.953876,-94.527432,0.7,nearest_rooftop_match,5540,"E Bannister Rd","Kansas City",MO,"Jackson County",64137,US,"City of Kansas City"
"6000 INDEPENDENCE AVENUE S, KANSAS CITY, MO, 64124",26,,39.105263,-94.510895,0.9,rooftop,6000,"Independence Ave","Kansas City",MO,"Jackson County",64125,US,Jackson
"BLUE RIDGE BOULEVARD and I 470 HIGHWAY, KANSAS CITY, MO, 64134",26,,38.938721,-94.508595,0.97,intersection,,"Blue Ridge Blvd","Kansas City",MO,"Jackson County",64134,US,"TIGER/Line® dataset from the US Census Bureau"
"E 63 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64130",26,,39.012442,-94.555092,0.38,intersection,,"E 63rd St","Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau"
"E 63 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130",26,,39.01325,-94.574553,0.9,intersection,,"E 63rd St","Kansas City",MO,"Jackson County",64110,US,"TIGER/Line® dataset from the US Census Bureau"
"11600 E US HIGHWAY 40, KANSAS CITY, MO, 64130",25,,39.045196,-94.443184,0.6,nearest_rooftop_match,11601,"E US 40 Hwy","Kansas City",MO,"Jackson County",64133,US,Jackson
"4800 N OAK TRAFFICWAY, KANSAS CITY, MO, 64116",25,,39.18147,-94.577103,1,rooftop,4800,"N Oak Trfy","Kansas City",MO,"Clay County",64116,US,"City of Kansas City"
"5300 BUDD PARK ESPLANADE, KANSAS CITY, MO, 64124",25,,39.11001,-94.519978,1,range_interpolation,5300,"Budd Park Esplanade St","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"E 24 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64127",25,,39.082273,-94.533818,1,intersection,,"E 24th St","Kansas City",MO,"Jackson County",64127,US,"TIGER/Line® dataset from the US Census Bureau"
"14400 S US HIGHWAY 71 , KANSAS CITY, MO, 64145",24,,38.862577,-94.529691,0.7,nearest_rooftop_match,14410,"US 71 Hwy","Kansas City",MO,"Jackson County",64147,US,"City of Kansas City"
"8500 BLUE PK W, KANSAS CITY, MO, 64138",24,,39.007185,-94.485869,0.9,rooftop,8500,"Blue Pkwy","Kansas City",MO,"Jackson County",64133,US,Jackson
"8500 WINNER ROAD, KANSAS CITY, MO, 64127",24,,39.107269,-94.482913,0.9,rooftop,8500,"Winner Rd","Kansas City",MO,"Jackson County",64125,US,"City of Kansas City"
"E 59 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64130",24,,39.019306,-94.555754,0.5,intersection,,"E 59th St","Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau"
"E BANNISTER ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64137",24,,38.953769,-94.539895,0.77,intersection,,"E Bannister Rd","Kansas City",MO,"Jackson County",64137,US,"TIGER/Line® dataset from the US Census Bureau"
"EASTWOOD TRAFFICWAY and I 435 HIGHWAY, KANSAS CITY, MO, 64129",24,,39.031112,-94.50036,0.95,intersection,,"Eastwood Trfy","Kansas City",MO,"Jackson County",64129,US,"TIGER/Line® dataset from the US Census Bureau"
"HARDESTY AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",24,,39.105194,-94.51874,0.9,intersection,,"Hardesty Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
