address_string,n,coords,google_lat,google_lon,centroid
"BLUE RIDGE COURT and I 70 HIGHWAY, KANSAS CITY, MO, 64129",11,"39.0561745,-94.485102",39.0561745,-94.485102,FALSE
"CLEAVER II BLVD and MAIN, KANSAS CITY, MO,",11,"39.0422134,-94.5868437",39.0422134,-94.5868437,FALSE
"E 16 STREET and MAIN STREET, KANSAS CITY, MO, 64106",11,"39.0945286,-94.5834384",39.0945286,-94.5834384,FALSE
"E 18 STREET and VINE STREET, KANSAS CITY, MO, 64106",11,"39.0912122,-94.5633278",39.0912122,-94.5633278,FALSE
"E 38 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64128",11,"39.0572745,-94.553489",39.0572745,-94.553489,FALSE
"E 54 STREET and WAYNE AVENUE, KANSAS CITY, MO, 64131",11,"39.0287372,-94.5663976",39.0287372,-94.5663976,FALSE
"E 57 STREET and BROOKSIDE BOULEVARD, KANSAS CITY, MO, 64130",11,"39.0240047,-94.5863485",39.0240047,-94.5863485,FALSE
"E 59 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64130",11,"39.073899,-94.5607174",39.073899,-94.5607174,FALSE
"E 75 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64132",11,"39.073899,-94.5607174",39.073899,-94.5607174,FALSE
"GLADSTONE BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",11,"39.1061486,-94.5459573",39.1061486,-94.5459573,FALSE
"I 29 HIGHWAY and N OAK TRAFFICWAY, KANSAS CITY, MO, 64116",11,"39.1788599,-94.5743447",39.1788599,-94.5743447,FALSE
"INDEPENDENCE AVENUE and OLIVE STREET, KANSAS CITY, MO, 64124",11,"39.1063868,-94.5532239",39.1063868,-94.5532239,FALSE
"W 14 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64106",11,"39.0973202,-94.5856886",39.0973202,-94.5856886,FALSE
"W 38 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64111",11,"39.0579639,-94.5907005",39.0579639,-94.5907005,FALSE
"11600 E US HIGHWAY 40 E, INDEPENDENCE, MO, 64133",10,"39.0458637,-94.4393389",39.0458637,-94.4393389,FALSE
"11800 E 59 CI, KANSAS CITY, MO, 64133",10,"39.100032,-94.5769321",39.100032,-94.5769321,FALSE
"12300 STATE LINE ROAD, KANSAS CITY, MO, 64145",10,"38.9740484,-94.6083166",38.9740484,-94.6083166,FALSE
"1300 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64110",10,"39.0417682,-94.570284",39.0417682,-94.570284,FALSE
"3600 BROADWAY BOULEVARD, KANSAS CITY, MO, 64110",10,"39.0620079,-94.5920291",39.0620079,-94.5920291,FALSE
"5300 BUDD PARK ESPLANADE, KANSAS CITY, MO, 64124",10,"39.1098852,-94.5200242",39.1098852,-94.5200242,FALSE
"600 E BANNISTER ROAD, KANSAS CITY, MO, 64131",10,"38.9556477,-94.5837562",38.9556477,-94.5837562,FALSE
"6000 E 95 TERRACE, KANSAS CITY, MO, 64137",10,"38.9539869,-94.5482986",38.9539869,-94.5482986,FALSE
"6000 INDEPENDENCE AVENUE S, KANSAS CITY, MO, 64124",10,"39.105453,-94.5108057",39.105453,-94.5108057,FALSE
"7600 NW TIFFANY SPRINGS PK W, KANSAS CITY, MO, 64154",10,"39.2741912,-94.6680985",39.2741912,-94.6680985,FALSE
"8500 NW PRAIRIE VIEW ROAD, KANSAS CITY, MO, 64152",10,"39.249196,-94.661453",39.249196,-94.661453,FALSE
"8800 NE 116 TERRACE, KANSAS CITY, MO, 64157",10,"39.3027848,-94.4721712",39.3027848,-94.4721712,FALSE
"9000 E 22 TERRACE, KANSAS CITY, MO, 64127",10,"39.0849303,-94.5161607",39.0849303,-94.5161607,FALSE
"9400 MCKINLEY AVENUE, KANSAS CITY, MO, 64134",10,"38.9187937,-94.4893526",38.9187937,-94.4893526,FALSE
