address_string,n,coords
"S 26TH ST / VIRGINIA AVE, LOUISVILLE, KY, 40210",80,
"S 28TH ST / W MADISON ST, LOUISVILLE, KY, 40211",80,
"S FLOYD ST / E MARKET ST, LOUISVILLE, KY, 40202",80,
"14000 DIXIE HWY, LOUISVILLE, KY, 40272",79,
"DEERING RD / VALLEY STATION RD, LOUISVILLE, KY, 40272",79,
"PRESTON HWY / SOUTH PARK RD, LOUISVILLE, KY, 40219",79,
"200 BLANKENBAKER PKY, LOUISVILLE, KY, 40243",78,
"5400 HAMES TRCE, LOUISVILLE, KY, 40291",78,
"DR W J HODGE ST / W MARKET ST, LOUISVILLE, KY, 40203",78,
"E KENTUCKY ST / S SHELBY ST, LOUISVILLE, KY, 40203",78,
"LYNDON LN / NEW LA GRANGE RD, LOUISVILLE, KY, 40222",78,
"S 41ST ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212",78,
"3300 DUVALLE DR, LOUISVILLE, KY, 40211",77,
"CANE RUN RD / SHANKS LN, LOUISVILLE, KY, 40216",77,
