address_string,n,coords
"600 E BANNISTER ROAD, KANSAS CITY, MO, 64134",4,
"600 E BANNISTER ROAD, KANSAS CITY, MO, 64137",4,
"6100 WARD PK N, KANSAS CITY, MO, 64112",4,
"6300 BLUE PARKWAY DR, KANSAS CITY, MO, 64130",4,
"6400 E TRUMAN ROAD, KANSAS CITY, MO, 64127",4,
"6500 NE 43 STREET, KANSAS CITY, MO, 64117",4,
"670 and 71 HIGHWAY, KANSAS CITY, MO, 64110",4,
"6900 BLUE PARKWAY DR, KANSAS CITY, MO, 64129",4,
"7000 BLUE PARKWAY DR, KANSAS CITY, MO, 64129",4,
"7000 N M 9 HIGHWAY, KANSAS CITY, MO, 64118",4,
"7000 NE BARRY ROAD, KANSAS CITY, MO, 64155",4,
"7100 NE 116 PL, KANSAS CITY, MO, 64156",4,
"7300 NW 87 TERRACE, KANSAS CITY, MO, 64152",4,
"7300 OAKWOOD DR, KANSAS CITY, MO, 64132",4,
"7315-A-B SNI-A-BAR ROAD, KANSAS CITY, MO, 64129",4,
"7600 STATE LINE ROAD, KANSAS CITY, MO, 64114",4,
"8200 N OXFORD AVENUE, KANSAS CITY, MO, 64157",4,
"8300 N BROADWAY, KANSAS CITY, MO, 64155",4,
"8500 BLUE PK E, KANSAS CITY, MO, 64129",4,
"8500 BLUE PK E, KANSAS CITY, MO, 64138",4,
"8500 N HICKORY STREET, KANSAS CITY, MO, 64118",4,
"8500 N OAK TRAFFICWAY, KANSAS CITY, MO, 64118",4,
"8738-A-B SNI-A-BAR ROAD, KANSAS CITY, MO, 64133",4,
"900 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64130",4,
"9600 NE BARRY ROAD, KANSAS CITY, MO, 64158",4,
"ADMIRAL BOULEVARD and LYDIA AVENUE, KANSAS CITY, MO, 64109",4,
"ADMIRAL BOULEVARD and PASEO, KANSAS CITY, MO, 64111",4,
"ANTIOCH ROAD and I 35 HIGHWAY ON RA, OVERLAND PARK, MO, 64119",4,
"ANTIOCH ROAD and I 35 HIGHWAY, OVERLAND PARK, MO, 64117",4,
"ARARAT DR and EASTWOOD TRAFFICWAY, KANSAS CITY, MO, 64130",4,
"ASKEW AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64124",4,
"AVENIDA CESAR E. CHA and JEFFERSON STREET, KANSAS CITY, MO, 64108",4,
"BALES AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64128",4,
"BELLEFONTAINE AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO,",4,
"BELMONT BOULEVARD and STREET JOHN AVENUE, KANSAS CITY, MO, 64126",4,
"BENNINGTON AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64127",4,
"BENTON BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64127",4,
"BENTON BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64132",4,
"BLUE HILLS ROAD and CITADEL DR, KANSAS CITY, MO, 64112",4,
"BLUE PK and EASTWOOD TRAFFICWAY, KANSAS CITY, MO, 64129",4,
"BLUE RIDGE BOULEVARD and COUNTRYSHIRE LN, KANSAS CITY, MO, 64132",4,
"BLUE RIDGE BOULEVARD and I 470 E TO BLUE RIDG RA, KANSAS CITY, MO, 64134",4,
"BLUE RIDGE BOULEVARD and THOMPSON AVENUE, KANSAS CITY, MO, 64126",4,
"BLUE RIDGE COURT and I 70 HIGHWAY, KANSAS CITY, MO, 64123",4,
"BROADWAY and I 670 HIGHWAY, KANSAS CITY, MO, 64108",4,
"BROADWAY and I-70, KANSAS CITY, MO, 64127",4,
"BROADWAY BOULEVARD and W TRUMAN ROAD, KANSAS CITY, MO, 64105",4,
"BROADWAY BOULEVARD and W TRUMAN ROAD, KANSAS CITY, MO, 64110",4,
"BROOKLYN AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64110",4,
"BROOKLYN AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64108",4,
"BROOKLYN AVENUE and MINNIE STREET, KANSAS CITY, MO, 64124",4,
"BRUCE R WATKINS DR and E GREGORY BOULEVARD, KANSAS CITY, MO, 64132",4,
"BRUCE R WATKINS DR and SWOPE PK, KANSAS CITY, MO, 64130",4,
"BRUSH CREEK BOULEVARD and HARRISON STREET, KANSAS CITY, MO, 64111",4,
"CHELSEA AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",4,
"CHESTNUT AVENUE and E MEYER BOULEVARD, KANSAS CITY, MO, 64132",4,
"CHESTNUT AVENUE and EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64131",4,
"CHESTNUT AVENUE and PEERY AVENUE, KANSAS CITY, MO, 64124",4,
"CHESTNUT TRAFFICWAY and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124",4,
"CHIEFS WAY and STADIUM DR, KANSAS CITY, MO, 64133",4,
"CLARK AVENUE and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64111",4,
"CLEVELAND AVENUE and EMANUEL CLEAVER II BOULEVARD E, KANSAS CITY, MO, 64129",4,
"CLEVELAND AVENUE and I 70 HIGHWAY, KANSAS CITY, MO, 64127",4,
"COLORADO AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",4,
"DENVER AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",4,
"DONNELLY AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",4,
"E 10 STREET and AGNES AVENUE, KANSAS CITY, MO, 64123",4,
"E 10 STREET and OAK STREET, KANSAS CITY, MO, 64105",4,
"E 10 STREET and PASEO, KANSAS CITY, MO, 64106",4,
"E 103 STREET and I 435 W TO 103 STREET RA, KANSAS CITY, MO, 64131",4,
"E 103 TERRACE and OAKLAND AVENUE, KANSAS CITY, MO, 64134",4,
"E 106 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64134",4,
"E 108 DR and SYCAMORE TERRACE, KANSAS CITY, MO, 64131",4,
"E 109 TERRACE and HILLCREST ROAD, KANSAS CITY, MO, 64134",4,
"E 113 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64134",4,
"E 12 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64106",4,
"E 12 STREET and PASEO, KANSAS CITY, MO, 64109",4,
"E 12 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130",4,
"E 12 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64124",4,
"E 12 STREET and TROOST AVENUE, KANSAS CITY, MO, 64108",4,
"E 12 TERRACE and BENNINGTON AVENUE, KANSAS CITY, MO, 64127",4,
"E 13 TERRACE and LOCUST STREET, KANSAS CITY, MO, 64106",4,
"E 139 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64145",4,
