address_string,n,coords,google_lat,google_lon,centroid
"DIXIE HWY / GARLAND AVE, LOUISVILLE, KY, 40210",171,"38.243267,-85.7844062",38.243267,-85.7844062,FALSE
"DIXIE HWY / GREENWOOD RD, LOUISVILLE, KY, 40258",171,"38.1434422,-85.8397154",38.1434422,-85.8397154,FALSE
"S 24TH ST / W BROADWAY, LOUISVILLE, KY, 40211",171,"38.2493274,-85.7915649",38.2493274,-85.7915649,FALSE
"S 5TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202",171,"38.2513174,-85.759148",38.2513174,-85.759148,FALSE
"E BROADWAY / S CLAY ST, LOUISVILLE, KY, 40202",168,"38.2448295,-85.7415528",38.2448295,-85.7415528,FALSE
"3300 NEWBURG RD, LOUISVILLE, KY, 40218",167,"38.2007332,-85.6859669",38.2007332,-85.6859669,FALSE
"8500 NATIONAL TPKE, LOUISVILLE, KY, 40118",166,"38.1265276,-85.7492814",38.1265276,-85.7492814,FALSE
"BAXTER AVE / HIGHLAND AVE, LOUISVILLE, KY, 40204",166,"38.24026,-85.7242655",38.24026,-85.7242655,FALSE
"2000 BANK ST, LOUISVILLE, KY, 40203",165,"38.2652331,-85.7822042",38.2652331,-85.7822042,FALSE
"3RD STREET RD / NEW CUT RD, LOUISVILLE, KY, 40214",164,"38.1458256,-85.7752643",38.1458256,-85.7752643,FALSE
"600 VILLAGE WEST DR, LOUISVILLE, KY, 40203",164,"38.2491742,-85.766445",38.2491742,-85.766445,FALSE
"S 15TH ST / W HILL ST, LOUISVILLE, KY, 40210",163,"38.2279656,-85.7801407",38.2279656,-85.7801407,FALSE
"4900 MANSLICK RD, LOUISVILLE, KY, 40216",160,"38.1751702,-85.7981646",38.1751702,-85.7981646,FALSE
"200 WHISP BROOK CIR, LOUISVILLE, KY, 40229",158,"38.1041626,-85.6994133",38.1041626,-85.6994133,FALSE
"E BURNETT AVE / S SHELBY ST, LOUISVILLE, KY, 40217",157,"38.2247694,-85.7422817",38.2247694,-85.7422817,FALSE
"W BROADWAY / DR W J HODGE ST, LOUISVILLE, KY, 40203",156,"38.2491618,-85.786531",38.2491618,-85.786531,FALSE
"10400 BROOKRIDGE VILLAGE BLVD, LOUISVILLE, KY, 40291",155,"38.1426943,-85.5769468",38.1426943,-85.5769468,FALSE
"600 E ORMSBY AVE, LOUISVILLE, KY, 40203",155,"38.2304221,-85.7458944",38.2304221,-85.7458944,FALSE
"7000 RAGGARD RD, LOUISVILLE, KY, 40216",155,"38.1738426,-85.8716144",38.1738426,-85.8716144,FALSE
"2100 W BROADWAY, LOUISVILLE, KY, 40211",154,"38.2488467,-85.786826",38.2488467,-85.786826,FALSE
"S 13TH ST / W BROADWAY, LOUISVILLE, KY, 40203",154,"38.247785,-85.7732537",38.247785,-85.7732537,FALSE
"6600 SYLVANIA RD, LOUISVILLE, KY, 40258",152,"38.1578252,-85.8787979",38.1578252,-85.8787979,FALSE
"BICKNELL AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",152,"38.1831119,-85.7837815",38.1831119,-85.7837815,FALSE
"E INDIAN TRL / PRESTON HWY, LOUISVILLE, KY, 40219",152,"38.1687721,-85.7066103",38.1687721,-85.7066103,FALSE
"N 2ND ST / W MAIN ST, LOUISVILLE, KY, 40202",152,"38.2562479,-85.75332",38.2562479,-85.75332,FALSE
"S 27TH ST / W BROADWAY, LOUISVILLE, KY, 40211",152,"38.2495275,-85.7965862",38.2495275,-85.7965862,FALSE
"S 4TH ST / W LIBERTY ST, LOUISVILLE, KY, 40202",152,"38.2530602,-85.757152",38.2530602,-85.757152,FALSE
"6500 PARAMOUNT PARK DR, LOUISVILLE, KY, 40213",151,"38.1567754,-85.712442",38.1567754,-85.712442,FALSE
"S 11TH ST / W BROADWAY, LOUISVILLE, KY, 40203",151,"38.2473249,-85.7699465",38.2473249,-85.7699465,FALSE
"S 13TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203",151,"38.2528047,-85.7724931",38.2528047,-85.7724931,FALSE
"DIXIE HWY / PENDLETON RD, LOUISVILLE, KY, 40272",150,"38.0622957,-85.8865844",38.0622957,-85.8865844,FALSE
"BARDSTOWN RD / S HURSTBOURNE PKY, LOUISVILLE, KY, 40291",149,"38.1688574,-85.6051096",38.1688574,-85.6051096,FALSE
"N 35TH ST / BANK ST, LOUISVILLE, KY, 40212",149,"38.2724008,-85.8043305",38.2724008,-85.8043305,FALSE
"N 22ND ST / BANK ST, LOUISVILLE, KY, 40203",148,"38.2665821,-85.7835739",38.2665821,-85.7835739,FALSE
"S 13TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203",146,"38.2554764,-85.7720103",38.2554764,-85.7720103,FALSE
"500 PHILLIPS LN, LOUISVILLE, KY, 40209",144,"38.1900182,-85.7463436",38.1900182,-85.7463436,FALSE
"S 5TH ST / W CHESTNUT ST, LOUISVILLE, KY, 40202",144,"38.2491251,-85.7595307",38.2491251,-85.7595307,FALSE
"S 5TH ST / W LIBERTY ST, LOUISVILLE, KY, 40202",144,"38.2532501,-85.7588225",38.2532501,-85.7588225,FALSE
"WF - GREAT LAWN, LOUISVILLE, KY, 40202",144,"38.2578161,-85.7475376",38.2578161,-85.7475376,FALSE
"2600 PENNACOOK RD, LOUISVILLE, KY, 40214",141,"38.1548673,-85.8034269",38.1548673,-85.8034269,FALSE
"4400 TOWNE CENTER DR, LOUISVILLE, KY, 40241",140,"38.301999,-85.5578684",38.301999,-85.5578684,FALSE
"4300 TIM TAM TRL, LOUISVILLE, KY, 40272",139,"38.0916688,-85.8506864",38.0916688,-85.8506864,FALSE
"NATIONAL TPKE / OUTER LOOP, LOUISVILLE, KY, 40214",139,"38.1269108,-85.7489563",38.1269108,-85.7489563,FALSE
"100 POPE ST, LOUISVILLE, KY, 40206",137,"38.2538108,-85.7182081",38.2538108,-85.7182081,FALSE
"GRADE LN / PRESTON HWY, LOUISVILLE, KY, 40213",137,"38.180144,-85.7185201",38.180144,-85.7185201,FALSE
"400 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40212",136,"38.2588486,-85.8075413",38.2588486,-85.8075413,FALSE
"S 26TH ST / W MADISON ST, LOUISVILLE, KY, 40211",136,"38.2541038,-85.7943934",38.2541038,-85.7943934,FALSE
