id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
25985,6300 LIME RD,LOUISVILLE,KY,40222,Match,Exact,6300 Lime Rd,LOUISVILLE,KY,40222,-85.6351,38.294052,96854498,R
25500,3700 WYNBROOKE CIR,LOUISVILLE,KY,40241,Match,Exact,3700 Wynbrooke Cir,LOUISVILLE,KY,40241,-85.56844,38.29781,96890672,R
25742,4800 BLEVINS GAP RD,LOUISVILLE,KY,40272,Match,Exact,4800 Blevins Gap Rd,LOUISVILLE,KY,40272,-85.84518,38.06789,620644889,R
25984,6300 FEGENBUSH LN,LOUISVILLE,KY,40228,Match,Exact,6300 Fegenbush Ln,LOUISVILLE,KY,40228,-85.63752,38.158688,96859959,R
25503,3800 BENJE WAY,LOUISVILLE,KY,40241,Match,Non_Exact,3800 Benje Ct,LOUISVILLE,KY,40241,-85.60501,38.30444,96862308,L
25745,4800 CHURCH RD,LOUISVILLE,KY,40272,Match,Exact,4800 Church Rd,LOUISVILLE,KY,40272,-85.85384,38.101425,96888630,L
25987,6300 ROUTT RD,LOUISVILLE,KY,40299,Tie,,,,,,,,,
25502,3800 ALTAWOOD CT,LOUISVILLE,KY,40245,Match,Exact,3800 Altawood Ct,LOUISVILLE,KY,40245,-85.50834,38.300293,96862900,L
25744,4800 BROOKLEY CT,LOUISVILLE,KY,40229,Match,Exact,4800 Brookley Ct,LOUISVILLE,KY,40229,-85.675255,38.08991,96918084,R
25986,6300 MOUNT WASHINGTON RD,LOUISVILLE,KY,40229,Match,Exact,6300 Mount Washington Rd,LOUISVILLE,KY,40229,-85.64755,38.089985,96900619,R
25505,3800 FENHOLT RD,LOUISVILLE,KY,40218,No_Match,,,,,,,,,
25747,4800 FAIRWAY POINTE CT,LOUISVILLE,KY,40241,Match,Exact,4800 Fairway Pointe Ct,LOUISVILLE,KY,40241,-85.5444,38.29311,96882558,R
25989,6300 TWO SPRINGS LN,LOUISVILLE,KY,40207,Match,Exact,6300 Two Springs Ln,LOUISVILLE,KY,40207,-85.63525,38.27347,96890657,R
25504,3800 DARLENE DR,LOUISVILLE,KY,40216,Match,Exact,3800 Darlene Dr,LOUISVILLE,KY,40216,-85.81851,38.213364,96837053,R
25746,4800 DUNBAR VALLEY RD,LOUISVILLE,KY,40023,Match,Non_Exact,4800 Dunbar Valley Rd,WILSONVILLE,KY,40023,-85.43917,38.17222,96975730,R
25988,6300 S WATTERSON TRL,LOUISVILLE,KY,40291,Match,Exact,6300 S Watterson Trl,LOUISVILLE,KY,40291,-85.614716,38.155643,96860391,R
25981,6300 CASPER DR,LOUISVILLE,KY,40258,Match,Exact,6300 Casper Dr,LOUISVILLE,KY,40258,-85.8708,38.139626,96837717,L
25980,6200 VAN CT,LOUISVILLE,KY,40291,Match,Exact,6200 Van Ct,LOUISVILLE,KY,40291,-85.61182,38.158287,96860369,R
25518,3900 ALTAWOOD CT,LOUISVILLE,KY,40245,Match,Exact,3900 Altawood Ct,LOUISVILLE,KY,40245,-85.50654,38.302902,96862900,L
25517,3900 ALGONQUIN PKY,LOUISVILLE,KY,40211,Match,Exact,3900 Algonquin Pkwy,LOUISVILLE,KY,40211,-85.82148,38.22575,96896743,L
25759,4900 2ND ST,LOUISVILLE,KY,40214,Match,Non_Exact,4900 S 2nd St,LOUISVILLE,KY,40214,-85.765434,38.176632,96848961,R
25519,3900 BUECHEL BANK RD,LOUISVILLE,KY,40218,Match,Exact,3900 Buechel Bank Rd,LOUISVILLE,KY,40218,-85.65933,38.178745,96858333,R
25510,3800 KINGSBURY DR,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25752,4800 PADDOCK SPRINGS DR,LOUISVILLE,KY,40299,Match,Exact,4800 Paddock Springs Dr,LOUISVILLE,KY,40299,-85.52708,38.173122,625402685,R
25994,6400 DEEP CREEK DR,LOUISVILLE,KY,40059,Match,Non_Exact,6400 Deep Creek Dr,PROSPECT,KY,40059,-85.60243,38.3384,96876612,R
25751,4800 OLD HEADY RD,LOUISVILLE,KY,40299,Match,Exact,4800 Old Heady Rd,LOUISVILLE,KY,40299,-85.52809,38.17294,625402694,R
25993,6400 COMMERCE PARK DR,LOUISVILLE,KY,40118,No_Match,,,,,,,,,
