BLOCK_ADDRESS,geocode_city,geocode_state,ZIP_CODE,.,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
"1 SMOORE CT",Louisville,Kentucky,40229,4,38.108517,-85.689011,1,range_interpolation,1,"Smoore Ct",Louisville,KY,"Jefferson County",40229,US
"1 SOUTHVIEW DR",Louisville,Kentucky,40056,1,38.151742,-85.778936,0.8,street_center,,"Southview Rd",Louisville,KY,"Jefferson County",40214,US
"1 STERLING RD",Louisville,Kentucky,40220,13,38.219671,-85.607044,1,range_interpolation,1,"Sterling Rd",Louisville,KY,"Jefferson County",40220,US
"1 SUNFLOWER CT",Louisville,Kentucky,40216,6,38.191825,-85.836292,1,range_interpolation,1,"Sunflower Ct",Louisville,KY,"Jefferson County",40216,US
"1 SWOPE AUTOCENTER DR",Louisville,Kentucky,40299,37,38.2169,-85.582562,1,range_interpolation,1,"Swope Autocenter Dr",Louisville,KY,"Jefferson County",40299,US
"1 THEATRE SQ",Louisville,Kentucky,40202,8,38.25247,-85.753812,0.33,place,,,Louisville,KY,"Jefferson County",40202,US
"1 THYME CT",Louisville,Kentucky,40258,3,38.140729,-85.856603,1,range_interpolation,1,"Thyme Ct",Louisville,KY,"Jefferson County",40258,US
"1 TRAILS END RD",Louisville,Kentucky,40216,10,38.205751,-85.836543,1,range_interpolation,1,"Trails End Rd",Louisville,KY,"Jefferson County",40216,US
"1 TRAPPERS TRL",Louisville,Kentucky,40216,28,38.203547,-85.832841,1,range_interpolation,1,"Trappers Trl",Louisville,KY,"Jefferson County",40216,US
"1 TRURO CT",Louisville,Kentucky,40216,5,38.191008,-85.836727,1,range_interpolation,1,"Truro Ct",Louisville,KY,"Jefferson County",40216,US
"1 VALLEY RD",Louisville,Kentucky,40204,20,38.230797,-85.723755,1,range_interpolation,1,"Valley Rd",Louisville,KY,"Jefferson County",40204,US
"1 W WILSHIRE BLVD",Louisville,Kentucky,40214,17,38.128359,-85.760528,1,range_interpolation,1,"W Wilshire Blvd",Louisville,KY,"Jefferson County",40214,US
"1 WAGON TRL",Louisville,Kentucky,40216,9,38.205106,-85.83583,1,range_interpolation,1,"Wagon Trl",Louisville,KY,"Jefferson County",40216,US
"1 WARREN RD",Louisville,Kentucky,40206,4,38.265985,-85.705715,1,range_interpolation,1,"Warren Rd",Louisville,KY,"Jefferson County",40206,US
"1 WELBY RD",Louisville,Kentucky,40216,12,38.156126,-85.830657,1,range_interpolation,1,"Welby Rd",Louisville,KY,"Jefferson County",40216,US
"1 WILSHIRE BLVD",Louisville,Kentucky,40214,2,38.125287,-85.760128,1,range_interpolation,1,"Wilshire Blvd",Louisville,KY,"Jefferson County",40214,US
"1 WINIFREDE LN",Louisville,Kentucky,40206,5,38.26664,-85.708703,1,range_interpolation,1,"Winifrede Ln",Louisville,KY,"Jefferson County",40206,US
"1 WOLF PEN LN",Louisville,Kentucky,40059,2,38.325456,-85.598038,1,range_interpolation,1,"Wolf Pen Ln",Prospect,KY,"Jefferson County",40059,US
"1 WOODLEA LN",Louisville,Kentucky,40207,1,38.268894,-85.68601,1,range_interpolation,1,"Woodlea Ln",Louisville,KY,"Jefferson County",40207,US
"1 WOODMORE AVE",Louisville,Kentucky,40214,1,38.151937,-85.774392,1,range_interpolation,1,"Woodmore Ave",Louisville,KY,"Jefferson County",40214,US
"10 I265S",Louisville,Kentucky,40118,2,38.096526,-85.758416,0.22,place,,,Fairdale,KY,"Jefferson County",40118,US
"10.6 I71S",Louisville,Kentucky,40059,1,38.341558,-85.598451,0.22,place,,,Prospect,KY,"Jefferson County",40059,US
"100 18TH ST",Louisville,Kentucky,40203,1,38.259034,-85.779694,1,range_interpolation,100,"S 18th St",Louisville,KY,"Jefferson County",40203,US
"100 32ND ST",Louisville,Kentucky,40212,1,38.262337,-85.804471,1,range_interpolation,100,"N 32nd St",Louisville,KY,"Jefferson County",40212,US
"100 37TH ST",Louisville,Kentucky,40211,1,38.262938,-85.810634,1,range_interpolation,100,"S 37th St",Louisville,KY,"Jefferson County",40212,US
"100 37TH ST",Louisville,Kentucky,40212,2,38.262938,-85.810634,1,range_interpolation,100,"N 37th St",Louisville,KY,"Jefferson County",40212,US
"100 38TH ST",Louisville,Kentucky,40211,1,38.263391,-85.811606,1,range_interpolation,100,"S 38th St",Louisville,KY,"Jefferson County",40212,US
"100 38TH ST",Louisville,Kentucky,40212,1,38.263391,-85.811606,1,range_interpolation,100,"N 38th St",Louisville,KY,"Jefferson County",40212,US
"100 39TH ST",Louisville,Kentucky,40212,4,38.263904,-85.813319,1,range_interpolation,100,"N 39th St",Louisville,KY,"Jefferson County",40212,US
"100 40TH ST",Louisville,Kentucky,40210,1,38.264279,-85.814611,1,range_interpolation,100,"N 40th St",Louisville,KY,"Jefferson County",40212,US
"100 41ST ST",Louisville,Kentucky,40212,3,38.264653,-85.815894,1,range_interpolation,100,"N 41st St",Louisville,KY,"Jefferson County",40212,US
"100 42ND ST",Louisville,Kentucky,40211,2,38.264812,-85.817645,1,range_interpolation,100,"S 42nd St",Louisville,KY,"Jefferson County",40212,US
"100 42ND ST",Louisville,Kentucky,40212,2,38.265112,-85.817645,1,range_interpolation,100,"N 42nd St",Louisville,KY,"Jefferson County",40212,US
"100 43RD ST",Louisville,Kentucky,40211,1,38.265388,-85.818719,1,range_interpolation,100,"S 43rd St",Louisville,KY,"Jefferson County",40212,US
"100 43RD ST",Louisville,Kentucky,40212,1,38.265388,-85.818719,1,range_interpolation,100,"N 43rd St",Louisville,KY,"Jefferson County",40212,US
"100 46TH ST",Louisville,Kentucky,40204,1,38.266059,-85.822508,1,range_interpolation,100,"S 46th St",Louisville,KY,"Jefferson County",40212,US
"100 ADAIR ST",Louisville,Kentucky,40214,1,38.190237,-85.761412,1,range_interpolation,100,"W Adair St",Louisville,KY,"Jefferson County",40214,US
"100 ADAMS ST",Louisville,Kentucky,40206,5,38.257463,-85.724937,1,range_interpolation,100,"Adams St",Louisville,KY,"Jefferson County",40206,US
"100 ALGIERS CT",Louisville,Kentucky,40218,16,38.208357,-85.646242,1,range_interpolation,100,"Algiers Ct",Louisville,KY,"Jefferson County",40218,US
"100 ALPHA AVE",Louisville,Kentucky,40218,11,38.189229,-85.639316,1,range_interpolation,100,"Alpha Ave",Louisville,KY,"Jefferson County",40218,US
"100 ALVINA WAY",Louisville,Kentucky,40214,3,38.148073,-85.765867,1,range_interpolation,100,"Alvina Way",Louisville,KY,"Jefferson County",40214,US
"100 AMBLING WAY",Louisville,Kentucky,40243,4,38.244196,-85.530378,1,range_interpolation,100,"Ambling Way",Louisville,KY,"Jefferson County",40243,US
"100 AMHERST AVE",Louisville,Kentucky,40214,2,38.175031,-85.763307,1,range_interpolation,100,"W Amherst Ave",Louisville,KY,"Jefferson County",40214,US
"100 ARLINGTON MEADOWS DR",Louisville,Kentucky,40023,3,38.236096,-85.430559,1,range_interpolation,100,"Arlington Meadows Dr",Fisherville,KY,"Jefferson County",40023,US
"100 ARTERBURN DR",Louisville,Kentucky,40222,4,38.249295,-85.610269,1,range_interpolation,100,"Arterburn Dr",Louisville,KY,"Jefferson County",40222,US
"100 ASHLAND AVE",Louisville,Kentucky,40216,1,38.18478,-85.762245,1,range_interpolation,100,"W Ashland Ave",Louisville,KY,"Jefferson County",40214,US
"100 BELLEMEADE RD",Louisville,Kentucky,40222,1,38.247857,-85.59138,1,range_interpolation,100,"Bellemeade Rd",Louisville,KY,"Jefferson County",40222,US
"100 BERMUDA LN",Louisville,Kentucky,40213,27,38.159688,-85.714652,1,range_interpolation,100,"Bermuda Ln",Louisville,KY,"Jefferson County",40213,US
"100 BLACKBURN AVE",Louisville,Kentucky,40206,15,38.254797,-85.675541,1,range_interpolation,100,"Blackburn Ave",Louisville,KY,"Jefferson County",40206,US
"100 BLANKENBAKER LN",Louisville,Kentucky,40207,2,38.274362,-85.645459,1,range_interpolation,100,"Blankenbaker Ln",Louisville,KY,"Jefferson County",40207,US
"100 BLANKENBAKER PKY",Louisville,Kentucky,40243,11,38.229199,-85.54181,0.8,street_center,,"Blankenbaker Pkwy",Louisville,KY,"Jefferson County",40243,US
