id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
1525,E 59 STREET and PROSPECT AVENUE,KANSAS CITY,MO,64130,Match,Exact,E 59th St & Prospect Ave,KANSAS CITY,MO,64130,-94.555756,39.01931,"",""
1524,E 59 STREET and AGNES AVENUE,KANSAS CITY,MO,64130,Match,Exact,E 59th St & Agnes Ave,KANSAS CITY,MO,64130,-94.551155,39.019142,"",""
1521,E 57 STREET and TROOST AVENUE,KANSAS CITY,MO,64110,Match,Exact,E 57th St & Troost Ave,KANSAS CITY,MO,64110,-94.574,39.02357,"",""
1520,E 57 STREET and PASEO,KANSAS CITY,MO,64110,Tie,,,,,,,,,
1527,E 63 STREET and SWOPE PK,KANSAS CITY,MO,64120,No_Match,,,,,,,,,
1526,E 62 STREET and WALROND AVENUE,KANSAS CITY,MO,64130,Match,Exact,E 62nd St & Walrond Ave,KANSAS CITY,MO,64130,-94.5491,39.01393,"",""
1529,E 63 TRAFFICWAY and MANCHESTER TRAFFICWAY,KANSAS CITY,MO,64110,No_Match,,,,,,,,,
1528,E 63 TRAFFICWAY and MANCHESTER AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,E 63rd Trfy & Manchester Trfy,KANSAS CITY,MO,64130,-94.52801,39.013653,"",""
1799,BELLAIRE AVENUE and WILSON AVENUE,KANSAS CITY,MO,64126,No_Match,,,,,,,,,
1797,9800 STATE LINE ROAD,KANSAS CITY,MO,64114,No_Match,,,,,,,,,
1798,AVILA CI and W MINOR DR,KANSAS CITY,MO,64114,Tie,,,,,,,,,
1795,9300 N OAK TRAFFICWAY,KANSAS CITY,MO,64118,Match,Non_Exact,9300 N Oak Trfy,KANSAS CITY,MO,64155,-94.575806,39.262806,624645495,L
1796,9400 OLMSTEAD ROAD,KANSAS CITY,MO,64134,Match,Non_Exact,9400 Olmstead Rd,KANSAS CITY,MO,64138,-94.4592,38.95187,91467532,R
1793,900 VAN BRUNT BOULEVARD,KANSAS CITY,MO,64127,Match,Exact,900 Van Brunt Blvd,KANSAS CITY,MO,64127,-94.525986,39.10165,91450845,R
1794,9200 NE MO 152 HIGHWAY,KANSAS CITY,MO,"",No_Match,,,,,,,,,
1514,E 54 STREET and COLLEGE AVENUE,KANSAS CITY,MO,64101,No_Match,,,,,,,,,
1513,E 53 TERRACE and JACKSON AVENUE,KANSAS CITY,MO,64129,No_Match,,,,,,,,,
1512,E 53 STREET and EUCLID AVENUE,KANSAS CITY,MO,64131,No_Match,,,,,,,,,
1511,E 52 STREET and BROOKSIDE BOULEVARD,KANSAS CITY,MO,64130,Tie,,,,,,,,,
1510,E 5 STREET and GILLIS STREET,KANSAS CITY,MO,64124,No_Match,,,,,,,,,
1519,E 56 STREET and WABASH AVENUE,KANSAS CITY,MO,64132,No_Match,,,,,,,,,
1518,E 56 STREET and WABASH AVENUE,KANSAS CITY,MO,64131,No_Match,,,,,,,,,
1517,E 55 STREET and JACKSON AVENUE,KANSAS CITY,MO,64130,Match,Exact,E 55 St & Jackson Ave,KANSAS CITY,MO,64130,-94.53672,39.025898,"",""
1516,E 55 STREET and CLEVELAND AVENUE,KANSAS CITY,MO,64130,Tie,,,,,,,,,
1515,E 54 STREET and FOREST AVENUE,KANSAS CITY,MO,64110,Match,Exact,E 54th St & Forest Ave,KANSAS CITY,MO,64110,-94.572525,39.028946,"",""
1782,800 SPRUCE AVENUE,KANSAS CITY,MO,64123,Match,Non_Exact,800 Spruce Ave,KANSAS CITY,MO,64124,-94.53162,39.10298,91450586,R
