BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
I264E / VIRGINIA AVE,7,1,3,2,,1,,,4,18
I264E / WESTPORT RD,5,3,1,,2,5,,2,,18
I65N / FAIRGROUNDS,10,4,3,,,,,,1,18
I65N / I264E,9,2,3,,1,1,,2,,18
MILES LN / SHEPHERDSVILLE RD,4,2,3,9,,,,,,18
100 S 17TH ST,5,8,2,2,,,,,,17
11700 INTERCHANGE DR,,2,1,,2,3,9,,,17
2000 PENILE RD,,6,1,10,,,,,,17
300 S 34TH ST,3,6,8,,,,,,,17
4200 ST THOMAS AVE,3,5,3,1,,3,,1,1,17
6800 YAZOO ST,,,,3,4,3,1,4,2,17
800 E OAK ST,,9,2,6,,,,,,17
8500 TOLLS LN,10,3,3,1,,,,,,17
BASHFORD MANOR LN,9,8,,,,,,,,17
BRIDGE - I64W / SHERMAN MINTON BRIDGE,,2,8,1,,,3,3,,17
DEARCY AVE / OLEANDA AVE,7,2,,4,,,,,4,17
DR W J HODGE ST / DUMESNIL ST,1,2,2,5,6,1,,,,17
GAGEL AVE,8,7,2,,,,,,,17
I 65 RAMP / OUTER LOOP,10,1,,1,2,2,,1,,17
I264W / CANE RUN RD (LAKE DREAMLAND SIDE),4,4,2,1,3,,,1,2,17
I265N / I71N,7,2,2,3,1,1,1,,,17
I64E / I265N,13,1,2,1,,,,,,17
I64W / BLANKENBAKER PKY EAST SIDE IN LMPD,6,4,1,2,,1,2,1,,17
I64W / STORY AVE,5,2,4,3,1,,2,,,17
MURPHY LN,9,8,,,,,,,,17
W SOUTHLAND BLVD,15,2,,,,,,,,17
11100 OLIVERDA DR,2,3,7,2,,,,,2,16
1400 ST ANTHONY PL,1,1,1,2,,3,5,3,,16
1600 ONEIDA CT,10,6,,,,,,,,16
2300 MARGUERITE DR,1,1,9,4,,,,,1,16
2400 CHATTESWORTH LN,2,6,,2,,,,,6,16
3100 CROMARTY WAY,3,,11,2,,,,,,16
3800 BUSINESS PARK DR,2,2,3,1,2,5,,,1,16
4800 ST LEO PL,3,2,1,2,2,2,3,,1,16
5100 INTERCHANGE WAY,1,3,2,,1,1,1,3,4,16
700 NUGENT CT,6,4,6,,,,,,,16
7300 ST ANTHONY CHURCH RD,,1,1,3,4,3,2,,2,16
9500 BRADY JOHN CT,,1,3,,,5,4,3,,16
CHENOWETH RUN RD / TAYLORSVILLE RD,7,3,4,1,,,,,1,16
HARRIS PL,13,1,2,,,,,,,16
I 264 EAST / I 264 RAMP,,4,4,5,2,,,1,,16
I 264 RAMP / SHELBYVILLE RD,11,2,,,1,1,1,,,16
I 265 RAMP / I 65 RAMP,4,5,3,1,2,,1,,,16
I 265 RAMP / SMYRNA PKY,5,6,1,4,,,,,,16
I 71 RAMP / ZORN AVE,1,8,3,1,2,,1,,,16
I264E / BELLS LN (LOUISVILLE FIRE SIDE),2,3,2,2,2,1,1,3,,16
I264E / I64E EE,5,3,,2,2,1,2,1,,16
I264W / WESTPORT RD,1,1,7,,1,1,2,3,,16
