BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
I265S / BILLTOWN RD,6,2,2,3,,1,,2,,16
I265S / I71,10,,2,1,3,,,,,16
I265S / SMYRNA RD,4,4,8,,,,,,,16
I64E / I264 EE EAST SIDE IN MCMAHAN,3,4,4,1,3,,,1,,16
I64E / I65N,6,2,4,,3,1,,,,16
I64W / I65N,10,3,2,,1,,,,,16
I65N / I71N,11,1,2,,,1,,,1,16
I65N / ST CATHERINE ST,7,4,1,1,,1,,1,1,16
LEDGE RD / LEXINGTON RD,1,2,4,,3,4,1,1,,16
S HANCOCK ST,14,2,,,,,,,,16
ST ANDREWS CHURCH RD / WINDEMERE DR,4,4,2,5,,,,,1,16
W LANSING AVE,9,4,3,,,,,,,16
WF - PURPLE LOT,,5,8,3,,,,,,16
1400 SQUIRES DR,6,9,,,,,,,,15
200 ROCKCREST WAY,,,,,5,1,1,4,4,15
2500 EXPORT DR,,,,,,,4,4,7,15
3500 ST ANDREWS VILLAGE CIR,1,1,3,1,,,4,5,,15
3500 ST GERMAINE CT,2,3,2,,3,1,1,2,1,15
4000 ST IVES CT,6,2,1,3,,1,,,2,15
5900 RIVER RD,2,11,,,,,,,2,15
6400 PRICE LANE RD,,,7,6,,,,,2,15
800 S 34TH ST,4,7,4,,,,,,,15
BRECKENRIDGE LN / CHURCHILL PARK DR,11,,3,1,,,,,,15
BURWELL AVE,8,7,,,,,,,,15
E MARKET ST,12,3,,,,,,,,15
HURSTBOURNE LN / S HURSTBOURNE PKY,10,1,4,,,,,,,15
I 265 RAMP / TAYLORSVILLE RD,7,1,,4,,,3,,,15
I264E / DUMESNIL ST,4,3,2,2,1,,,2,1,15
I264E / I65N,4,4,,1,1,,5,,,15
I265S / I65N,8,2,1,2,1,1,,,,15
I65N / I265N,6,3,1,2,2,,1,,,15
PARK - WATTERSON LAKE PARK,,,6,1,4,4,,,,15
1000 MANOR PARK DR,,,,,,,3,8,3,14
1100 W FERN VALLEY RD,,1,3,3,,,,,7,14
12600 SAXONY PARK CIR,,,,,,,,6,8,14
1300 BICKNELL AVE,14,,,,,,,,,14
13000 OBSERVATION CIR,,,,,,1,1,3,9,14
1600 RIVER SHORE DR,,,,,,3,4,2,5,14
200 LOUIS COLEMAN JR DR,,,4,1,3,1,1,3,1,14
2100 BOULEVARD NAPOLEON,1,2,1,4,2,3,1,,,14
4000 ST GERMAINE CT,4,,3,2,2,1,,,2,14
4400 LOUISE UNDERWOOD WAY,,,3,9,2,,,,,14
500 TUCKER STATION RD,2,5,1,3,,,,,3,14
9800 DAWSON HILL RD,1,1,2,,,,,,10,14
BLUE HERON RD / SHELBYVILLE RD,3,2,3,6,,,,,,14
BOLLING AVE,5,5,4,,,,,,,14
CRITTENDEN DR,10,4,,,,,,,,14
I 264 RAMP / TAYLORSVILLE RD,11,2,,,,,,,1,14
I264E / I71,10,1,,1,,,1,,1,14
I264E / RIVER PARK DR,4,,2,1,1,2,1,3,,14
I264W / DIXIE HWY,1,2,5,2,,1,1,2,,14
I264W / I64E EE,12,,,,,,,,2,14
I264W / VIRGINIA AVE,2,1,,,8,,1,2,,14
I265N / I65N,6,3,,3,,,1,1,,14
I64 / I264W EE,,1,,5,3,,3,1,1,14
I64W / COCHRAN HILL RD,6,2,2,2,1,,,,1,14
I65S / PRESTON HWY,4,3,1,1,2,,,2,1,14
I71S / I265S,4,2,3,2,,1,2,,,14
LANA CT / WHISPERING BROOK DR,2,4,3,4,,,,,1,14
OLD PARK BLVD / E WOODLAWN AVE,10,1,2,1,,,,,,14
OLD PARK BLVD / PARK BLVD,4,2,6,2,,,,,,14
S 41ST ST / GREENWOOD AVE,8,,3,3,,,,,,14
WF - ADVENTURE PLAYGROUND,,,,9,4,,1,,,14
10400 THRIFT DR,,,,,,,,4,9,13
12300 ST CLAIR DR,1,2,4,,1,4,,,1,13
13300 I 65 NORTH,13,,,,,,,,,13
16000 SHELBYVILLE RD,5,4,3,,,,,,1,13
200 ST MATTHEWS AVE,1,,2,1,2,2,2,2,1,13
3200 POND STATION RD,2,2,,5,,,1,2,1,13
3300 STONY BROOK DR,1,,4,2,,,,,6,13
8000 ST ANTHONY CHURCH RD,1,1,2,2,,,1,2,4,13
8600 WHIPPS MILL RD,4,4,2,3,,,,,,13
AMBRIDGE CIR / WESTPORT RD,10,1,1,1,,,,,,13
ARLINGTON AVE / POPE ST,4,1,3,5,,,,,,13
BARRET AVE,6,2,5,,,,,,,13
BAUER AVE / LEXINGTON RD,6,3,2,2,,,,,,13
BELLARMINE BLVD / NEWBURG RD,3,,,3,1,,4,1,1,13
BLOSSOM LN,9,2,2,,,,,,,13
CHAMPION FARMS DR / SPRINGHURST BLVD,6,,4,3,,,,,,13
DR W J HODGE ST / STONE ALY,1,1,1,4,2,1,3,,,13
I 264 RAMP / CRITTENDEN DR,2,7,4,,,,,,,13
I 264 RAMP / PRESTON HWY,7,3,1,2,,,,,,13
I 65 RAMP / EASTERN PKY,1,10,2,,,,,,,13
I 65 RAMP / PRESTON HWY,5,3,1,3,,,,,1,13
I264E / I64 EE,,,,8,1,,4,,,13
I264E / I71N,6,4,2,,1,,,,,13
I264W / BELLS LN (LAKE DREAMLAND SIDE),1,3,,2,3,3,,1,,13
I264W / I65N,6,3,3,1,,,,,,13
I265S / SMYRNA PKY,3,1,3,,2,,,3,1,13
I64E / 3RD ST,8,2,1,1,1,,,,,13
I65N / KENNEDY BRIDGE,7,,,5,1,,,,,13
LEXINGTON RD / MACON AVE,4,4,2,1,,,,,2,13
LONGFIELD AVE,13,,,,,,,,,13
RAGGARD RD / TERRY RD,4,3,4,1,,1,,,,13
S 34TH ST / LARKWOOD AVE,6,5,2,,,,,,,13
W PAGES LN,7,6,,,,,,,,13
12500 ST CLAIR DR,1,4,1,2,,,1,2,1,12
13800 BLAKELY LN,3,,7,2,,,,,,12
14700 FORBES CIR,,1,1,1,3,1,1,3,1,12
1800 TELLURIDE WAY,,,,,,1,7,4,,12
1800 WILLIAM E SUMMERS III CT,4,3,2,2,,,,,1,12
18300 BRIDGEMORE LN,3,9,,,,,,,,12
200 TOWNEPARK CIR,9,1,,1,,,,,1,12
2000 BOULEVARD NAPOLEON,2,,2,,3,,,3,2,12
3300 HUNSINGER LN,2,3,5,2,,,,,,12
5500 TAMARACK LN,2,1,2,7,,,,,,12
6300 GEIL LN,1,1,1,,3,2,3,,1,12
6700 LUCERNE AVE,3,7,2,,,,,,,12
700 DANESHALL DR,1,,1,1,1,,3,2,3,12
7000 CANADA RUSH CT,1,2,3,1,,1,,,4,12
9000 BEULAH CHURCH RD,2,3,4,1,,,,,2,12
9000 LETHBOROUGH DR,5,3,2,2,,,,,,12
BARDSTOWN RD / RICHMOND DR,4,4,,3,,,,,1,12
BEECH ST / DUMESNIL ST,7,2,3,,,,,,,12
BELMAR DR,7,4,1,,,,,,,12
BRADLEY AVE,12,,,,,,,,,12
CHAMPIONS TRACE LN,8,4,,,,,,,,12
DORSEY WAY / SHELBYVILLE RD,5,3,1,3,,,,,,12
DUNDEE RD / NEWBURG RD,7,,3,2,,,,,,12
GRINSTEAD DR / I 64 RAMP,8,2,1,,,,,,1,12
HEADLEY HILL RD,5,6,1,,,,,,,12
I 264 RAMP / BARDSTOWN RD,5,3,3,1,,,,,,12
I264E / I65S,6,1,1,1,1,1,,1,,12
I64E / HURSTBOURNE PKY S,7,,3,1,,,,1,,12
I64E / I65S,7,3,2,,,,,,,12
I65N / BROOK ST,2,2,,,,,6,2,,12
I71S / I65S,4,1,3,1,1,1,,,1,12
LOUIS COLEMAN JR DR / W MAGNOLIA AVE,,,,1,,,,1,10,12
LYNDON LN / VINE CREST AVE,6,5,1,,,,,,,12
N 21ST ST / DR W J HODGE ST,2,7,1,,,,,,2,12
N 26TH ST / COLUMBIA ST,1,3,2,,,,,,6,12
N HURSTBOURNE PKY / SPRINGHURST BLVD,6,2,1,,,,,,3,12
PARK - RIVERVIEW PARK,,2,1,2,7,,,,,12
S 2ND ST / W KENTON ST,1,,2,9,,,,,,12
S CLAY ST / E BROADWAY,,9,3,,,,,,,12
1 TRAFALGAR SQ,,3,4,4,,,,,,11
1000 S 34TH ST,4,,7,,,,,,,11
1100 SPENCER HOLLOW WAY,4,4,1,1,,,,,1,11
11300 ST MARY LN,4,,1,,,4,,1,1,11
11400 INTERCHANGE DR,,,4,,6,,,1,,11
12400 ST CLAIR DR,3,2,,2,,,2,2,,11
12900 OBSERVATION CIR,,,,,,4,,4,3,11
1300 LOUIS COLEMAN JR DR,,,2,3,3,2,1,,,11
2000 EMERALD AVE,,5,4,1,,,,,1,11
2200 S 9TH ST,1,2,2,5,,,,,1,11
3000 LENOVER DR,5,5,,,,,,,1,11
3300 AUDUBON RIDGE DR,,2,3,5,,,,,1,11
3900 BUSINESS PARK DR,2,,1,4,2,1,1,,,11
400 SAM DR,1,4,,2,,,,,4,11
4100 ST FRANCIS LN,,,,4,5,1,,1,,11
4700 MUD LN,,3,1,5,,,,,2,11
500 DORSEY WAY,3,,7,1,,,,,,11
5400 ST GABRIEL LN,1,,5,4,1,,,,,11
600 PENGUIN ST,3,2,2,,,,,,4,11
700 URTON WOODS WAY,,,,,1,,2,7,1,11
7500 MOUNT WASHINGTON RD,3,3,1,2,,,,1,1,11
7800 DOBSON LN,2,4,4,1,,,,,,11
7900 ST ANTHONY CHURCH RD,,1,,1,3,4,1,,1,11
9200 ST MORITZ DR,,1,,1,2,1,4,2,,11
9200 WELLINGTON HILL CT,1,6,2,2,,,,,,11
BALLARDSVILLE RD / WINDY WILLOW DR,1,2,4,4,,,,,,11
BERNHEIM LN,3,3,5,,,,,,,11
CAYUGA ST / SQUIRES DR,6,4,1,,,,,,,11
COGAN BLVD,3,2,6,,,,,,,11
E MANSLICK RD / PENNSYLVANIA RUN RD,4,1,1,3,,,,,2,11
EVA BANDMAN PARK,,,,,,,,5,6,11
GILMORE LN,11,,,,,,,,,11
I 264 RAMP / I 65 SOUTH,,3,3,5,,,,,,11
I 264 RAMP / VIRGINIA AVE,1,2,,,2,2,3,,1,11
I 64 RAMP / I 71 RAMP,5,3,3,,,,,,,11
I 65 RAMP / KY-841 RAMP,,,3,6,,,2,,,11
I 65 RAMP / S JACKSON ST,,2,,1,,,4,4,,11
I264E / BANK ST,4,,3,2,,,1,1,,11
I264E / DIXIE HWY,,,2,,,2,2,,5,11
I264W / I64W WE,1,2,3,2,,,2,1,,11
I64E / HURSTBOURNE PKY,6,3,2,,,,,,,11
I64W / I265S,9,,1,1,,,,,,11
I65S / I264W,4,1,1,1,1,,3,,,11
INDIAN LAKE DR,6,5,,,,,,,,11
JEFFERSON BLVD,3,4,4,,,,,,,11
JOHNSONTOWN RD,5,4,,,,,,,2,11
LEXINGTON RD,7,3,,,,,,,1,11
N 6TH ST,6,5,,,,,,,,11
OLD HEADY RD / TAYLORSVILLE RD,7,2,1,1,,,,,,11
PEEWEE PARK,,,,,,,8,3,,11
S 34TH ST / W JEFFERSON ST,7,3,1,,,,,,,11
VERMONT AVE / I264,,4,3,4,,,,,,11
WF - CHILDRENS PLAY AREA,,,1,3,3,3,,,1,11
WF - DANCING FOUNTAIN,,,4,3,3,,,,1,11
WF - TURQUOISE LOT,,,3,,,2,,6,,11
1000 KING ARTHUR LN,2,,,1,,,,,7,10
13400 I 65 SOUTH,10,,,,,,,,,10
14000 WATERS EDGE DR,1,1,6,1,,,,,1,10
1600 S 34TH ST,7,3,,,,,,,,10
2400 BOULEVARD NAPOLEON,,,,,2,5,1,1,1,10
2500 BRIARGATE ST,1,1,1,7,,,,,,10
3200 POMEROY DR,2,1,4,3,,,,,,10
4100 SCOTT ST,,1,2,6,,,,,1,10
4400 ST RITA DR,1,1,1,1,,1,1,4,,10
5200 ST GABRIEL LN,1,,2,2,,,2,1,2,10
5500 APPLEGATE LN,4,2,1,1,,,,,2,10
6000 TITANIC WAY,2,,2,5,,,,,1,10
6700 FOSTER HOLLY WAY,1,2,1,1,,,,,5,10
6900 WOOD RD,1,4,5,,,,,,,10
7000 ELYSEAN CT,3,6,,,,,,,1,10
7100 ST ANTHONY CHURCH RD,,,,2,1,1,1,4,1,10
8300 DELTA CIR,,1,1,,3,2,1,1,1,10
8300 ST ARMANDS CT,2,,1,1,2,2,1,,1,10
8400 SEAFORTH DR,2,3,5,,,,,,,10
9400 HIGH BROOK CT,,,,,1,,5,,4,10
9700 CHAPEL HILL RD,6,1,2,,,,,,1,10
ARCADE AVE / MONTANA AVE,4,1,1,4,,,,,,10
BICKNELL AVE / TUSCARORA WAY,10,,,,,,,,,10
BLUEGRASS PKY,10,,,,,,,,,10
BRECKINRIDGE SQ / DEEBET DR,,1,,9,,,,,,10
CANNONS LN / WILLIS AVE,4,3,,1,,,,,2,10
CRAFTY DR / GILMORE LN,2,6,1,1,,,,,,10
DR W J HODGE ST / PIRTLE ST,,1,2,4,,,2,1,,10
GLOBAL DR,2,1,7,,,,,,,10
HURSTBOURNE PKY N / I64W,6,2,2,,,,,,,10
I 264 RAMP / WESTPORT RD,,2,2,,1,,5,,,10
I 65 RAMP / I 65 SOUTH,2,1,1,4,,1,1,,,10
I 71 RAMP / I 71 SOUTH,3,,2,1,3,1,,,,10
I264E / BARDSTOWN RD S,2,1,3,3,1,,,,,10
I265S / LA GRANGE RD,4,,2,4,,,,,,10
I64E / I264 WE,3,1,1,2,,,1,1,1,10
I64E / I264E WE,5,,,2,,2,1,,,10
I64E / I71N,4,2,2,1,,,,1,,10
I64W / I264 WE,4,3,1,,,1,1,,,10
I64W / I264E WE,5,3,1,1,,,,,,10
I65N / I64W,3,2,4,,,,1,,,10
I65S / COUNTY LINE,1,,2,1,,2,4,,,10
I65S / I265S,4,,1,2,,2,1,,,10
I71S / I65N,4,1,2,2,1,,,,,10
JAPONICA WAY / WESTPORT RD,1,2,,7,,,,,,10
LAPORTE PARK,,,1,,3,3,2,1,,10
MERIDALE AVE / W SOUTHERN HEIGHTS AVE,,,6,2,,,,,2,10
OLD SOUTH PARK RD / SOUTH PARK RD,4,1,1,4,,,,,,10
ORMSBY LN,3,2,5,,,,,,,10
PEE WEE REESE RD,,,,10,,,,,,10
S 34TH ST / SOUTHERN AVE,3,4,3,,,,,,,10
S HURSTBOURNE PKY / HURSTBOURNE CROSSINGS DR,7,2,,1,,,,,,10
TAYLOR BLVD / I 264 RAMP,1,3,6,,,,,,,10
WF - GREAT LAWN SOUTH,,,,2,,,6,1,1,10
1 MOCKINGBIRD VALLEY TRL,2,3,3,1,,,,,,9
10700 HITE CREEK RD,,,2,1,,,,,6,9
10800 MILLERS LN,5,2,1,,,,,,1,9
1100 HIGHLAND AVE,2,,3,4,,,,,,9
1200 CARRIAGE WAY CT,3,1,3,1,,,,,1,9
13800 SHELBYVILLE RD,2,1,5,1,,,,,,9
1700 EASTPOINT PKY,1,3,1,2,,,,,2,9
1900 S POPE LICK RD,1,,,8,,,,,,9
2400 LORENE AVE,1,,2,5,,,,,1,9
2400 TAVENER DR,1,,2,5,,,,,1,9
2500 GLADSTONE AVE,1,,3,4,,,,,1,9
2600 ARISTOCRAT PL,,,,1,2,,3,1,2,9
3100 JESSIE RD,,1,,,5,1,1,,1,9
3400 BASHFORD AVENUE CT,3,1,1,4,,,,,,9
3500 YOUNG AVE,3,2,1,1,,,,,2,9
3600 BREELAND AVE,4,2,,1,,,,,2,9
4800 LUNENBURG DR,2,5,2,,,,,,,9
500 I 71 NORTH,9,,,,,,,,,9
5000 SOLONA DR,1,4,1,,,,1,,2,9
5500 LA VEL LN,1,4,,3,,,,,1,9
600 EDNA RD,1,4,3,1,,,,,,9
6100 DALIA CT,3,,3,,,,,,3,9
6600 S WATTERSON TRL,1,1,7,,,,,,,9
7100 MALLGATE PL,,9,,,,,,,,9
7800 ST ANTHONY WOODS CT,2,,,2,,2,2,1,,9
8000 CLOUDCROFT LN,2,3,3,,,,,,1,9
8900 MOUNTAIN BROOK DR,7,,2,,,,,,,9
9000 BLUE LICK RD,3,2,1,,,,,,3,9
9000 HURSTBOURNE LN,,1,3,1,,,,,4,9
BARDSTOWN RD / WADSWORTH AVE,1,,2,6,,,,,,9
BARRICKS RD / HUTCHERSON DR,4,2,2,1,,,,,,9
BLACK MUDD PARK,,4,,,,,,5,,9
BLANKENBAKER PKY / BLANKENBAKER ACCESS DR,5,1,2,1,,,,,,9
BRADLEY AVE / CRITTENDEN DR,3,3,1,2,,,,,,9
BUSINESS PARK DR / POPLAR LEVEL RD,1,,3,2,3,,,,,9
COLUMBINE DR / JESSAMINE LN,2,3,,4,,,,,,9
CONSTANCE DR,6,2,1,,,,,,,9
E MAIN ST,1,,8,,,,,,,9
GAYMONT DR / ST ANDREWS CHURCH RD,2,,4,3,,,,,,9
I 0264,,,,,3,3,,2,1,9
I 265 RAMP / OLD HENRY RD,2,4,,1,,1,1,,,9
I264W / I64,3,3,3,,,,,,,9
I264W / I64E WE,2,2,2,1,,,1,1,,9
I265N / I71S,6,1,1,1,,,,,,9
I64E / COUNTY LINE,2,1,,,,2,2,2,,9
I64E / S HURSTBOURNE PKY WEST SIDE IN LMPD,4,,,5,,,,,,9
I64E / SHERMAN MINTON BRIDGE,3,1,,1,3,,,1,,9
I64W / I264W EE,3,2,1,,1,,1,1,,9
I65N / S JACKSON ST,3,5,,,,,1,,,9
KERRY RD / W PAGES LN,6,1,1,1,,,,,,9
KRUPP PARK DR / PRESTON HWY,1,3,1,1,,,,,3,9
KY-841 RAMP / STONESTREET RD,5,,,1,,,,3,,9
N 38TH ST / PARKER AVE,1,,1,5,,,,,2,9
N HUBBARDS LN / SHELBYVILLE RD,3,2,,4,,,,,,9
NEW LA GRANGE RD / POST OAK PL,7,,,2,,,,,,9
PARK - ROBISON PARK,7,,1,1,,,,,,9
POND STATION RD / STONESTREET RD,,1,2,1,,2,,3,,9
POPLAR LEVEL RD / I 264 RAMP,2,4,3,,,,,,,9
PRESTON HWY / WOLFE AVE,,1,1,1,,,,,6,9
ROBISON PARK,4,2,,,2,1,,,,9
S 2ND ST / W AMHERST AVE,1,1,4,2,,,,,1,9
S 34TH ST / DEL PARK TER,3,1,5,,,,,,,9
S 34TH ST / W KENTUCKY ST,4,5,,,,,,,,9
S PRESTON ST / E ORMSBY AVE,6,2,1,,,,,,,9
ST MATTHEWS AVE / WESTPORT RD,5,,,4,,,,,,9
STORY AVE / I64W,4,1,4,,,,,,,9
WF - BELLE OF LOUISVILLE,,,,3,1,2,3,,,9
WF - YELLOW LOT,,,,2,1,,1,5,,9
1100 ST LOUIS AVE,,3,,2,2,,,1,,8
11300 HERITAGE HILL CT,2,1,,1,,,,,4,8
1200 LOUIS COLEMAN JR DR,,,,1,,,,,7,8
12100 ST CLAIR DR,,,2,2,,1,3,,,8
12200 LOWER RIVER RD,1,2,3,,,,,,2,8
12700 ST CLAIR DR,,1,1,3,1,1,,,1,8
13200 I 65 NORTH,8,,,,,,,,,8
1400 BLUE VALE WAY,,,,4,,,,1,3,8
1400 SOUTH PARK RD,2,1,1,1,,,,,3,8
1500 HICKORY ST,8,,,,,,,,,8
1700 SOUTHLAKE DR,3,,1,2,,,,,2,8
1800 S ENGLISH STATION RD,2,2,4,,,,,,,8
1900 GRAND RIDGE RD,,7,1,,,,,,,8
2000 ROUND RIDGE RD,,4,3,1,,,,,,8
2300 BOULEVARD NAPOLEON,2,1,,,2,2,1,,,8
2800 KLEMPNER WAY,,1,1,,1,3,,2,,8
300 JOE CONWAY CIR,,,,,2,3,1,1,1,8
3500 HUGHES RD,2,2,1,2,,,,,1,8
3600 HILLCREEK RD,2,1,3,1,,,,,1,8
4100 WAHL STREET BLVD,,3,5,,,,,,,8
4300 ST REGIS LN,2,,3,3,,,,,,8
4400 ST REGIS LN,2,1,,,2,1,1,1,,8
4800 WELLSWORTH AVE,1,2,2,1,,,,,2,8
5400 RIVER CREEK CT,2,3,3,,,,,,,8
5800 S WATTERSON TRL,3,3,,1,,,,,1,8
600 E CHESTNUT ST,2,1,3,2,,,,,,8
600 HATHERLEIGH LN,1,2,3,1,,,,,1,8
600 N 17TH ST,2,3,1,2,,,,,,8
6200 YELLOW PINE DR,1,2,5,,,,,,,8
6300 TIOGA RD,3,,1,2,,,,,2,8
6400 ST THOMAS CT,,,,,3,,1,3,1,8
6700 SKYLINE DR,2,2,2,2,,,,,,8
6700 SYCAMORE WOODS DR,2,4,,1,,,,,1,8
6900 WOODROW WAY,,3,,5,,,,,,8
700 ST ANTHONY PL,,,2,,2,,,3,1,8
7000 AUSTINWOOD RD,,,1,,,,,,7,8
7000 QUAIL BRACE CT,1,2,1,4,,,,,,8
7700 ST ANTHONY CHURCH RD,2,1,1,1,2,1,,,,8
8100 CRIS DR,2,3,1,2,,,,,,8
8100 SMYRNA PKY,2,,5,1,,,,,,8
8200 DELTA CIR,1,1,,,,2,1,2,1,8
8700 MINOR LN,,1,,1,,,,,6,8
9100 CHENAULT RD,1,1,2,4,,,,,,8
9400 FROHLICH RD,5,2,,1,,,,,,8
9400 HARLEQUIN ST,,,,1,1,,,6,,8
BALLARDSVILLE RD,5,,3,,,,,,,8
BARBOUR LN,8,,,,,,,,,8
BAXTER AVE / GODDARD AVE,1,3,1,2,,,,,1,8
BECKLEY WOODS DR / SHELBYVILLE RD,3,1,1,3,,,,,,8
BLAIRWOOD RD,,7,1,,,,,,,8
BLANKENBAKER PKY / N WATTERSON TRL,3,3,1,1,,,,,,8
BLUE LICK RD / MOODY RD,,1,4,3,,,,,,8
BLUEGRASS AVE / CLIFF AVE,,1,6,1,,,,,,8
BONITA CT / BONITA LN,,1,1,6,,,,,,8
BRECKENRIDGE LN / MANNER GATE DR,3,2,2,,,,,,1,8
BROOKLINE AVE,8,,,,,,,,,8
BROWNSBORO RD / GOOSE CREEK RD,2,1,2,3,,,,,,8
BUECHEL BANK RD / NEWBURG RD,5,2,,1,,,,,,8
BURNT PINE WAY / FEGENBUSH LN,3,,1,1,,1,1,1,,8
CANDLELIGHT LN / GLIMMER WAY,,3,5,,,,,,,8
COOPER CHAPEL RD / INDIAN FALLS DR,,3,,1,,,,,4,8
CRITTENDEN DR S / I264W,1,,,,,,,,7,8
CROSBY PARK,,4,1,,,2,,,1,8
E BROADWAY / BARRET AVE,4,2,2,,,,,,,8
FOREMAN LN / WESTRAY LN,2,,5,,,,,,1,8
FOREST GREEN BLVD,6,2,,,,,,,,8
G G MOORE PARK,,1,,,,,,5,2,8
GARDEN GREEN WAY / MANSFIELD LN,2,4,1,,,,,,1,8
HOERTZ AVE / LYDIA ST,,4,4,,,,,,,8
I 65 RAMP / FERN VALLEY RD,1,3,4,,,,,,,8
I 71 RAMP / KY-841 RAMP,2,2,3,1,,,,,,8
I264E / 3RD ST,4,,1,1,,1,,1,,8
I264E / SHELBYVILLE RD\LYNDON,4,,2,,,,1,1,,8
I264W / BELLS LN (LOUISVILLE FIRE SIDE),1,1,2,,1,,1,,2,8
I264W / NEWBURG RD N,5,,1,1,,1,,,,8
I264W / POPLAR LEVEL RD N,5,2,,,1,,,,,8
I265N / I64E,3,2,3,,,,,,,8
I265S / I64W,4,,1,2,,,1,,,8
I65S / I71N,4,,,4,,,,,,8
ILEX AVE,6,1,1,,,,,,,8
INDIGO DR / MARYMAN RD,1,,7,,,,,,,8
LOWER HUNTERS TRCE / TAHIA DR,1,,3,3,,,,,1,8
MERCURY DR / SKY BLUE AVE,4,,,4,,,,,,8
NEWBURG RD / RUTH AVE,5,2,1,,,,,,,8
OLIVE ST / WOODLAND AVE,,6,2,,,,,,,8
PALATKA RD,8,,,,,,,,,8
PARK - FERN CREEK PARK,1,2,4,,,1,,,,8
PETERSBURG RD / PRODUCE RD,4,4,,,,,,,,8
POPLAR LEVEL RD / E INDIAN TRL,,6,2,,,,,,,8
POPLAR LEVEL RD N / I264W,3,1,4,,,,,,,8
S 11TH ST / W OAK ST,2,,2,2,,,,,2,8
S 19TH ST / PIRTLE ST,2,3,2,1,,,,,,8
S 20TH ST / GREEN ALY,4,2,,2,,,,,,8
S 2ND ST / W LANSING AVE,,,,2,,,,,6,8
S 34TH ST / DR WILLIAM G WEATHERS DR,1,4,3,,,,,,,8
S 34TH ST / DUMESNIL ST,5,2,1,,,,,,,8
S 34TH ST / GREENWOOD AVE,4,4,,,,,,,,8
S 34TH ST / YOUNG AVE,3,5,,,,,,,,8
S 43RD ST / RIVER PARK DR,1,,3,4,,,,,,8
ST ANTHONY CHURCH RD / ST ANTHONY GARDENS DR,3,1,1,2,,,,1,,8
W MAGNOLIA AVE / ST JAMES CT,2,3,2,1,,,,,,8
WF - WHARF AREA,,,1,1,1,,2,2,1,8
10300 THRIFT DR,,,,,,,1,3,3,7
10500 SEDALIA CT,3,2,,1,,,,,1,7
10800 CHERRY GROVE CT,2,2,3,,,,,,,7
11000 PRESTON HWY,,,,7,,,,,,7
11300 WOODED BRANCH LN,4,3,,,,,,,,7
1200 I 64 WEST,7,,,,,,,,,7
12600 WESTPORT RD,,1,,1,,,,,5,7
13100 I 65 NORTH,7,,,,,,,,,7
1400 W MADISON ST,2,1,1,,,,,,3,7
14800 FOREST OAKS DR,2,3,,1,,,,,1,7
16100 DRY RIDGE RD,2,,4,1,,,,,,7
1700 WASHINGTON BLVD,,,3,4,,,,,,7
1800 I 64 WEST,7,,,,,,,,,7
1800 W ORMBSY,,7,,,,,,,,7
1900 ARNOLD PALMER BLVD,4,1,1,1,,,,,,7
1900 LAMPTER ST,2,3,,2,,,,,,7
200 SPRING GARDEN DR,2,1,,1,,,,,3,7
2100 HIGH WICKHAM PL,2,,,1,1,,2,,1,7
2100 SOUTH PARK RD,2,3,2,,,,,,,7
2500 BALLANTRAE CIR,4,3,,,,,,,,7
2500 BOULEVARD NAPOLEON,,1,2,,1,,,3,,7
2600 BLANKENBAKER PKY,1,,4,2,,,,,,7
2600 SUMMERFIELD DR,1,2,3,1,,,,,,7
2700 SYCAMORE WOODS CT,1,1,1,3,,,,,1,7
2900 DANZIG PL,,,,,,1,1,3,2,7
300 AXIS DR,,,,,,,,,7,7
300 GLENGARRY DR,4,1,,2,,,,,,7
300 N WATTERSON TRL,1,1,,4,,,,,1,7
3300 MOUNT SHASTA WAY,,,1,6,,,,,,7
3500 STRATTON AVE,,4,2,,,,,,1,7
3600 APEX GARDENS DR,,,,,,,,5,2,7
4000 KEIGHLEY PARK LN,,,,,,,1,4,2,7
4200 MIMOSA VIEW DR,1,,3,2,,,,,1,7
4200 MURPHY LN,1,5,,,,,,,1,7
4300 PROGRESS BLVD,,1,4,,,,,1,1,7
4300 WOODED BEND WAY,2,1,1,3,,,,,,7
4500 PARKER AVE,,,,6,,,,,1,7
4800 BURKHEAD AVE,2,2,1,2,,,,,,7
4800 DREAMS END DR,,6,,1,,,,,,7
500 MORNINGSIDE DR,2,1,,,,,,,4,7
500 QUAILS RUN,,4,2,1,,,,,,7
5000 PENDLETON RD,2,2,3,,,,,,,7
5200 INTERCHANGE WAY,1,,,,1,3,,,2,7
5500 BURNT PINE WAY,,,1,2,,2,1,1,,7
5700 CANE RUN RD,,2,1,4,,,,,,7
6600 MOLLY MANOR CT,1,2,2,2,,,,,,7
6800 CINDY DR,1,,5,1,,,,,,7
700 CEDAR GROVE TER,1,2,1,3,,,,,,7
7000 CATTAIL CT,2,5,,,,,,,,7
7000 MOUNT WASHINGTON RD,,3,,2,,,,,2,7
7000 UNIVERSAL COACH DR,2,,,,,3,2,,,7
7400 GREENLAWN RD,,1,6,,,,,,,7
7500 WHITE POST WAY,4,1,2,,,,,,,7
7600 NEWTON CT,,1,5,,,,,,1,7
800 FOUNDRY RD,,,,,,,1,3,3,7
8000 FRED LN,1,1,1,4,,,,,,7
8200 BISCANE DR,,,2,3,,,,,2,7
