1271, 4100 NE DAVIDSON ROAD, KANSAS CITY, MO, 64118
1272, 4100 NW 79 STREET, KANSAS CITY, MO, 64152
1273, 4100 OLIVE STREET, KANSAS CITY, MO, 64109
1274, 42 and STERLING AVENUE, KANSAS CITY, MO, 64133
1275, 4200 E 56 STREET, KANSAS CITY, MO, 64129
1276, 4200 OLIVE STREET, KANSAS CITY, MO, 64109
1277, 4300 BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64128
1278, 4300 E TRUMAN ROAD, KANSAS CITY, MO, 64126
1279, 4300 NE CHOUTEAU TRAFFICWAY, KANSAS CITY, MO, 64118
1280, 4400 N ANTIOCH ROAD, KANSAS CITY, MO, 64117
1281, 4400 N BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64117
1282, 4400 N WINN ROAD, KANSAS CITY, MO, 64119
1283, 4500 ASKEW AVENUE, KANSAS CITY, MO, 64127
1284, 4500 BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64133
1285, 4500 E 111 TERRACE, KANSAS CITY, MO, 64137
1286, 4600 PASEO, KANSAS CITY, MO, 64109
1287, 46TH / TROOST, KANSAS CITY, MO, 64110
1288, 4700 N BRISTOL AVENUE, KANSAS CITY, MO, 64119
1289, 4700 NE 76 STREET, KANSAS CITY, MO, 64119
1290, 4700 RAYTOWN ROAD, KANSAS CITY, MO, 64133
1291, 500 BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64127
1292, 500 E 99 STREET, KANSAS CITY, MO, 64114
1293, 500 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64110
1294, 5000 N ANTIOCH ROAD, KANSAS CITY, MO, 64118
1295, 5000 N LISTER AVENUE, KANSAS CITY, MO, 64117
1296, 5100 N ANTIOCH ROAD, KANSAS CITY, MO, 64119
1297, 5100 NE 47 TERRACE, KANSAS CITY, MO,
1298, 5200 BLUE RIDGE COURT, KANSAS CITY, MO, 64133
1299, 5200 BROOKWOOD AVENUE, KANSAS CITY, MO, 64110
1300, 5200 E 40 TERRACE, KANSAS CITY, MO, 64128
1301, 5200 WORNALL ROAD, KANSAS CITY, MO, 64114
1302, 5200 WORNALL ROAD, KANSAS CITY, MO, 64131
1303, 5300 N CHOUTEAU TRAFFICWAY, KANSAS CITY, MO, 64117
1304, 5400 N ANTIOCH ROAD, KANSAS CITY, MO, 64118
1305, 5500 BONITA AVENUE, KANSAS CITY, MO, 64127
1306, 5500 E TRUMAN ROAD, KANSAS CITY, MO, 64126
1307, 5500 HIGHLAND AVENUE, KANSAS CITY, MO, 64131
1308, 5500 OAK STREET, KANSAS CITY, MO, 64110
1309, 5600 E 101 TERRACE, KANSAS CITY, MO, 64137
1310, 5600 NORTON AVENUE, KANSAS CITY, MO, 64132
1311, 5700 E 109 TERRACE, KANSAS CITY, MO, 64137
1312, 5800 NW 67 TERRACE, KANSAS CITY, MO, 64152
1313, 5800 NW BARRY ROAD, KANSAS CITY, MO, 64152
1314, 5800 STILLWELL AVENUE, KANSAS CITY, MO, 64120
1315, 5900 E 40 TERRACE, KANSAS CITY, MO, 64128
