3298, 1900 MCGEE STREET, KANSAS CITY, MO, 64106
3299, 2100 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64109
3300, 2100 MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64129
3301, 2200 NW BARRY ROAD, KANSAS CITY, MO, 64118
3302, 2400 HARDESTY AVENUE, KANSAS CITY, MO, 64124
3303, 2400 OLIVE STREET, KANSAS CITY, MO, 64132
3304, 2500 DRURY AVENUE, KANSAS CITY, MO, 64128
3305, 2500 HOLMES STREET, KANSAS CITY, MO, 64106
3306, 2500 LAWN AVENUE, KANSAS CITY, MO, 64124
3307, 2500 PASEO, KANSAS CITY, MO, 64109
3308, 2600 COLORADO AVENUE, KANSAS CITY, MO, 64128
3309, 2600 GARFIELD AVENUE, KANSAS CITY, MO, 64130
3310, 2600 NE 43 STREET, KANSAS CITY, MO, 64116
3311, 2600 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64128
3312, 2700 E 35 STREET, KANSAS CITY, MO, 64128
3313, 2700 LISTER AVENUE, KANSAS CITY, MO, 64130
3314, 2700 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64130
3315, 2800 KENSINGTON AVENUE, KANSAS CITY, MO, 64130
3316, 2800 TOPPING AVENUE, KANSAS CITY, MO, 64127
3317, 2900 NE 102 TERRACE, KANSAS CITY, MO, 64155
3318, 300 E GREGORY BOULEVARD, KANSAS CITY, MO, 64114
3319, 300 NW BARRY ROAD, KANSAS CITY, MO, 64118
3320, 3000 HARRISON STREET, KANSAS CITY, MO, 64108
3321, 3000 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64126
3322, 3100 AGNES AVENUE, KANSAS CITY, MO, 64127
3323, 3100 E 49 STREET, KANSAS CITY, MO, 64129
3324, 3200 CAMPBELL STREET, KANSAS CITY, MO, 64110
3325, 3200 E 18 STREET, KANSAS CITY, MO, 64126
3326, 3400 BALES AVENUE, KANSAS CITY, MO, 64130
3327, 3400 BENTON BOULEVARD, KANSAS CITY, MO, 64130
3328, 3400 E 107 TERRACE, KANSAS CITY, MO, 64137
3329, 3400 E 114 TERRACE, KANSAS CITY, MO,
3330, 3500 E 149 STREET, KANSAS CITY, MO, 64147
3331, 3600 ASKEW AVENUE, KANSAS CITY, MO, 64130
3332, 3600 E 112 STREET, KANSAS CITY, MO, 64137
3333, 3600 GILLHAM ROAD, KANSAS CITY, MO, 64110
3334, 3700 BENTON BOULEVARD, KANSAS CITY, MO, 64127
3335, 3700 CHESTNUT AVENUE, KANSAS CITY, MO, 64127
3336, 3700 PARK AVENUE, KANSAS CITY, MO, 64132
3337, 3800 AGNES AVENUE, KANSAS CITY, MO, 64127
3338, 3800 BLUE RIDGE COURT, KANSAS CITY, MO, 64127
3339, 3800 BROADWAY BOULEVARD, KANSAS CITY, MO, 64112
3340, 3800 N ANTIOCH ROAD, KANSAS CITY, MO, 64117
3341, 3800 N EWING AVENUE, KANSAS CITY, MO, 64119
3342, 3800 PROSPECT AVENUE, KANSAS CITY, MO, 64130
3343, 3800 WOODLAND AVENUE, KANSAS CITY, MO, 64110
3344, 3900 BROADWAY, KANSAS CITY, MO, 64111
3345, 400 COLORADO AVENUE, KANSAS CITY, MO, 64127
3346, 4000 COLLEGE AVENUE, KANSAS CITY, MO, 64127
3347, 4000 HARVARD CI, KANSAS CITY, MO, 64134
3348, 4100 BLUE RIDGE COURT, KANSAS CITY, MO, 64130
3349, 4200 BENTON BOULEVARD, KANSAS CITY, MO, 64127
3350, 4200 E 63 STREET, KANSAS CITY, MO, 64110
3351, 4200 N CHELSEA AVENUE, KANSAS CITY, MO, 64119
3352, 4200 N JACKSON AVENUE, KANSAS CITY, MO, 64119
3353, 4300 BLUE PK, KANSAS CITY, MO, 64129
3354, 4300 HARDESTY AVENUE, KANSAS CITY, MO, 64127
3355, 4400 BENTON BOULEVARD, KANSAS CITY, MO, 64127
3356, 4400 NW 57 STREET, KANSAS CITY, MO, 64152
3357, 4500 PROSPECT AVENUE, KANSAS CITY, MO, 64127
3358, 4500 SOUTH BENTON AVENUE, KANSAS CITY, MO, 64128
3359, 4600 E 63 STREET, KANSAS CITY, MO, 64130
3360, 4600 GENESSEE STREET, KANSAS CITY, MO, 64111
3361, 4600 JARBOE STREET, KANSAS CITY, MO, 64111
3362, 4600 SOUTH BENTON AVENUE, KANSAS CITY, MO, 64128
3363, 47 and JC NICHOLS, KANSAS CITY, MO, 64112
3364, 470 HIGHWAY and BRUCE R WATKINS, KANSAS CITY, MO, 64130
3365, 4700 E 40 TERRACE, KANSAS CITY, MO, 64133
