13251, W 46 TERRACE and J C NICHOLS PARKWAY, KANSAS CITY, MO, 64127
13252, W 46 TERRACE and WORNALL ROAD, KANSAS CITY, MO, 64112
13253, W 46 TERRACE and WYANDOTTE STREET, KANSAS CITY, MO, 64111
13254, W 47 and JC NICHOLS PKWY, KANSAS CITY, MO, 64111
13255, W 47 STREET and BROADWAY, KANSAS CITY, MO,
13256, W 47 STREET and HOLLY STREET, KANSAS CITY, MO, 64111
13257, W 47 STREET and J C NICHOLS PKWY, KANSAS CITY, MO, 64111
13258, W 47 STREET and JARBOE STREET, KANSAS CITY, MO,
13259, W 47 STREET and JARBOE STREET, KANSAS CITY, MO, 64112
13260, W 47 STREET and JARBOE STREET, KANSAS CITY, MO, 64114
13261, W 47 STREET and JC NICHOLS ROAD, KANSAS CITY, MO, 64113
13262, W 47 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64110
13263, W 47 STREET and MADISON AVENUE, KANSAS CITY, MO, 64111
13264, W 47 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64112
13265, W 47 STREET and ROANOKE PK, KANSAS CITY, MO, 64111
13266, W 47 STREET and ROANOKE PK, KANSAS CITY, MO, 64112
13267, W 47 STREET and ROANOKE PKWY, KANSAS CITY, MO, 64112
13268, W 47 STREET and SUMMIT STREET, KANSAS CITY, MO, 64110
13269, W 47 STREET and SUMMIT STREET, KANSAS CITY, MO, 64111
13270, W 47 STREET and W EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64112
13271, W 47 STREET and WORNALL ROAD, KANSAS CITY, MO, 64111
13272, W 47 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64111
13273, W 48 STREET and HOLLY STREET, KANSAS CITY, MO, 64108
13274, W 48 STREET and J C NICHOLS PARKWAY, KANSAS CITY, MO, 64111
13275, W 48 STREET and J C NICHOLS PARKWAY, KANSAS CITY, MO, 64112
13276, W 48 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64111
13277, W 48 STREET and MAIN STREET, KANSAS CITY, MO, 64109
13278, W 48 STREET and MAIN STREET, KANSAS CITY, MO, 64114
13279, W 48 STREET and MERCIER STREET, KANSAS CITY, MO, 64111
13280, W 48 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO,
13281, W 48 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64111
13282, W 48 STREET and WARD PK N, KANSAS CITY, MO, 64114
13283, W 49 STREET and BELL STREET, KANSAS CITY, MO, 64112
13284, W 49 STREET and CENTRAL STREET, KANSAS CITY, MO, 64112
13285, W 49 STREET and HOLLY STREET, KANSAS CITY, MO, 64111
13286, W 49 STREET and MAIN STREET, KANSAS CITY, MO, 64114
13287, W 49 STREET and MERCIER STREET, KANSAS CITY, MO, 64111
13288, W 5 STREET and BEARDSLEY ROAD, KANSAS CITY, MO,
13289, W 5 STREET and BROADWAY, KANSAS CITY, MO, 64101
13290, W 50 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64112
13291, W 50 STREET and MAIN STREET, KANSAS CITY, MO, 64112
13292, W 50 STREET and STATE LINE ROAD, KANSAS CITY, MO, 64111
13293, W 50 STREET and STATE LINE ROAD, WSW, MO, 64111
13294, W 51 STREET and W 52 STREET, KANSAS CITY, MO, 64110
13295, W 51 STREET and WARD PK S, KANSAS CITY, MO, 64109
13296, W 51 STREET and WARD PK S, KANSAS CITY, MO, 64112
13297, W 52 STREET and SUMMIT STREET, KANSAS CITY, MO, 64110
13298, W 52 STREET and WORNALL ROAD, KANSAS CITY, MO, 64111
13299, W 52 STREET and WORNALL ROAD, KANSAS CITY, MO, 64113
13300, W 53 STREET and SUMMIT STREET, KANSAS CITY, MO, 64112
13301, W 53 TERRACE and WORNALL ROAD, KANSAS CITY, MO, 64112
13302, W 53 TERRACE and WORNALL ROAD, KANSAS CITY, MO, 64114
13303, W 53 TERRACE and WYANDOTTE STREET, KANSAS CITY, MO, 64112
13304, W 54 STREET and SUMMIT STREET, KANSAS CITY, MO, 64114
13305, W 55 STREET and WARD PK N, KANSAS CITY, MO,
13306, W 55 STREET and WARD PK N, KANSAS CITY, MO, 64113
13307, W 55 STREET and WARD PK S, KANSAS CITY, MO, 64131
13308, W 55 STREET and WORNALL ROAD, KANSAS CITY, MO, 64110
13309, W 55 STREET and WORNALL ROAD, KANSAS CITY, MO, 64113
13310, W 57 STREET and BELLEVIEW AVENUE, KANSAS CITY, MO, 64130
13311, W 59 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64112
13312, W 5TH STREET and DELAWARE STREET, KANSAS CITY, MO, 64105
13313, W 5TH/BROADWAY, KANSAS CITY, MO, 64106
13314, W 6 STREET and BROADWAY, KANSAS CITY, MO,
13315, W 6 STREET and BROADWAY, KANSAS CITY, MO, 64108
13316, W 6 STREET and CENTRAL STREET, KANSAS CITY, MO, 64106
13317, W 6 STREET and MAY STREET, KANSAS CITY, MO, 64105
13318, W 6 STREET and WYANDOTTE STREET, KANSAS CITY, MO,
13319, W 6 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 54106
13320, W 61 TERRACE and BROOKSIDE BOULEVARD, KANSAS CITY, MO, 64130
13321, W 61 TERRACE and SUMMIT STREET, KANSAS CITY, MO, 64113
13322, W 62 STREET and MAIN STREET, KANSAS CITY, MO, 64114
13323, W 63 STREET and BROOKSIDE BOULEVARD, KANSAS CITY, MO, 64110
13324, W 63 STREET and WORNALL ROAD, KANSAS CITY, MO, 64113
13325, W 63 TERRACE and STATE LINE ROAD, KANSAS CITY, MO, 64114
13326, W 65 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64113
13327, W 65 TERRACE and LINDEN ROAD, KANSAS CITY, MO, 64113
13328, W 66 STREET and LINDEN ROAD, KANSAS CITY, MO,
13329, W 67 STREET and WARD PK S, KANSAS CITY, MO, 64114
13330, W 67 TERRACE and WARD PK S, KANSAS CITY, MO, 64114
13331, W 69 TERRACE and WARD PK S, KANSAS CITY, MO, 64113
13332, W 69 TERRACE and WARD PK S, KANSAS CITY, MO, 64127
13333, W 7 STREET and BANK STREET, KANSAS CITY, MO, 64106
13334, W 7 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64110
13335, W 7 STREET and CENTRAL STREET, KANSAS CITY, MO, 64105
13336, W 7 STREET and MAY STREET, KANSAS CITY, MO, 64106
13337, W 7 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64105
13338, W 7 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64127
13339, W 7 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
