nibrs_offense_code,nibrs_crime_against,nibrs_offense_cactegory,nibrs_offense_type,ofns_desc,pd_desc
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,PETIT LARCENY,"LARCENY,PETIT FROM PIER"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,PETIT LARCENY,"LARCENY,PETIT OF BICYCLE"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,PETIT LARCENY,"LARCENY,PETIT OF BOAT"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,PETIT LARCENY,PETIT LARCENY OF ANIMAL
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,PETIT LARCENY,PETIT LARCENY-CHECK FROM MAILB
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,THEFT OF SERVICES,UNAUTH. SALE OF TRANS. SERVICE
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,THEFT-FRAUD,MONEY LAUNDERING 1 & 2
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,THEFT-FRAUD,"THEFT,RELATED OFFENSES,UNCLASS"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,,"LARCENY,GRAND OF AUTO"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,,"LARCENY,PETIT FROM AUTO"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,GRAND LARCENY OF MOTOR VEHICLE,"LARCENY, GRAND OF AUTO - ATTEM"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,GRAND LARCENY OF MOTOR VEHICLE,"LARCENY, GRAND OF MOPED"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,GRAND LARCENY OF MOTOR VEHICLE,"LARCENY,GRAND OF AUTO"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,GRAND LARCENY OF MOTOR VEHICLE,"LARCENY,GRAND OF MOTORCYCLE"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,GRAND LARCENY OF MOTOR VEHICLE,"LARCENY,GRAND OF TRUCK"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,MISCELLANEOUS PENAL LAW,UNAUTHORIZED USE VEHICLE 2
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,PETIT LARCENY OF MOTOR VEHICLE,"LARCENY, PETIT OF AUTO - ATTEM"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,PETIT LARCENY OF MOTOR VEHICLE,"LARCENY, PETIT OF MOPED"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,PETIT LARCENY OF MOTOR VEHICLE,"LARCENY,PETIT OF AUTO"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,PETIT LARCENY OF MOTOR VEHICLE,"LARCENY,PETIT OF MOTORCYCLE"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,PETIT LARCENY OF MOTOR VEHICLE,"LARCENY,PETIT OF TRUCK"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,UNAUTHORIZED USE OF A VEHICLE,UNAUTHORIZED USE VEHICLE 3
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,,"FORGERY,ETC.-MISD."
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,,SALE OF UNAUTHORIZED RECORDING
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,"FORGERY,DRIVERS LICENSE"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,"FORGERY,ETC.,UNCLASSIFIED-FELO"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,"FORGERY,M.V. REGISTRATION"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,"FORGERY,PRESCRIPTION"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,GRAND LARCENY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,MISCELLANEOUS PENAL LAW,"FORGERY-ILLEGAL POSSESSION,VEH"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,MISCELLANEOUS PENAL LAW,MANUFACTURE UNAUTHORIZED RECOR
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,OFF. AGNST PUB ORD SENSBLTY &,SALE OF UNAUTHORIZED RECORDING
