NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,"ATTEMPTED KIDNAPPING, JUVENILE VICTIM"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED MAYHEM WITH A DEADLY WEAPON
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED MAYHEM WITH A GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED MAYHEM WITH A KNIFE
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED MAYHEM WITH BODILY FORCE
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY/THEFT,ATTEMPTED MOTORCYCLE STRIP
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,ATTEMPTED PETTY THEFT OF PROPERTY
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),"SEX OFFENSES, FORCIBLE",ATTEMPTED RAPE WITH A GUN
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),"SEX OFFENSES, FORCIBLE","ATTEMPTED RAPE, ARMED WITH A DANGEROUS WEAPON"
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),"SEX OFFENSES, FORCIBLE","ATTEMPTED RAPE, ARMED WITH A SHARP INSTRUMENT"
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),"SEX OFFENSES, FORCIBLE","ATTEMPTED RAPE, BODILY FORCE"
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY CHAIN STORE WITH A GUN
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY CHAIN STORE WITH A KNIFE
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY CHAIN STORE WITH BODILY FORCE
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY CHAIN STORE WITH DEADLY WEAPON
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY COMM. ESTAB. WITH BODILY FORCE
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY COMM. ESTAB. WITH DEADLY WEAPON
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY COMM. ESTABLISHMENT W/KNIFE
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY COMM. ESTABLISHMENT WITH A GUN
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY OF A BANK WITH A DEADLY WEAPON
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY OF A BANK WITH A GUN
