NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"SCHOOL, DISRUPT ACTIVITIES"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"SCHOOL, PUBLIC, TRESPASS"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"SCHOOL, PUBLIC, TRESPASS"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,SEARCH WARRANT SERVICE
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,SELL OR FURNISH ALCOHOL TO INTOXICATED PERSON
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,SELLING RESTRICTED GLUE TO JUVENILES
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,SELLING/DISCHARGING OF FIRECRACKERS
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,,SERVICE OF DOCUMENTS RELATED TO A CIVIL DRUG ABATEMENT AND/OR PUBLIC NUISANCE ACTION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,SEX OFFENSE,"SEX OFFENDER, FAILURE TO REGISTER FOR SEXUAL ASSAULT OF ADULT"
11D,Crimes against person,Sex Offenses,11D Fondling,ASSAULT,"SEXUAL ASSAULT, ADMINISTERING DRUG TO COMMIT"
11D,Crimes against person,Sex Offenses,11D Fondling,"SEX OFFENSES, FORCIBLE","SEXUAL ASSAULT, ADMINISTERING DRUG TO COMMIT"
11D,Crimes against person,Sex Offenses,11D Fondling,"SEX OFFENSES, FORCIBLE","SEXUAL ASSAULT, AGGRAVATED, OF CHILD"
11D,Crimes against person,Sex Offenses,11D Fondling,,"SEXUAL ASSAULT, AGGRAVATED, OF CHILD"
11D,Crimes against person,Sex Offenses,11D Fondling,"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,SEX OFFENSE,"SEXUAL CONTACT WITH PATIENT, FORMER PATIENT"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,"SEX OFFENSES, NON FORCIBLE","SEXUAL CONTACT WITH PATIENT, FORMER PATIENT"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,JUVENILE OFFENSES,SHELTER
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,SHELTER
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SECONDARY CODES,SHOOTING BY JUVENILE SUSPECT
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ASSAULT,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"SHOOTING, ACCIDENTAL"
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,"SHOPLIFTING, FORCE AGAINST AGENT"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"SHORT CHANGE, GRAND THEFT"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"SHORT CHANGE, PETTY THEFT"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"SNIPER SCOPE, POSSESSION OF"
520,Crimes against society,Weapon Law Violations,559 Weapon Law Violations,WEAPONS CARRYING ETC,"SNIPER SCOPE, POSSESSION OF"
11B,Crimes against person,Sex Offenses,11B Sodomy,"SEX OFFENSES, FORCIBLE",SODOMY
11B,Crimes against person,Sex Offenses,11B Sodomy,RAPE,SODOMY (ADULT VICTIM)
11B,Crimes against person,Sex Offenses,11B Sodomy,"SEX OFFENSES, FORCIBLE",SODOMY (ADULT VICTIM)
11B,Crimes against person,Sex Offenses,11B Sodomy,RAPE,SODOMY (JUVENILE VICTIM)
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,SOLICITING COMMISSION OF A CRIME
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,SOLICITING COMMISSION OF A CRIME
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,SOLICITING CUSTOMER TO PURCHASE ALCOHOLIC BEVERAGE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,SOLICITING MINOR TO COMMIT FELONY
40C,Crimes against society,Prostitution Offenses,40C Purchasing Prostitution,PROSTITUTION,SOLICITING OR ENGAGING IN LEWD CONDUCT
40C,Crimes against society,Prostitution Offenses,40C Purchasing Prostitution,PROSTITUTION,SOLICITING TO VISIT HOUSE OF PROSTITUTION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"SOLICITING, AGGRESSIVE"
40C,Crimes against society,Prostitution Offenses,40C Purchasing Prostitution,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION
40C,Crimes against society,Prostitution Offenses,40C Purchasing Prostitution,PROSTITUTION,SOLICITS LEWD ACT
40C,Crimes against society,Prostitution Offenses,40C Purchasing Prostitution,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,SPEEDING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,SPITTING ON SIDEWALK
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",OFFENCES AGAINST THE FAMILY AND CHILDREN,"SPOUSE, COHABITEE, PARENT OF CHILD IN COMMON, INFLICT INJURY"
13C,Crimes against person,Assault Offenses,13C Intimidation,ASSAULT,STALKING
13C,Crimes against person,Assault Offenses,13C Intimidation,OFFENCES AGAINST THE FAMILY AND CHILDREN,STALKING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,STATE CODE FELONY (GENERAL)
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,STATE CODE MISDEMEANOR (GENERAL)
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OFFENCES AGAINST THE FAMILY AND CHILDREN,"STAY AWAY ORDER VIOLATION, DVU RELATED"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,"STOLEN ACCESS CARD, POSSESSION"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,RECOVERED VEHICLE,STOLEN AND RECOVERED VEHICLE
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,VEHICLE THEFT,STOLEN AUTOMOBILE
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,VEHICLE THEFT,STOLEN BUS
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,"STOLEN CELLULAR PHONE, NON-CLONED, POSSESSION"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,"STOLEN CHECKS, POSSESSION"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,"STOLEN COMPUTER, POSSESSION"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,"STOLEN ELECTRONICS, POSSESSION"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,"STOLEN METALS, RECEIVING"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,VEHICLE THEFT,STOLEN MISCELLANEOUS VEHICLE
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,VEHICLE THEFT,STOLEN MOTORCYCLE
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,VEHICLE THEFT,STOLEN TRAILER
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,VEHICLE THEFT,STOLEN TRUCK
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY ASPHYXIATION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,"SUICIDE BY ASPHYXIATION, ATT."
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY DROWNING
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY FIRE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY FIREARMS
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,"SUICIDE BY FIREARMS, ATT."
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY INGESTION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,"SUICIDE BY INGESTION, ATT."
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY JUMPING
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,"SUICIDE BY JUMPING, ATT."
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY LACERATION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY LACERATION/STABBING
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,"SUICIDE BY LACERATION/STABBING, ATT."
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY STRANGULATION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,SUICIDE BY STRANGULATION/HANGING
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,"SUICIDE BY STRANGULATION/HANGING, ATT."
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,"SUICIDE, ATTEMPTED"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS CHILD
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUSPICIOUS OCC,"SUSPICIOUS AUTO, POSSIBLY SEX"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUSPICIOUS OCC,"SUSPICIOUS OCCURRENCE, POSSIBLE SHOTS FIRED"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUSPICIOUS OCC,SUSPICIOUS PACKAGE
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,SUSPICIOUS PACKAGE
520,Crimes against society,Weapon Law Violations,560 Weapon Law Violations,WEAPONS CARRYING ETC,SUSPICIOUS PACKAGE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUSPICIOUS OCC,SUSPICIOUS PERSON
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUSPICIOUS OCC,SUSPICIOUS VEHICLE
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"SWITCHBLADE KNIFE, POSSESSION"
520,Crimes against society,Weapon Law Violations,561 Weapon Law Violations,WEAPONS CARRYING ETC,"SWITCHBLADE KNIFE, POSSESSION"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,TAKING CONTRABAND INTO A REFORMATORY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,TAMPERING WITH A VEHICLE
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,VEHICLE THEFT,TAMPERING WITH A VEHICLE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,TAMPERING WITH MAIL
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,TAMPERING WITH MARKS ON FIREARM
520,Crimes against society,Weapon Law Violations,562 Weapon Law Violations,WEAPONS CARRYING ETC,TAMPERING WITH MARKS ON FIREARM
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,TARASOFF REPORT
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OFFENCES AGAINST THE FAMILY AND CHILDREN,TARASOFF REPORT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,JUVENILE OFFENSES,TATTOOING PERSON UNDER 18
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"TAXI FARE, OVERCHARGING"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"TELEPHONE OR TELEGRAPH MESSAGE, SENDING FALSE"
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUD,"TELEPHONE OR TELEGRAPH MESSAGE, SENDING FALSE"
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUD,"TELEPHONE OR TELEGRAPH MESSAGES, ALTERING"
13C,Crimes against person,Assault Offenses,13C Intimidation,DISORDERLY CONDUCT,TERRORIST THREATS
200,Crimes against property,Arson,200 Arson,ASSAULT,TERRORIZING BY ARSON OR EXPLOSIVE DEVICE
13C,Crimes against person,Assault Offenses,13C Intimidation,OFFENCES AGAINST THE FAMILY AND CHILDREN,TERRORIZING BY ARSON OR EXPLOSIVE DEVICE
13C,Crimes against person,Assault Offenses,13C Intimidation,OFFENCES AGAINST THE FAMILY AND CHILDREN,TERRORIZING BY INTERFERING WITH RELIGIOUS WORSHIP
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ASSAULT,TERRORIZING BY MARKING PRIVATE PROPERTY
13C,Crimes against person,Assault Offenses,13C Intimidation,OFFENCES AGAINST THE FAMILY AND CHILDREN,TERRORIZING BY MARKING PRIVATE PROPERTY
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,THEFT FROM MERCHANT OR LIBRARY
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,THEFT OF ANIMALS (GENERAL)
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,THEFT OF CHECKS OR CREDIT CARDS
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT OF OTHER PROPERTY, ATT."
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT OF TELECOMMUNICATION SERVICES, INCL. CLONE PHONE"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,THEFT OF UTILITY SERVICES
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,THEFT OF WRITTEN INSTRUMENT
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, ANIMAL, ATT."
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,,"THEFT, ANIMAL, ATT."
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, BICYCLE, <$50, NO SERIAL NUMBER"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, BICYCLE, <$50, SERIAL NUMBER KNOWN"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, BICYCLE, >$950"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, BICYCLE, $200-$950"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, BICYCLE, $50-$200"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, BICYCLE, ATT."
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, BOAT"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,,"THEFT, BOAT"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, BY PROSTITUTE, <$50"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, BY PROSTITUTE, $200-$400"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, BY PROSTITUTE, $50-$200"
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY/THEFT,"THEFT, COIN OPERATED MACHINE, <$50"
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY/THEFT,"THEFT, COIN OPERATED MACHINE, >$950"
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY/THEFT,"THEFT, COIN OPERATED MACHINE, $200-$950"
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY/THEFT,"THEFT, COIN OPERATED MACHINE, $50-$200"
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY/THEFT,"THEFT, COIN OPERATED MACHINE, ATT."
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, DRUNK ROLL, <$50"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, DRUNK ROLL, >$400"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, DRUNK ROLL, >$950"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, DRUNK ROLL, $200-$400"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, DRUNK ROLL, $200-$950"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, DRUNK ROLL, $50-$200"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, DRUNK ROLL, ATT."
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"THEFT, FALSE PRETENSES, FELONY"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"THEFT, FALSE PRETENSES, MISD."
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,LARCENY/THEFT,"THEFT, FROM BUILDING, <$50"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,LARCENY/THEFT,"THEFT, FROM BUILDING, >$950"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,LARCENY/THEFT,"THEFT, FROM BUILDING, $200-$950"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,LARCENY/THEFT,"THEFT, FROM BUILDING, $50-$200"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,LARCENY/THEFT,"THEFT, FROM BUILDING, ATT."
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM LOCKED VEHICLE, <$50"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM LOCKED VEHICLE, >$950"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM LOCKED VEHICLE, $200-$950"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM LOCKED VEHICLE, $50-$200"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM LOCKED VEHICLE, ATT."
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, FROM PERSON, <$50 (OTHER THAN PICKPOCKET)"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, FROM PERSON, >$950 (OTHER THAN PICKPOCKET)"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, FROM PERSON, $200-$950 (OTHER THAN PICKPOCKET)"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, FROM PERSON, $50-$200 (OTHER THAN PICKPOCKET)"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, FROM PERSON, ATT. (OTHER THAN PICKPOCKET)"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM UNLOCKED VEHICLE, <$50"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM UNLOCKED VEHICLE, >$950"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM UNLOCKED VEHICLE, $200-$950"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM UNLOCKED VEHICLE, $50-$200"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"THEFT, FROM UNLOCKED VEHICLE, ATT."
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, GRAND, AGRICULTURAL"
270,Crimes against property,Embezzlement,270 Embezzlement,LARCENY/THEFT,"THEFT, GRAND, BY FIDUCIARY, >$400 IN 12 MONTHS"
270,Crimes against property,Embezzlement,270 Embezzlement,LARCENY/THEFT,"THEFT, GRAND, BY FIDUCIARY, >$950 IN 12 MONTHS"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, GRAND, OF FIREARM"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, LOST PROPERTY, GRAND"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, LOST PROPERTY, PETTY"
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY/THEFT,"THEFT, MOTORCYCLE STRIP, >$950"
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY/THEFT,"THEFT, MOTORCYCLE STRIP, $200-$950"
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY/THEFT,"THEFT, MOTORCYCLE STRIP, $50-$200"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, OTHER PROPERTY, <$50"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, OTHER PROPERTY, >$950"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, OTHER PROPERTY, $200-$950"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, OTHER PROPERTY, $50-$200"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"THEFT, PETTY, WITH PRIOR CONVICTION"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, PICKPOCKET, <$50"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, PICKPOCKET, >$950"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, PICKPOCKET, $200-$950"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, PICKPOCKET, $50-$200"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,"THEFT, PICKPOCKET, ATTEMPTED"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, PURSE SNATCH, <$50"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, PURSE SNATCH, >$950"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, PURSE SNATCH, $200-$950"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, PURSE SNATCH, $50-$200"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,"THEFT, PURSE SNATCH, ATT."
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY/THEFT,"THEFT, SHOPLIFTING, <$50"
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY/THEFT,"THEFT, SHOPLIFTING, >$950"
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY/THEFT,"THEFT, SHOPLIFTING, $200-$950"
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY/THEFT,"THEFT, SHOPLIFTING, $50-$200"
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY/THEFT,"THEFT, SHOPLIFTING, ATT."
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"THEFT, SHORT CHANGE"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"THEFT, TRICK & DEVICE, MISD."
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"THEFT, TRICK AND DEVICE, ATT."
