CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017
SEX OFFENSES,COMMERCIALIZED SEX - PROSTITUTION,NA,NA,NA,NA,NA,NA,NA,1,766
SEX OFFENSES,CSC 1ST DEGREE - ORAL / ANAL,NA,NA,NA,NA,NA,NA,NA,NA,1
SEX OFFENSES,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,NA,1
SEX OFFENSES,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY),NA,NA,NA,NA,NA,NA,NA,NA,1
SEX OFFENSES,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA),NA,NA,NA,NA,NA,NA,NA,NA,2
SEXUAL ASSAULT,CSC 1ST DEGREE - OBJECT,NA,1,NA,NA,NA,NA,NA,6,29
SEXUAL ASSAULT,CSC 1ST DEGREE - ORAL / ANAL,NA,NA,1,2,NA,1,1,14,122
SEXUAL ASSAULT,CSC 1ST DEGREE - PENIS / VAGINA,2,3,2,2,2,1,1,24,291
SEXUAL ASSAULT,CSC 3RD DEGREE - OBJECT,NA,NA,NA,NA,NA,NA,NA,1,6
SEXUAL ASSAULT,CSC 3RD DEGREE - ORAL / ANAL,NA,1,NA,NA,NA,NA,NA,4,40
SEXUAL ASSAULT,CSC 3RD DEGREE - PENIS / VAGINA,NA,NA,NA,NA,NA,NA,NA,13,120
SEXUAL ASSAULT,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,NA,2
SEXUAL ASSAULT,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,3
STOLEN PROPERTY,ARSON,NA,NA,NA,NA,NA,NA,NA,NA,2
STOLEN PROPERTY,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,BURGLARY - FORCED ENTRY,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,BURGLARY - FORCED ENTRY -  RESIDENCE,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,ENTRY WITHOUT PERMISSION (NO INTENT),NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,FRAUD - IMPERSONATION,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,LARCENY - OTHER,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,LARCENY - THEFT OF MOTOR VEHICLE PARTS / ACCESSORIES,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY),NA,NA,NA,NA,NA,NA,NA,13,268
STOLEN PROPERTY,MOTOR VEHICLE THEFT,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN PROPERTY,ROBBERY,NA,NA,NA,NA,NA,NA,NA,NA,4
STOLEN VEHICLE,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,1,23
STOLEN VEHICLE,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,1,44
