NIBRS_Offense_Code,Summarized Offense Description,Offense Type,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against
35A,NARCOTICS,NARC-POSSESS-METH,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-OPIUM,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-OTHER,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-PILL/TABLET,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-PRESCRIPTION,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-SYNTHETIC,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-PRODUCE-MARIJU,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-AMPHETAMINE,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-BARBITUATE,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-COCAINE,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-HALLUCINOGEN,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-HEROIN,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-MARIJU,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-METH,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-OPIUM,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-OTHER,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-PILL/TABLET,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-PRESCRIPTION,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SELL-SYNTHETIC,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SMUGGLE-COCAINE,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SMUGGLE-MARIJU,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-SMUGGLE-METH,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
